# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.118
metadata : {}


# id : NWRW1800000026.118.1.1
印 공산반군(모택동주의 ‘낙살라이트’) 매복공격, 경찰 75명 몰살시켜;단일사건 최악 인명피해

印	印/SH
공산반군(모택동주의	공산/NNG+반군/NNG+(/SS+모택동주의/NNG
‘낙살라이트’)	‘/SS+낙살라이트/NNP+’/SS+)/SS
매복공격,	매복/NNG+공격/NNG+,/SP
경찰	경찰/NNG
75명	75/SN+명/NNB
몰살시켜;단일사건	몰살/NNG+시키/XSV+어/EC+;/SW+단일/NNG+사건/NNG
최악	최악/NNG
인명피해	인명/NNG+피해/NNG


# id : NWRW1800000026.118.2.1
뭔가 잘못됐다.

뭔가	뭐/NP+이/VCP+ㄴ가/EF
잘못됐다.	잘못/MAG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.2.2
아주 잘못됐다.

아주	아주/MAG
잘못됐다.	잘못/MAG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.3.1
인도 중동부 차티스가르주(州)에서 모택동주의 공산반군 '낙살라이트(Naxalite·낙살 지역을 근거로 시작된 반군들)'의 매복 공격으로 정부 군경 75명이 사망한 6일, 치담바람(Chidambaram) 내무장관은 "덫에 걸린 것 같다"며 고개를 떨어뜨렸다.

인도	인도/NNP
중동부	중동부/NNG
차티스가르주(州)에서	차티스가르주/NNP+(/SS+州/SH+)/SS+에서/JKB
모택동주의	모택동주의/NNG
공산반군	공산/NNG+반군/NNG
'낙살라이트(Naxalite·낙살	'/SS+낙살라이트/NNP+(/SS+Naxalite/SL+·/SP+낙살/NNP
지역을	지역/NNG+을/JKO
근거로	근거/NNG+로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
반군들)'의	반군/NNG+들/XSN+)/SS+'/SS+의/JKG
매복	매복/NNG
공격으로	공격/NNG+으로/JKB
정부	정부/NNG
군경	군경/NNG
75명이	75/SN+명/NNB+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
6일,	6/SN+일/NNB+,/SP
치담바람(Chidambaram)	치담바람/NNP+(/SS+Chidambaram/SL+)/SS
내무장관은	내무/NNG+장관/NNG+은/JX
"덫에	"/SS+덫/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
고개를	고개/NNG+를/JKO
떨어뜨렸다.	떨어뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.118.3.2
치담바람은 지난해부터 '녹색사냥작전'으로 명명된 반군 소탕전을 진행 중이다.

치담바람은	치담바람/NNP+은/JX
지난해부터	지난해/NNG+부터/JX
'녹색사냥작전'으로	'/SS+녹색/NNG+사냥/NNG+작전/NNG+'/SS+으로/JKB
명명된	명명/NNG+되/XSV+ㄴ/ETM
반군	반군/NNG
소탕전을	소탕전/NNG+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.118.3.3
"3년 내에 다 쓸어버리겠다"고 큰소리까지 쳤었다.

"3년	"/SS+3/SN+년/NNB
내에	내/NNB+에/JKB
다	다/MAG
쓸어버리겠다"고	쓸어버리/VV+겠/EP+다/EF+"/SS+고/JKQ
큰소리까지	큰소리/NNG+까지/JX
쳤었다.	치/VV+었었/EP+다/EF+./SF


# id : NWRW1800000026.118.3.4
이날 인도 정부는 1967년 웨스트벵갈의 낙살바리 마을에서 농민 반란으로 낙살라이트 운동이 시작된 이래 단일 사건으로는 최악의 인명 피해를 입었다.

이날	이날/NNG
인도	인도/NNP
정부는	정부/NNG+는/JX
1967년	1967/SN+년/NNB
웨스트벵갈의	웨스트벵갈/NNP+의/JKG
낙살바리	낙살바리/NNP
