# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.426
metadata : {}


# id : NWRW1800000038.426.1.1
김장수(청와대 국가안보실장) 파워… 美·中·러 安保실세와 모두 만나

김장수(청와대	김장수/NNP+(/SS+청와대/NNP
국가안보실장)	국가/NNG+안보실장/NNG+)/SS
파워…	파워/NNG+…/SE
美·中·러	美/SH+·/SP+中/SH+·/SP+러/NNP
安保실세와	安保/SH+실세/NNG+와/JKB
모두	모두/MAG
만나	만나/VV+아/EF


# id : NWRW1800000038.426.2.1
어제 中 양제츠와 北核·日집단자위권 등 논의… 지난달엔 美 라이스 보좌관 만나

어제	어제/NNG
中	中/SH
양제츠와	양제츠/NNP+와/JKB
北核·日집단자위권	北核/SH+·/SP+日/SH+집단/NNG+자위/NNG+권/XSN
등	등/NNB
논의…	논의/NNG+…/SE
지난달엔	지난달/NNG+에/JKB+ㄴ/JX
美	美/SH
라이스	라이스/NNP
보좌관	보좌관/NNG
만나	만나/VV+아/EF


# id : NWRW1800000038.426.3.1
김장수 청와대 국가안보실장은 18일 중국 양제츠(楊潔?) 외교 담당 국무위원을 만나 한·중 현안을 논의했다.

김장수	김장수/NNP
청와대	청와대/NNP
국가안보실장은	국가/NNG+안보실장/NNG+은/JX
18일	18/SN+일/NNB
중국	중국/NNP
양제츠(楊潔?)	양제츠/NNP+(/SS+楊潔/SH+?/NA+)/SS
외교	외교/NNG
담당	담당/NNG
국무위원을	국무/NNG+위원/NNG+을/JKO
만나	만나/VV+아/EC
한·중	한·중/NNP
현안을	현안/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.426.3.2
북핵 문제와 6자회담 재개, 일본의 집단적 자위권 행사 문제 등이 대화 테이블에 올랐던 것으로 알려졌다.

북핵	북핵/NNG
문제와	문제/NNG+와/JC
6자회담	6/SN+자/NNB+회담/NNG
재개,	재개/NNG+,/SP
일본의	일본/NNP+의/JKG
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
행사	행사/NNG
문제	문제/NNG
등이	등/NNB+이/JKS
대화	대화/NNG
테이블에	테이블/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.426.3.3
박근혜 대통령이 양 위원과 한 시간가량 사전 환담을 나눴지만 실무 현안들은 김 실장과 양 위원의 전략대화에서 조율이 이뤄졌다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
양	양/NNP
위원과	위원/NNG+과/JKB
한	한/MMN
시간가량	시간/NNB+가량/XSN
사전	사전/NNG
환담을	환담/NNG+을/JKO
나눴지만	나누/VV+었/EP+지만/EC
실무	실무/NNG
현안들은	현안/NNG+들/XSN+은/JX
김	김/NNP
실장과	실장/NNG+과/JC
위원의	위원/NNG+의/JKG
전략대화에서	전략/NNG+대화/NNG+에서/JKB
조율이	조율/NNG+이/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.426.4.1
두 사람은 북핵 불용과 비핵화 원칙을 재확인했다.

두	두/MMN
사람은	사람/NNG+은/JX
북핵	북핵/NNG
불용과	불용/NNG+과/JC
비핵화	비핵/NNG+화/XSN
원칙을	원칙/NNG+을/JKO
재확인했다.	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.426.4.2
중국은 우리 정부의 한반도 신뢰 프로세스와 유라시아 이니셔티브를 지지했고, 우리는 중국의 6자회담 노력을 긍정 평가했다.

중국은	중국/NNP+은/JX
우리	우리/NP
정부의	정부/NNG+의/JKG
한반도	한반도/NNP
신뢰	신뢰/NNG
프로세스와	프로세스/NNG+와/JC
유라시아	유라시아/NNP
이니셔티브를	이니셔티브/NNG+를/JKO
지지했고,	지지/NNG+하/XSV+았/EP+고/EC+,/SP
우리는	우리/NP+는/JX
중국의	중국/NNP+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
노력을	노력/NNG+을/JKO
긍정	긍정/NNG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.426.4.3
김 실장은 양 위원의 초청에 따라 내년 중국을 방문해 2차 고위급 대화를 하기로 했다.

김	김/NNP
실장은	실장/NNG+은/JX
양	양/NNP
위원의	위원/NNG+의/JKG
초청에	초청/NNG+에/JKB
따라	따르/VV+아/EC
내년	내년/NNG
중국을	중국/NNP+을/JKO
