# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.134
metadata : {}


# id : NWRW1800000026.134.1.1
[수도권Ⅱ] [현장, 6·2 지방선거] 與 김포시장후보 국민경선

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
[현장,	[/SS+현장/NNG+,/SP
6·2	6/SN+·/SP+2/SN
지방선거]	지방/NNG+선거/NNG+]/SS
與	與/SH
김포시장후보	김포시장/NNG+후보/NNG
국민경선	국민/NNG+경선/NNG


# id : NWRW1800000026.134.2.1
○…한나라당 김포시장 후보는 국민참여경선을 통해 결정될 전망이다.

○…한나라당	○/SW+…/SE+한나라당/NNP
김포시장	김포시장/NNG
후보는	후보/NNG+는/JX
국민참여경선을	국민/NNG+참여/NNG+경선/NNG+을/JKO
통해	통하/VV+아/EC
결정될	결정/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.134.2.2
강경구(62) 시장과 김기풍(50) 한나라당 경기도당 부위원장, 김장호(54) 김포종로학원 이사장, 이영우(50) 김포시의회 의장은 22일 당원협의회 사무실에 모여 국민참여경선을 통해 후보를 확정하기로 합의했다.

강경구(62)	강경구/NNP+(/SS+62/SN+)/SS
시장과	시장/NNG+과/JC
김기풍(50)	김기풍/NNP+(/SS+50/SN+)/SS
한나라당	한나라당/NNP
경기도당	경기도/NNP+당/NNG
부위원장,	부위원장/NNG+,/SP
김장호(54)	김장호/NNP+(/SS+54/SN+)/SS
김포종로학원	김포/NNP+종로학원/NNP
이사장,	이사장/NNG+,/SP
이영우(50)	이영우/NNP+(/SS+50/SN+)/SS
김포시의회	김포시의회/NNP
의장은	의장/NNG+은/JX
22일	22/SN+일/NNB
당원협의회	당원/NNG+협의회/NNG
사무실에	사무실/NNG+에/JKB
모여	모이/VV+어/EC
국민참여경선을	국민/NNG+참여/NNG+경선/NNG+을/JKO
통해	통하/VV+아/EC
후보를	후보/NNG+를/JKO
확정하기로	확정/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.134.2.3
오는 30일로 예정된 당원선거인단 투표 결과와 김포시민을 대상으로 실시한 전화 여론조사 결과를 7대3의 비율로 반영해 후보를 정하는 방식이다.

오는	오/VV+는/ETM
30일로	30/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
당원선거인단	당원/NNG+선거인단/NNG
투표	투표/NNG
결과와	결과/NNG+와/JC
김포시민을	김포/NNP+시민/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
전화	전화/NNG
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
7대3의	7/SN+대/NNB+3/SN+의/JKG
비율로	비율/NNG+로/JKB
반영해	반영/NNG+하/XSV+아/EC
후보를	후보/NNG+를/JKO
정하는	정하/VV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.134.2.4
한나라당 김포시 당원협의회는 광역의원과 기초의원 후보도 지난 15일 자체 경선을 통해 선출했었다.

한나라당	한나라당/NNP
김포시	김포시/NNP
당원협의회는	당원/NNG+협의회/NNG+는/JX
광역의원과	광역/NNG+의원/NNG+과/JC
기초의원	기초/NNG+의원/NNG
후보도	후보/NNG+도/JX
지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
자체	자체/NNG
경선을	경선/NNG+을/JKO
통해	통하/VV+아/EC
선출했었다.	선출/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000026.134.3.1
한편, 민주당 김포시장 후보로 확정된 유영록(48) 후보는 이날 기자회견을 열고 김포시장 출마를 공식선언했다.

한편,	한편/MAG+,/SP
민주당	민주당/NNP
김포시장	김포시장/NNG
후보로	후보/NNG+로/JKB
확정된	확정/NNG+되/XSV+ㄴ/ETM
유영록(48)	유영록/NNP+(/SS+48/SN+)/SS
후보는	후보/NNG+는/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
출마를	출마/NNG+를/JKO
공식선언했다.	공식/NNG+선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.134.3.2
유 후보는 기자회견에서 "서울 지하철 9호선을 김포로 연장하고 초·중·고등학교까지 차별없는 무상급식을 하겠다"고 말했다.

유	유/NNP
후보는	후보/NNG+는/JX
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"서울	"/SS+서울/NNP
지하철	지하철/NNG
9호선을	9/SN+호선/NNB+을/JKO
김포로	김포/NNP+로/JKB
연장하고	연장/NNG+하/XSV+고/EC
초·중·고등학교까지	초·중·고등학교/NNG+까지/JX
차별없는	차별/NNG+없/VA+는/ETM
무상급식을	무상/NNG+급식/NNG+을/JKO
하겠다"고	하/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


