# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.97
metadata : {}


# id : NWRW1800000025.97.1.1
[DBR]“도요타 사태로 한국자동차 반사이익?

[DBR]“도요타	[/SS+DBR/SL+]/SS+“/SS+도요타/NNP
사태로	사태/NNG+로/JKB
한국자동차	한국/NNP+자동차/NNG
반사이익?	반사/NNG+이익/NNG+?/SF


# id : NWRW1800000025.97.1.2
순진한 생각”

순진한	순진/NNG+하/XSA+ㄴ/ETM
생각”	생각/NNG+”/SS


# id : NWRW1800000025.97.2.1
“도요타의 위기로 현대차를 비롯한 한국 자동차업체가 반사이익을 얻을 거라는 생각은 다소 순진한 발상입니다.

“도요타의	“/SS+도요타/NNP+의/JKG
위기로	위기/NNG+로/JKB
현대차를	현대차/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
한국	한국/NNP
자동차업체가	자동차/NNG+업체/NNG+가/JKS
반사이익을	반사/NNG+이익/NNG+을/JKO
얻을	얻/VV+을/ETM
거라는	거/NNB+이/VCP+라는/ETM
생각은	생각/NNG+은/JX
다소	다소/MAG
순진한	순진/NNG+하/XSA+ㄴ/ETM
발상입니다.	발상/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.97.2.2
품질이나 가격보다 ‘도요타’와 ‘현대’라는 로고 때문에 자동차를 구입하는 소비자가 훨씬 많기 때문입니다.”

품질이나	품질/NNG+이나/JC
가격보다	가격/NNG+보다/JKB
‘도요타’와	‘/SS+도요타/NNP+’/SS+와/JC
‘현대’라는	‘/SS+현대/NNP+’/SS+이/VCP+라는/ETM
로고	로고/NNG
때문에	때문/NNB+에/JKB
자동차를	자동차/NNG+를/JKO
구입하는	구입/NNG+하/XSV+는/ETM
소비자가	소비자/NNG+가/JKS
훨씬	훨씬/MAG
많기	많/VA+기/ETN
때문입니다.”	때문/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.97.3.1
마케팅 분야의 석학으로 손꼽히는 네이선 노벰스키 미국 예일대 교수가 한국 기업에 던진 메시지다.

마케팅	마케팅/NNG
분야의	분야/NNG+의/JKG
석학으로	석학/NNG+으로/JKB
손꼽히는	손꼽히/VV+는/ETM
네이선	네이선/NNP
노벰스키	노벰스키/NNP
미국	미국/NNP
예일대	예일대/NNP
교수가	교수/NNG+가/JKS
한국	한국/NNP
기업에	기업/NNG+에/JKB
던진	던지/VV+ㄴ/ETM
메시지다.	메시지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.97.3.2
서울대 글로벌 MBA 과정에서 강의하기 위해 내한한 그는 5일 동아비즈니스리뷰(DBR)와 인터뷰를 갖고 한국 자동차업체는 도요타의 신뢰 위기와 무관하게 다른 식으로 소비자에게 접근해야 한다고 충고했다.

서울대	서울대/NNP
글로벌	글로벌/NNG
MBA	MBA/SL
과정에서	과정/NNG+에서/JKB
강의하기	강의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
내한한	내한/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
5일	5/SN+일/NNB
동아비즈니스리뷰(DBR)와	동아비즈니스리뷰/NNP+(/SS+DBR/SL+)/SS+와/JKB
인터뷰를	인터뷰/NNG+를/JKO
갖고	갖/VV+고/EC
한국	한국/NNP
자동차업체는	자동차/NNG+업체/NNG+는/JX
도요타의	도요타/NNP+의/JKG
신뢰	신뢰/NNG
위기와	위기/NNG+와/JKB
무관하게	무관하/VA+게/EC
다른	다른/MMD
식으로	식/NNB+으로/JKB
소비자에게	소비자/NNG+에게/JKB
접근해야	접근/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
충고했다.	충고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.97.4.1
인간은 비이성적 존재이므로 도요타의 품질에 이상이 생겼다고 해서 ‘우리 제품은 더 우수하다’라는 식으로 접근하면 소비자에게 확실한 브랜드 이미지를 심어주지도 못한 채 영원한 아류 제품으로 남을 뿐이라는 의미다.

인간은	인간/NNG+은/JX
비이성적	비/XPN+이성/NNG+적/XSN
존재이므로	존재/NNG+이/VCP+므로/EC
도요타의	도요타/NNP+의/JKG
