# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.133
metadata : {}


# id : NWRW1800000052.133.1.1
환경부, 폴크스바겐 7만9000여대 ‘인증취소’ 절차 착수

환경부,	환경부/NNG+,/SP
폴크스바겐	폴크스바겐/NNP
7만9000여대	7/SN+만/NR+9000/SN+여/XSN+대/NNB
‘인증취소’	‘/SS+인증/NNG+취소/NNG+’/SS
절차	절차/NNG
착수	착수/NNG


# id : NWRW1800000052.133.2.1
‘인증 서류 조작’ 검찰수사로 드러나…22일 업체 상대 청문 열기로

‘인증	‘/SS+인증/NNG
서류	서류/NNG
조작’	조작/NNG+’/SS
검찰수사로	검찰/NNG+수사/NNG+로/JKB
드러나…22일	드러나/VV+아/EC+…/SE+22/SN+일/NNB
업체	업체/NNG
상대	상대/NNG
청문	청문/NNG
열기로	열/VV+기/ETN+로/JKB


# id : NWRW1800000052.133.3.1
환경부가 폴크스바겐 그룹이 2007년부터 국내에서 판 32개 차종 7만9000여대에 대해 인증 서류 조작을 이유로 인증 취소 처분을 내리기 위한 절차에 나선다.

환경부가	환경부/NNG+가/JKS
폴크스바겐	폴크스바겐/NNP
그룹이	그룹/NNG+이/JKS
2007년부터	2007/SN+년/NNB+부터/JX
국내에서	국내/NNG+에서/JKB
판	팔/VV+ㄴ/ETM
32개	32/SN+개/NNB
차종	차종/NNG
7만9000여대에	7/SN+만/NR+9000/SN+여/XSN+대/NNB+에/JKB
대해	대하/VV+아/EC
인증	인증/NNG
서류	서류/NNG
조작을	조작/NNG+을/JKO
이유로	이유/NNG+로/JKB
취소	취소/NNG
처분을	처분/NNG+을/JKO
내리기	내리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
절차에	절차/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.133.4.1
환경부는 폴크스바겐 그룹 판매 차량의 배출가스 저감장치 불법 조작 사건을 수사해온 서울중앙지검이 지난 6일 업체 쪽이 차량 배출가스와 소음 관련 인증서류를 조작한 사실을 확인하고 행정처분을 요청하는 공문을 보내와 22일 업체를 상대로 인증 취소 처분을 위한 청문을 실시하기로 했다고 11일 밝혔다.

환경부는	환경부/NNG+는/JX
폴크스바겐	폴크스바겐/NNP
그룹	그룹/NNG
판매	판매/NNG
차량의	차량/NNG+의/JKG
배출가스	배출/NNG+가스/NNG
저감장치	저감/NNG+장치/NNG
불법	불법/NNG
조작	조작/NNG
사건을	사건/NNG+을/JKO
수사해온	수사/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
서울중앙지검이	서울중앙지검/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
업체	업체/NNG
쪽이	쪽/NNB+이/JKS
차량	차량/NNG
배출가스와	배출/NNG+가스/NNG+와/JC
소음	소음/NNG
관련	관련/NNG
인증서류를	인증/NNG+서류/NNG+를/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
행정처분을	행정/NNG+처분/NNG+을/JKO
요청하는	요청/NNG+하/XSV+는/ETM
공문을	공문/NNG+을/JKO
보내와	보내오/VV+아/EC
22일	22/SN+일/NNB
업체를	업체/NNG+를/JKO
상대로	상대/NNG+로/JKB
인증	인증/NNG
취소	취소/NNG
처분을	처분/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
청문을	청문/NNG+을/JKO
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.133.4.2
환경부는 청문에서 특별한 문제가 없으면 이달 넷째주 안으로 인증처분을 취소하는 것을 목표로 12일 업체에 청문 일정을 공식 통보하겠다고 덧붙였다.

환경부는	환경부/NNG+는/JX
청문에서	청문/NNG+에서/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
문제가	문제/NNG+가/JKS
없으면	없/VA+으면/EC
이달	이달/NNG
넷째주	넷째/NR+주/NNG
안으로	안/NNG+으로/JKB
인증처분을	인증/NNG+처분/NNG+을/JKO
취소하는	취소/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
12일	12/SN+일/NNB
업체에	업체/NNG+에/JKB
청문	청문/NNG
일정을	일정/NNG+을/JKO
공식	공식/NNG
통보하겠다고	통보/NNG+하/XSV+겠/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.133.5.1
환경부가 인증 취소 절차에 들어간 차량은 배출가스 서류 조작이 확인된 22개 차종, 소음 관련 서류 조작이 확인된 8개 차종, 배출가스와 소음 서류가 모두 조작된 2개 차종 등 모두 32개 인증 차종이다.

환경부가	환경부/NNG+가/JKS
인증	인증/NNG
취소	취소/NNG
절차에	절차/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
차량은	차량/NNG+은/JX
배출가스	배출/NNG+가스/NNG
서류	서류/NNG
조작이	조작/NNG+이/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
22개	22/SN+개/NNB
차종,	차종/NNG+,/SP
소음	소음/NNG
관련	관련/NNG
8개	8/SN+개/NNB
배출가스와	배출/NNG+가스/NNG+와/JC
서류가	서류/NNG+가/JKS
모두	모두/MAG
조작된	조작/NNG+되/XSV+ㄴ/ETM
2개	2/SN+개/NNB
차종	차종/NNG
등	등/NNB
32개	32/SN+개/NNB
차종이다.	차종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.133.5.2
폴크스바겐은 환경부에서 인증받은 1개 차종을 기반으로 많게는 14개의 세부모델을 시판해, 행정처분을 받게 된 폴크스바겐 차량은 모델 수로는 골프 GTD BMT, 제타 2.0 TDI BMT, 아우디 A6 3.0 TFSI 콰트로 등 모두 79개다.

폴크스바겐은	폴크스바겐/NNP+은/JX
환경부에서	환경부/NNG+에서/JKB
인증받은	인증/NNG+받/XSV+은/ETM
1개	1/SN+개/NNB
차종을	차종/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
많게는	많/VA+게/EC+는/JX
14개의	14/SN+개/NNB+의/JKG
세부모델을	세부/NNG+모델/NNG+을/JKO
시판해,	시판/NNG+하/XSV+아/EC+,/SP
행정처분을	행정/NNG+처분/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
폴크스바겐	폴크스바겐/NNP
차량은	차량/NNG+은/JX
모델	모델/NNG
수로는	수/NNG+로/JKB+는/JX
골프	골프/NNG
GTD	GTD/SL
BMT,	BMT/SL+,/SP
제타	제타/NNP
2.0	2/SN+./SP+0/SN
TDI	TDI/SL
아우디	아우디/NNP
