# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.317
metadata : {}


# id : NWRW1800000030.317.1.1
'야권연대' 선택 손학규, 韓·EU FTA 반대로 돌아

'야권연대'	'/SS+야권/NNG+연대/NNG+'/SS
선택	선택/NNG
손학규,	손학규/NNP+,/SP
韓·EU	韓/SH+·/SP+EU/SL
FTA	FTA/SL
반대로	반대/NNG+로/JKB
돌아	돌/VV+아/EC


# id : NWRW1800000030.317.2.1
•민노당 압박에 지도부 굴복… 孫대표, 진보진영 손 잡아… 최고위원 7명 "비준 안돼"

•민노당	•/SW+민노당/NNP
압박에	압박/NNG+에/JKB
지도부	지도부/NNG
굴복…	굴복/NNG+…/SE
孫대표,	孫/SH+대표/NNG+,/SP
진보진영	진보/NNG+진영/NNG
손	손/NNG
잡아…	잡/VV+아/EC+…/SE
최고위원	최고/NNG+위원/NNG
7명	7/SN+명/NNB
"비준	"/SS+비준/NNG
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000030.317.3.1
민주당 지도부는 4일 '한·EU 자유무역협정(FTA)'의 필요성을 인정하면서도 '야권연대'란 정략적 이익을 선택했다.

민주당	민주당/NNP
지도부는	지도부/NNG+는/JX
4일	4/SN+일/NNB
'한·EU	'/SS+한/NNP+·/SP+EU/SL
자유무역협정(FTA)'의	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+'/SS+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
인정하면서도	인정/NNG+하/XSV+면서/EC+도/JX
'야권연대'란	'/SS+야권/NNG+연대/NNG+'/SS+이/VCP+란/ETM
정략적	정략/NNG+적/XSN
이익을	이익/NNG+을/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.3.2
민노당이 "한나라당과의 약속과 야권연대 중 무엇을 선택하겠느냐"면서 압박하자 민주당은 이에 굴복했다.

민노당이	민노당/NNP+이/JKS
"한나라당과의	"/SS+한나라당/NNP+과/JKB+의/JKG
약속과	약속/NNG+과/JC
야권연대	야권/NNG+연대/NNG
중	중/NNB
무엇을	무엇/NP+을/JKO
선택하겠느냐"면서	선택/NNG+하/XSV+겠/EP+느냐/EF+"/SS+면서/EC
압박하자	압박/NNG+하/XSV+자/EC
민주당은	민주당/NNP+은/JX
이에	이/NP+에/JKB
굴복했다.	굴복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.4.1
손학규 대표도 그 중 하나였다.

손학규	손학규/NNP
대표도	대표/NNG+도/JX
그	그/MMD
중	중/NNB
하나였다.	하나/NR+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.317.4.2
손 대표는 이날 오전 의원총회에서 "(지난 2일 여야 합의는) 차선이라도 취해야 한다는 현실적 고뇌가 담긴 협상"이라면서도 "야권연대 역시 가볍게 넘길 수 없는 문제"라고 했다.

손	손/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
의원총회에서	의원/NNG+총회/NNG+에서/JKB
"(지난	"/SS+(/SS+지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
여야	여야/NNG
합의는)	합의/NNG+는/JX+)/SS
차선이라도	차선/NNG+이/VCP+라도/EC
취해야	취하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
현실적	현실/NNG+적/XSN
고뇌가	고뇌/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
협상"이라면서도	협상/NNG+"/SS+이/VCP+라면서/EC+도/JX
"야권연대	"/SS+야권/NNG+연대/NNG
역시	역시/MAG
가볍게	가볍/VA+게/EC
넘길	넘기/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.4.3
군소야당과 사전에 협의하지 않은 것에 사과도 했다.

군소야당과	군소/NNG+야당/NNG+과/JKB
사전에	사전/NNG+에/JKB
협의하지	협의/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것에	것/NNB+에/JKB
사과도	사과/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.4.4
그는 오후 의총에서 "피해산업 대책도 더 논의되어야 하지만 특히 야권연대 문제가 있으니 당장 할 필요는 없다. 오늘 처리를 유보하자"고 결론 내렸다.

그는	그/NP+는/JX
오후	오후/NNG
의총에서	의총/NNG+에서/JKB
"피해산업	"/SS+피해/NNG+산업/NNG
대책도	대책/NNG+도/JX
더	더/MAG
논의되어야	논의/NNG+되/XSV+어야/EC
하지만	하/VX+지만/EC
특히	특히/MAG
야권연대	야권/NNG+연대/NNG
문제가	문제/NNG+가/JKS
있으니	있/VA+으니/EC
당장	당장/NNG
할	하/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다.	없/VA+다/EF+./SF
오늘	오늘/NNG
처리를	처리/NNG+를/JKO
유보하자"고	유보/NNG+하/XSV+자/EF+"/SS+고/JKQ
결론	결론/NNG
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.317.4.5
손 대표는 경기지사 시절에는 외화유치에 발벗고 나섰던 통상론자이자 FTA 찬성론자였다.

손	손/NNP
대표는	대표/NNG+는/JX
경기지사	경기/NNP+지사/NNG
시절에는	시절/NNG+에/JKB+는/JX
외화유치에	외화/NNG+유치/NNG+에/JKB
발벗고	발/NNG+벗/VV+고/EC
나섰던	나서/VV+었/EP+던/ETM
통상론자이자	통상론자/NNG+이/VCP+자/EC
FTA	FTA/SL
찬성론자였다.	찬성론자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.317.4.6
이번 성남 분당을 보궐선거에선 그런 중도 이미지를 내세워 중산층 유권자를 공략했고 승리했다.

이번	이번/NNG
성남	성남/NNP
분당을	분당을/NNP
보궐선거에선	보궐/NNG+선거/NNG+에서/JKB+ㄴ/JX
그런	그런/MMD
중도	중도/NNG
이미지를	이미지/NNG+를/JKO
내세워	내세우/VV+어/EC
중산층	중산/NNG+층/XSN
유권자를	유권자/NNG+를/JKO
공략했고	공략/NNG+하/XSV+았/EP+고/EC
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.4.7
그러나 이번엔 중도와 진보 사이를 저울질하는 모습을 보이다가 진보의 손을 잡았다.

그러나	그러나/MAJ
이번엔	이번/NNG+에/JKB+ㄴ/JX
중도와	중도/NNG+와/JC
진보	진보/NNG
사이를	사이/NNG+를/JKO
저울질하는	저울/NNG+질/XSN+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보이다가	보이/VV+다가/EC
진보의	진보/NNG+의/JKG
손을	손/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.4.8
손 대표 주변에서도 "소신대로 찬성했어야 했다"는 얘기가 나왔다.

손	손/NNP
대표	대표/NNG
주변에서도	주변/NNG+에서/JKB+도/JX
"소신대로	"/SS+소신/NNG+대로/JX
찬성했어야	찬성/NNG+하/XSV+았/EP+어야/EC
했다"는	하/VX+았/EP+다/EF+"/SS+는/ETM
얘기가	얘기/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.5.1
이날 민주당 최고위원회의에서는 손 대표를 뺀 8명 가운데 7명이 한·EU FTA에 반대하거나 더 늦춰야 한다는 입장을 밝혔다.

이날	이날/NNG
민주당	민주당/NNP
최고위원회의에서는	최고/NNG+위원/NNG+회의/NNG+에서/JKB+는/JX
손	손/NNP
대표를	대표/NNG+를/JKO
뺀	빼/VV+ㄴ/ETM
8명	8/SN+명/NNB
가운데	가운데/NNG
7명이	7/SN+명/NNB+이/JKS
한·EU	한/NNP+·/SP+EU/SL
FTA에	FTA/SL+에/JKB
반대하거나	반대/NNG+하/XSV+거나/EC
더	더/MAG
늦춰야	늦추/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.317.5.2
주된 이유 역시 '야권연대'였다고 한다.

주된	주/NNG+되/XSV+ㄴ/ETM
이유	이유/NNG
역시	역시/MAG
'야권연대'였다고	'/SS+야권/NNG+연대/NNG+'/SS+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.317.5.3
몇몇 최고위원은 "협상 결과는 좋게 평가하지만 야권 연대와 연합을 위해 5월 혹은 6월로 넘겨서 고민하는 모습을 보여야 한다"고 했다.

몇몇	몇몇/NR
최고위원은	최고/NNG+위원/NNG+은/JX
"협상	"/SS+협상/NNG
결과는	결과/NNG+는/JX
좋게	좋/VA+게/EC
평가하지만	평가/NNG+하/XSV+지만/EC
야권	야권/NNG
연대와	연대/NNG+와/JC
연합을	연합/NNG+을/JKO
위해	위하/VV+아/EC
5월	5/SN+월/NNB
혹은	혹은/MAG
6월로	6/SN+월/NNB+로/JKB
넘겨서	넘기/VV+어서/EC
고민하는	고민/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보여야	보이/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.317.5.4
지금 당장도 가능하지만 범(汎)야권의 결집을 위해 의도적으로 늦춰야 한다는 얘기였다.

지금	지금/MAG
당장도	당장/NNG+도/JX
가능하지만	가능/NNG+하/XSA+지만/EC
범(汎)야권의	범/XPN+(/SS+汎/SH+)/SS+야권/NNG+의/JKG
결집을	결집/NNG+을/JKO
위해	위하/VV+아/EC
