# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.342
metadata : {}


# id : NWRW1800000040.342.1.1
[아침 햇발] ‘어떤 도움도 받지 않았다’는 거짓말 / 김이택

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
‘어떤	‘/SS+어떤/MMD
도움도	도움/NNG+도/JX
받지	받/VV+지/EC
않았다’는	않/VX+았/EP+다/EF+’/SS+는/ETM
거짓말	거짓말/NNG
/	//SP
김이택	김이택/NNP


# id : NWRW1800000040.342.2.1
“저걸 대선 때 확 깠어야 되는 건데.”

“저걸	“/SS+저거/NP+ㄹ/JKO
대선	대선/NNG
때	때/NNG
확	확/MAG
깠어야	까/VV+았/EP+어야/EC
되는	되/VV+는/ETM
건데.”	거/NNB+이/VCP+ㄴ데/EF+./SF+”/SS


# id : NWRW1800000040.342.3.1
지난 17일 서울경찰청 디지털증거분석실 폐회로티브이 동영상이 상영되던 서울광장 한쪽에서 들려온 목소리엔 짙은 아쉬움이 배어 있었다.

지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
서울경찰청	서울경찰청/NNP
디지털증거분석실	디지털/NNG+증거/NNG+분석실/NNG
폐회로티브이	폐회로/NNG+티브이/NNG
동영상이	동영상/NNG+이/JKS
상영되던	상영/NNG+되/XSV+던/ETM
서울광장	서울광장/NNP
한쪽에서	한쪽/NNG+에서/JKB
들려온	들려오/VV+ㄴ/ETM
목소리엔	목소리/NNG+에/JKB+ㄴ/JX
짙은	짙/VA+은/ETM
아쉬움이	아쉬움/NNG+이/JKS
배어	배/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.342.3.2
지난해 12월16일 서울청 분석팀은 이미 댓글 실체를 알고 있었으나 경찰 발표 내용은 정반대였다.

지난해	지난해/NNG
12월16일	12/SN+월/NNB+16/SN+일/NNB
서울청	서울청/NNP
분석팀은	분석/NNG+팀/NNG+은/JX
이미	이미/MAG
댓글	댓글/NNG
실체를	실체/NNG+를/JKO
알고	알/VV+고/EC
있었으나	있/VX+었/EP+으나/EC
경찰	경찰/NNG
발표	발표/NNG
내용은	내용/NNG+은/JX
정반대였다.	정반대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.342.3.3
그 영상을 보면, 문재인 후보 지지자가 아니라도 경찰 발표가 제대로 됐다면 선거 결과가 달랐을 수도 있겠다고 생각하는 게 무리가 아니다.

그	그/MMD
영상을	영상/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
문재인	문재인/NNP
후보	후보/NNG
지지자가	지지자/NNG+가/JKC
아니라도	아니/VCN+라도/EC
경찰	경찰/NNG
발표가	발표/NNG+가/JKS
제대로	제대로/MAG
됐다면	되/VV+었/EP+다면/EC
선거	선거/NNG
결과가	결과/NNG+가/JKS
달랐을	다르/VA+았/EP+을/ETM
수도	수/NNB+도/JX
있겠다고	있/VA+겠/EP+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
무리가	무리/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000040.342.4.1
국회 청문회에서 여당의 지원을 받은 국정원과 경찰 간부들이 입을 맞춘 듯 변명을 내놓았으나, 검찰 공소장 한번 훑어보고 <뉴스타파>에 들러 증거분석실 동영상을 들여다보기만 해도 국정원·경찰 논리는 한방에 깨지게 돼 있다.

국회	국회/NNG
청문회에서	청문회/NNG+에서/JKB
여당의	여당/NNG+의/JKG
지원을	지원/NNG+을/JKO
받은	받/VV+은/ETM
국정원과	국정원/NNG+과/JC
경찰	경찰/NNG
간부들이	간부/NNG+들/XSN+이/JKS
입을	입/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
듯	듯/NNB
변명을	변명/NNG+을/JKO
내놓았으나,	내놓/VV+았/EP+으나/EC+,/SP
검찰	검찰/NNG
공소장	공소장/NNG
한번	한번/MAG
훑어보고	훑어보/VV+고/EC
<뉴스타파>에	</SS+뉴스타파/NNP+>/SS+에/JKB
들러	들르/VV+어/EC
증거분석실	증거/NNG+분석실/NNG
동영상을	동영상/NNG+을/JKO
들여다보기만	들여다보/VV+기/ETN+만/JX
해도	하/VX+아도/EC
국정원·경찰	국정원/NNG+·/SP+경찰/NNG
논리는	논리/NNG+는/JX
한방에	한/MMN+방/NNB+에/JKB
깨지게	깨지/VV+게/EC
