# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.53
metadata : {}


# id : NWRW1800000054.53.1.1
"때론 현악기, 때론 성악가 같은 아코디언으로 서울을 적셔 볼게요"

"때론	"/SS+때로/MAG+ㄴ/JX
현악기,	현악기/NNG+,/SP
때론	때로/MAG+ㄴ/JX
성악가	성악가/NNG
같은	같/VA+은/ETM
아코디언으로	아코디언/NNG+으로/JKB
서울을	서울/NNP+을/JKO
적셔	적시/VV+어/EC
볼게요"	보/VX+ㄹ게/EF+요/JX+"/SS


# id : NWRW1800000054.53.2.1
금호아트홀 라이징스타에 오른 클래식 아코디언 연주자 전유정

금호아트홀	금호아트홀/NNP
라이징스타에	라이징/NNG+스타/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
클래식	클래식/NNG
아코디언	아코디언/NNG
연주자	연주자/NNG
전유정	전유정/NNP


# id : NWRW1800000054.53.3.1
10년 전, 러시아 서부 바시키르 공화국의 수도 우파로 향하는 비행기에서 중학교를 갓 졸업한 소녀는 러시아 글자를 처음 써봤다.

10년	10/SN+년/NNB
전,	전/NNG+,/SP
러시아	러시아/NNP
서부	서부/NNG
바시키르	바시키르/NNP
공화국의	공화국/NNG+의/JKG
수도	수도/NNG
우파로	우파/NNP+로/JKB
향하는	향하/VV+는/ETM
비행기에서	비행기/NNG+에서/JKB
중학교를	중학교/NNG+를/JKO
갓	갓/MAG
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
소녀는	소녀/NNG+는/JX
글자를	글자/NNG+를/JKO
처음	처음/NNG
써봤다.	쓰/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.53.3.2
"무서울 게 없었어요.

"무서울	"/SS+무섭/VA+ㄹ/ETM
게	거/NNB+이/JKS
없었어요.	없/VA+었/EP+어요/EF+./SF


# id : NWRW1800000054.53.3.3
말만 유학이지 1년만 놀다 올 생각이었거든요." 운명은 엉뚱한 데로 튀었다.

말만	말/NNG+만/JX
유학이지	유학/NNG+이/VCP+지/EC
1년만	1/SN+년/NNB+만/JX
놀다	놀/VV+다/EC
올	오/VV+ㄹ/ETM
생각이었거든요."	생각/NNG+이/VCP+었/EP+거든/EF+요/JX+./SF+"/SS
운명은	운명/NNG+은/JX
엉뚱한	엉뚱하/VA+ㄴ/ETM
데로	데/NNB+로/JKB
튀었다.	튀/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.53.3.4
국립영재음악원 첫 수업에서 교수는 당시 클래식 아코디언을 가장 잘한다는 러시아 젊은이의 공연에 그녀를 데려갔다.

국립영재음악원	국립영재음악원/NNP
첫	첫/MMN
수업에서	수업/NNG+에서/JKB
교수는	교수/NNG+는/JX
당시	당시/NNG
클래식	클래식/NNG
아코디언을	아코디언/NNG+을/JKO
가장	가장/MAG
잘한다는	잘/MAG+하/XSV+ㄴ다는/ETM
러시아	러시아/NNP
젊은이의	젊은이/NNG+의/JKG
공연에	공연/NNG+에/JKB
그녀를	그녀/NP+를/JKO
데려갔다.	데려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.53.3.5
"걔보단 제가 더 잘할 것 같았어요.

"걔보단	"/SS+걔/NP+보다/JKB+ㄴ/JX
제가	제/NP+가/JKS
더	더/MAG
잘할	잘/MAG+하/XSV+ㄹ/ETM
것	것/NNB
같았어요.	같/VA+았/EP+어요/EF+./SF


# id : NWRW1800000054.53.3.6
기숙사로 돌아가자마자 부모님께 '5년 계획표'를 짜서 보냈죠." 다짐은 이랬다.

기숙사로	기숙사/NNG+로/JKB
돌아가자마자	돌아가/VV+자마자/EC
부모님께	부모/NNG+님/XSN+께/JKB
'5년	'/SS+5/SN+년/NNB
계획표'를	계획표/NNG+'/SS+를/JKO
짜서	짜/VV+아서/EC
보냈죠."	보내/VV+었/EP+죠/EF+./SF+"/SS
다짐은	다짐/NNG+은/JX
이랬다.	이렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.53.3.7
"첫해에 러시아 콩쿠르에서 입상, 2년 차엔 독주회 개최, 3년 차엔 국제 콩쿠르 3위 입상, 4년 차엔 국제 콩쿠르 우승, 5년 차엔 교향악단과 협연."

"첫해에	"/SS+첫해/NNG+에/JKB
러시아	러시아/NNP
콩쿠르에서	콩쿠르/NNG+에서/JKB
입상,	입상/NNG+,/SP
2년	2/SN+년/NNB
차엔	차/NNB+에/JKB+ㄴ/JX
독주회	독주회/NNG
개최,	개최/NNG+,/SP
3년	3/SN+년/NNB
국제	국제/NNG
콩쿠르	콩쿠르/NNG
3위	3/SN+위/NNB
4년	4/SN+년/NNB
우승,	우승/NNG+,/SP
5년	5/SN+년/NNB
교향악단과	교향악단/NNG+과/JKB
협연."	협연/NNG+./SF+"/SS


# id : NWRW1800000054.53.4.1
20일 서울 문호아트홀에서 만난 그녀는 목표를 이뤘느냐는 질문에 "생각보다 빨리!" 하며 웃었다.

20일	20/SN+일/NNB
서울	서울/NNP
문호아트홀에서	문호아트홀/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
그녀는	그녀/NP+는/JX
목표를	목표/NNG+를/JKO
이뤘느냐는	이루/VV+었/EP+느냐는/ETM
질문에	질문/NNG+에/JKB
"생각보다	"/SS+생각/NNG+보다/JKB
빨리!"	빨리/MAG+!/SF+"/SS
하며	하/VV+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.53.4.2
클래식 아코디어니스트 전유정(26).

클래식	클래식/NNG
아코디어니스트	아코디어니스트/NNG
전유정(26).	전유정/NNP+(/SS+26/SN+)/SS+./SF


# id : NWRW1800000054.53.4.3
중3 때 처음 아코디언을 잡았다가 이듬해 러시아로 유학을 떠나 우파국립음대를 거쳐 그네신국립음대를 수석 졸업했다.

중3	중/NNG+3/SN
때	때/NNG
처음	처음/NNG
아코디언을	아코디언/NNG+을/JKO
잡았다가	잡/VV+았/EP+다가/EC
이듬해	이듬해/NNG
러시아로	러시아/NNP+로/JKB
유학을	유학/NNG+을/JKO
떠나	떠나/VV+아/EC
우파국립음대를	우파국립음대/NNP+를/JKO
거쳐	거치/VV+어/EC
그네신국립음대를	그네신국립음대/NNP+를/JKO
수석	수석/NNG
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.53.4.4
