# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.252
metadata : {}


# id : NWRW1800000049.252.1.1
[횡설수설/권순활]임성기 약국과 한미약품

[횡설수설/권순활]임성기	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+임성기/NNP
약국과	약국/NNG+과/JC
한미약품	한미약품/NNP


# id : NWRW1800000049.252.2.1
전봇대가 골목골목 늘어서 있던 시절, 서울의 많은 전봇대에 붙어있던 광고지가 있었다.

전봇대가	전봇대/NNG+가/JKS
골목골목	골목골목/NNG
늘어서	늘어서/VV+어/EC
있던	있/VX+던/ETM
시절,	시절/NNG+,/SP
서울의	서울/NNP+의/JKG
많은	많/VA+은/ETM
전봇대에	전봇대/NNG+에/JKB
붙어있던	붙/VV+어/EC+있/VX+던/ETM
광고지가	광고지/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.252.2.2
‘임질 매독 임성기 약국(전화번호).’ 중앙대 약대 출신인 임성기 한미약품 회장은 27세 때인 1967년 서울 종로5가에 자신의 이름을 내건 약국을 열었다.

‘임질	‘/SS+임질/NNG
매독	매독/NNG
임성기	임성기/NNP
약국(전화번호).’	약국/NNG+(/SS+전화번호/NNG+)/SS+./SF+’/SS
중앙대	중앙대/NNP
약대	약대/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
한미약품	한미약품/NNP
회장은	회장/NNG+은/JX
27세	27/SN+세/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
1967년	1967/SN+년/NNB
서울	서울/NNP
종로5가에	종로5가/NNP+에/JKB
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
내건	내걸/VV+ㄴ/ETM
약국을	약국/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.252.2.3
당시로는 드물게 성병 치료약을 취급해 대박을 쳤다.

당시로는	당시/NNG+로/JKB+는/JX
드물게	드물/VA+게/EC
성병	성병/NNG
치료약을	치료/NNG+약/NNG+을/JKO
취급해	취급/NNG+하/XSV+아/EC
대박을	대/XPN+박/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.252.2.4
월남전이 한창이던 시절 군복무 중 얻은 ‘쑥스러운 병’으로 고민하던 젊은 남성들에게는 구세주였다.

월남전이	월남전/NNG+이/JKS
한창이던	한창/NNG+이/VCP+던/ETM
시절	시절/NNG
군복무	군/NNG+복무/NNG
중	중/NNB
얻은	얻/VV+은/ETM
‘쑥스러운	‘/SS+쑥스럽/VA+ㄴ/ETM
병’으로	병/NNG+’/SS+으로/JKB
고민하던	고민/NNG+하/XSV+던/ETM
젊은	젊/VA+은/ETM
남성들에게는	남성/NNG+들/XSN+에게/JKB+는/JX
구세주였다.	구세주/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.252.2.5
그는 약국에서 번 돈으로 1973년 한미약품을 창업했다.

그는	그/NP+는/JX
약국에서	약국/NNG+에서/JKB
번	벌/VV+ㄴ/ETM
돈으로	돈/NNG+으로/JKB
1973년	1973/SN+년/NNB
한미약품을	한미약품/NNP+을/JKO
창업했다.	창업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.252.3.1
▷평소 “제대로 된 글로벌 신약을 만들어 내는 게 평생의 꿈”이라고 강조한 임 회장은 연구개발(R&D) 투자를 아끼지 않았다.

▷평소	▷/SW+평소/NNG
“제대로	“/SS+제대로/MAG
된	되/VV+ㄴ/ETM
글로벌	글로벌/NNG
신약을	신약/NNG+을/JKO
만들어	만들/VV+어/EC
내는	내/VX+는/ETM
게	거/NNB+이/JKS
평생의	평생/NNG+의/JKG
꿈”이라고	꿈/NNG+”/SS+이라고/JKQ
강조한	강조/NNG+하/XSV+ㄴ/ETM
임	임/NNP
회장은	회장/NNG+은/JX
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
투자를	투자/NNG+를/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.252.3.2
한미약품은 창사 이래 첫 적자를 낸 2010년에도 852억 원을 R&D에 투입하는 등 지난 5년간 매출액의 15% 이상을 쏟아부었다.

한미약품은	한미약품/NNP+은/JX
창사	창사/NNG
이래	이래/NNB
첫	첫/MMN
적자를	적자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
2010년에도	2010/SN+년/NNB+에/JKB+도/JX
852억	852/SN+억/NR
원을	원/NNB+을/JKO
R&D에	R/SL+&/SW+D/SL+에/JKB
투입하는	투입/NNG+하/XSV+는/ETM
등	등/NNB
지난	지나/VV+ㄴ/ETM
5년간	5/SN+년/NNB+간/XSN
매출액의	매출액/NNG+의/JKG
15%	15/SN+%/SW
이상을	이상/NNG+을/JKO
쏟아부었다.	쏟아붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.252.3.3
1년 365일 불이 꺼지지 않는 연구센터는 한미약품이 지난해 베링거인겔하임 사노피 얀센 같은 글로벌 제약업체와 약 8조 원 규모의 수출계약을 잇달아 성사시키는 개가를 올리게 한 산실이다.

1년	1/SN+년/NNB
365일	365/SN+일/NNB
불이	불/NNG+이/JKS
꺼지지	꺼지/VV+지/EC
않는	않/VX+는/ETM
연구센터는	연구/NNG+센터/NNG+는/JX
한미약품이	한미약품/NNP+이/JKS
지난해	지난해/NNG
베링거인겔하임	베링거인겔하임/NNP
사노피	사노피/NNP
얀센	얀센/NNP
같은	같/VA+은/ETM
글로벌	글로벌/NNG
제약업체와	제약업체/NNG+와/JC
약	약/MMA
8조	8/SN+조/NR
원	원/NNB
규모의	규모/NNG+의/JKG
수출계약을	수출/NNG+계약/NNG+을/JKO
잇달아	잇달/VV+아/EC
성사시키는	성사/NNG+시키/XSV+는/ETM
개가를	개가/NNG+를/JKO
올리게	올리/VV+게/EC
한	하/VX+ㄴ/ETM
산실이다.	산실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.252.4.1
▷임 회장이 4일 자신이 보유한 한미사이언스(한미약품 지주회사) 주식 중 약 90만 주(시가 1100억 원대)를 2800여 명의 직원에게 무상증여한다는 ‘통 큰 보너스’ 계획을 발표해 화제다.

▷임	▷/SW+임/NNP
회장이	회장/NNG+이/JKS
4일	4/SN+일/NNB
자신이	자신/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
한미사이언스(한미약품	한미사이언스/NNP+(/SS+한미약품/NNP
지주회사)	지주/NNG+회사/NNG+)/SS
주식	주식/NNG
중	중/NNB
약	약/MMA
90만	90/SN+만/NR
주(시가	주/NNG+(/SS+시가/NNG
1100억	1100/SN+억/NR
원대)를	원/NNB+대/XSN+)/SS+를/JKO
2800여	2800/SN+여/XSN
명의	명/NNB+의/JKG
직원에게	직원/NNG+에게/JKB
무상증여한다는	무상/NNG+증여/NNG+하/XSV+ㄴ다는/ETM
‘통	‘/SS+통/NNG
큰	크/VA+ㄴ/ETM
보너스’	보너스/NNG+’/SS
계획을	계획/NNG+을/JKO
발표해	발표/NNG+하/XSV+아/EC
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.252.4.2
직원들이 받을 새해 주식 선물은 월급여의 1000%로 1인당 평균 4000만 원에 이른다.

직원들이	직원/NNG+들/XSN+이/JKS
받을	받/VV+을/ETM
새해	새해/NNG
주식	주식/NNG
선물은	선물/NNG+은/JX
월급여의	월/NNG+급여/NNG+의/JKG
1000%로	1000/SN+%/SW+로/JKB
1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
4000만	4000/SN+만/NR
원에	원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.252.4.3
200%의 별도 성과급을 합치면 1년 연봉을 더 받는 셈이다.

200%의	200/SN+%/SW+의/JKG
별도	별도/NNG
성과급을	성과급/NNG+을/JKO
합치면	합치/VV+면/EC
1년	1/SN+년/NNB
연봉을	연봉/NNG+을/JKO
더	더/MAG
받는	받/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.252.4.4
그는 “어려울 때 허리띠를 졸라매며 연구개발 투자를 가능케 한 임직원들에 대한 ‘마음의 빚’을 갚기 위한 결정”이라고 했다.

그는	그/NP+는/JX
“어려울	“/SS+어렵/VA+ㄹ/ETM
때	때/NNG
허리띠를	허리띠/NNG+를/JKO
졸라매며	졸라매/VV+며/EC
연구개발	연구/NNG+개발/NNG
투자를	투자/NNG+를/JKO
가능케	가능/NNG+하/XSA+게/EC
한	하/VX+ㄴ/ETM
임직원들에	임직원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
‘마음의	‘/SS+마음/NNG+의/JKG
빚’을	빚/NNG+’/SS+을/JKO
갚기	갚/VV+기/ETN
위한	위하/VV+ㄴ/ETM
결정”이라고	결정/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.252.5.1
