# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.389
metadata : {}


# id : NWRW1800000032.389.1.1
검찰, 2년만에 공안회의…“강정마을 등 집단행동 엄단”

검찰,	검찰/NNG+,/SP
2년만에	2/SN+년/NNB+만/NNB+에/JKB
공안회의…“강정마을	공안/NNG+회의/NNG+…/SE+“/SS+강정마을/NNP
등	등/NNB
집단행동	집단행동/NNG
엄단”	엄단/NNG+”/SS


# id : NWRW1800000032.389.2.1
국방부·경찰청·기무사 간부 참석 ‘강경대응’ 협의

국방부·경찰청·기무사	국방부/NNG+·/SP+경찰청/NNG+·/SP+기무사/NNG
간부	간부/NNG
참석	참석/NNG
‘강경대응’	‘/SS+강경/NNG+대응/NNG+’/SS
협의	협의/NNG


# id : NWRW1800000032.389.3.1
해군기지 방해 혐의 3명 구속…공권력 투입 촉각

해군기지	해군/NNG+기지/NNG
방해	방해/NNG
혐의	혐의/NNG
3명	3/SN+명/NNB
구속…공권력	구속/NNG+…/SE+공권력/NNG
투입	투입/NNG
촉각	촉각/NNG


# id : NWRW1800000032.389.4.1
검찰이 2년여 만에 ‘공안대책협의회’를 열어 해군기지 건설사업과 관련해 주민과 경찰이 충돌을 빚은 ‘제주 강정마을 사태’ 등을 불법 집단행동으로 규정하고 강경 대처하기로 방침을 정했다.

검찰이	검찰/NNG+이/JKS
2년여	2/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
‘공안대책협의회’를	‘/SS+공안/NNG+대책/NNG+협의회/NNG+’/SS+를/JKO
열어	열/VV+어/EC
해군기지	해군/NNG+기지/NNG
건설사업과	건설/NNG+사업/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
주민과	주민/NNG+과/JC
경찰이	경찰/NNG+이/JKS
충돌을	충돌/NNG+을/JKO
빚은	빚/VV+은/ETM
‘제주	‘/SS+제주/NNP
강정마을	강정마을/NNP
사태’	사태/NNG+’/SS
등을	등/NNB+을/JKO
불법	불법/NNG
집단행동으로	집단행동/NNG+으로/JKB
규정하고	규정/NNG+하/XSV+고/EC
강경	강경/NNG
대처하기로	대처/NNG+하/XSV+기/ETN+로/JKB
방침을	방침/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.389.4.2
경찰도 이런 기조에 따라 27~28일 서울 도심에서 열릴 ‘제4차 희망버스’ 행사에서 점거 시위 등이 벌어질 경우 엄정 대응하겠다고 밝혀 집회 참가자들과 경찰의 물리적 충돌이 예상된다.

경찰도	경찰/NNG+도/JX
이런	이런/MMD
기조에	기조/NNG+에/JKB
따라	따르/VV+아/EC
27~28일	27/SN+~/SO+28/SN+일/NNB
서울	서울/NNP
도심에서	도심/NNG+에서/JKB
열릴	열리/VV+ㄹ/ETM
‘제4차	‘/SS+제/XPN+4/SN+차/NNB
희망버스’	희망/NNG+버스/NNG+’/SS
행사에서	행사/NNG+에서/JKB
점거	점거/NNG
시위	시위/NNG
등이	등/NNB+이/JKS
