# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.284
metadata : {}


# id : NWRW1800000048.284.1.1
몰래카메라 범죄, 하루 평균 18건이나 발생

몰래카메라	몰래카메라/NNG
범죄,	범죄/NNG+,/SP
하루	하루/NNG
평균	평균/NNG
18건이나	18/SN+건/NNB+이나/JX
발생	발생/NNG


# id : NWRW1800000048.284.2.1
5년새 6배가량 늘어…2010년 1134건→지난해 6623건

5년새	5/SN+년/NNB+새/NNG
6배가량	6/SN+배/NNG+가량/XSN
늘어…2010년	늘/VV+어/EC+…/SE+2010/SN+년/NNB
1134건→지난해	1134/SN+건/NNB+→/SW+지난해/NNG
6623건	6623/SN+건/NNB


# id : NWRW1800000048.284.3.1
최근 유명 워터파크 샤워실을 몰래 촬영한 동영상이 유출돼 논란을 빚고 있는 가운데 ‘몰래카메라’를 이용해 여성을 촬영·유포하는 성폭력 범죄가 지난 5년 사이 5배 이상 급증한 것으로 나타났다.

최근	최근/MAG
유명	유명/NNG
워터파크	워터파크/NNG
샤워실을	샤워실/NNG+을/JKO
몰래	몰래/MAG
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
동영상이	동영상/NNG+이/JKS
유출돼	유출/NNG+되/XSV+어/EC
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
‘몰래카메라’를	‘/SS+몰래카메라/NNG+’/SS+를/JKO
이용해	이용/NNG+하/XSV+아/EC
여성을	여성/NNG+을/JKO
촬영·유포하는	촬영/NNG+·/SP+유포/NNG+하/XSV+는/ETM
성폭력	성폭력/NNG
범죄가	범죄/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
5년	5/SN+년/NNB
사이	사이/NNG
5배	5/SN+배/NNG
이상	이상/NNG
급증한	급증/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.284.4.1
국회 안전행정위원회 소속 새정치민주연합 박남춘 의원이 27일 경찰청으로부터 제출받은 자료를 보면, 2010년 한해 1134건이었던 ‘몰카 범죄’가 지난해 6623건으로 크게 늘었다.

국회	국회/NNG
안전행정위원회	안전/NNG+행정/NNG+위원회/NNG
소속	소속/NNG
새정치민주연합	새정치민주연합/NNP
박남춘	박남춘/NNP
의원이	의원/NNG+이/JKS
27일	27/SN+일/NNB
경찰청으로부터	경찰청/NNG+으로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
2010년	2010/SN+년/NNB
한해	한/MMN+해/NNB
1134건이었던	1134/SN+건/NNB+이/VCP+었/EP+던/ETM
‘몰카	‘/SS+몰카/NNG
범죄’가	범죄/NNG+’/SS+가/JKS
지난해	지난해/NNG
6623건으로	6623/SN+건/NNB+으로/JKB
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.284.4.2
지난해 기준 하루 평균 18건의 ‘몰카’ 범죄가 발생한 셈이다.

지난해	지난해/NNG
기준	기준/NNG
하루	하루/NNG
평균	평균/NNG
18건의	18/SN+건/NNB+의/JKG
‘몰카’	‘/SS+몰카/NNG+’/SS
범죄가	범죄/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.284.4.3
지역별로는 서울이 전국 ‘몰카 범죄’의 40%를 차지해 가장 많았고, 경기·부산·대구 등의 순서로 인구가 밀집한 대도시에 범죄가 집중됐다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
서울이	서울/NNP+이/JKS
전국	전국/NNG
‘몰카	‘/SS+몰카/NNG
범죄’의	범죄/NNG+’/SS+의/JKG
40%를	40/SN+%/SW+를/JKO
차지해	차지/NNG+하/XSV+아/EC
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
경기·부산·대구	경기/NNP+·/SP+부산/NNP+·/SP+대구/NNP
등의	등/NNB+의/JKG
순서로	순서/NNG+로/JKB
인구가	인구/NNG+가/JKS
밀집한	밀집/NNG+하/XSV+ㄴ/ETM
대도시에	대/XPN+도시/NNG+에/JKB
범죄가	범죄/NNG+가/JKS
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.284.5.1
특히 스마트폰 등의 영상촬영기기가 대중화하면서 이를 악용한 범죄도 빠른 속도로 늘고 있지만 처벌 기준이 약해 대책이 시급하다는 지적이 잇따르고 있다.

특히	특히/MAG
스마트폰	스마트폰/NNG
등의	등/NNB+의/JKG
영상촬영기기가	영상/NNG+촬영/NNG+기기/NNG+가/JKS
대중화하면서	대중/NNG+화/XSN+하/XSV+면서/EC
이를	이/NP+를/JKO
악용한	악용/NNG+하/XSV+ㄴ/ETM
범죄도	범죄/NNG+도/JX
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
늘고	늘/VV+고/EC
있지만	있/VX+지만/EC
처벌	처벌/NNG
기준이	기준/NNG+이/JKS
약해	약하/VA+아/EC
대책이	대책/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
지적이	지적/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.284.5.2
몰카 범죄는 현행 성폭력특례법에 따라 5년 이하의 징역 또는 1천만원 이하의 벌금형에 처해진다.

몰카	몰카/NNG
범죄는	범죄/NNG+는/JX
현행	현행/NNG
성폭력특례법에	성폭력/NNG+특례법/NNG+에/JKB
따라	따르/VV+아/EC
5년	5/SN+년/NNB
이하의	이하/NNG+의/JKG
징역	징역/NNG
또는	또는/MAG
1천만원	1/SN+천만/NR+원/NNB
벌금형에	벌금형/NNG+에/JKB
처해진다.	처하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.284.5.3
박 의원은 “동영상을 활용한 몰카 범죄는 복제 기능으로 인해 한번 피해를 당하면 피해 복구가 안 되는 속성이 있다”며 “강력한 법적 제재와 함께 사회적 인식 변화의 노력이 필요하다”고 말했다.

박	박/NNP
의원은	의원/NNG+은/JX
“동영상을	“/SS+동영상/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
몰카	몰카/NNG
범죄는	범죄/NNG+는/JX
복제	복제/NNG
기능으로	기능/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
한번	한번/MAG
피해를	피해/NNG+를/JKO
당하면	당하/VV+면/EC
피해	피해/NNG
복구가	복구/NNG+가/JKC
안	안/MAG
되는	되/VV+는/ETM
속성이	속성/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“강력한	“/SS+강력/NNG+하/XSA+ㄴ/ETM
법적	법/NNG+적/XSN
제재와	제재/NNG+와/JKB
함께	함께/MAG
사회적	사회/NNG+적/XSN
인식	인식/NNG
변화의	변화/NNG+의/JKG
노력이	노력/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


