# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.176
metadata : {}


# id : NWRW1800000046.176.1.1
[기자수첩] 赦免(사면), 차라리 대통령 권한이라 말하라

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
赦免(사면),	赦免/SH+(/SS+사면/NNG+)/SS+,/SP
차라리	차라리/MAG
대통령	대통령/NNG
권한이라	권한/NNG+이/VCP+라/EC
말하라	말/NNG+하/XSV+라/EF


# id : NWRW1800000046.176.2.1
기준 지켰다는 법무부 말, 설득력 없다는 지적 많아 "정무적 판단" 떳떳이 밝혀야

기준	기준/NNG
지켰다는	지키/VV+었/EP+다는/ETM
법무부	법무부/NNG
말,	말/NNG+,/SP
설득력	설득력/NNG
없다는	없/VA+다는/ETM
지적	지적/NNG
많아	많/VA+아/EF
"정무적	"/SS+정무/NNG+적/XSN
판단"	판단/NNG+"/SS
떳떳이	떳떳이/MAG
밝혀야	밝히/VV+어야/EC


# id : NWRW1800000046.176.3.1
"정부는 (대통령의) 사면권 행사가 기준과 원칙에 따라 신중하고 엄정히 이뤄지게 했다."

"정부는	"/SS+정부/NNG+는/JX
(대통령의)	(/SS+대통령/NNG+의/JKG+)/SS
사면권	사면/NNG+권/XSN
행사가	행사/NNG+가/JKS
기준과	기준/NNG+과/JC
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
신중하고	신중/NNG+하/XSA+고/EC
엄정히	엄정히/MAG
이뤄지게	이뤄지/VV+게/EC
했다."	하/VX+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000046.176.4.1
13일 법무부는 광복 70주년 특별 사면·복권·감면자 명단을 발표하면서 이렇게 밝혔다.

13일	13/SN+일/NNB
법무부는	법무부/NNG+는/JX
광복	광복/NNG
70주년	70/SN+주년/NNB
특별	특별/NNG
사면·복권·감면자	사면/NNG+·/SP+복권/NNG+·/SP+감면자/NNG
명단을	명단/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
이렇게	이렇/VA+게/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.176.4.2
13쪽 남짓한 보도자료에 '기준과 원칙'이라는 문구가 7번이나 등장한다.

13쪽	13/SN+쪽/NNG
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
보도자료에	보도/NNG+자료/NNG+에/JKB
'기준과	'/SS+기준/NNG+과/JC
원칙'이라는	원칙/NNG+'/SS+이/VCP+라는/ETM
문구가	문구/NNG+가/JKS
7번이나	7/SN+번/NNB+이나/JX
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.176.4.3
