# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.316
metadata : {}


# id : NWRW1800000046.316.1.1
朴(朴 대통령) "삼위일체(黨·政·靑) 돼달라" 金(김무성 대표) "뒷받침 못해 죄송"

朴(朴	朴/SH+(/SS+朴/SH
대통령)	대통령/NNG+)/SS
"삼위일체(黨·政·靑)	"/SS+삼위일체/NNG+(/SS+黨/SH+·/SP+政/SH+·/SP+靑/SH+)/SS
돼달라"	되/VV+어/EC+달/VX+라/EF+"/SS
金(김무성	金/SH+(/SS+김무성/NNP
대표)	대표/NNG+)/SS
"뒷받침	"/SS+뒷받침/NNG
못해	못/MAG+하/XSV+아/EC
죄송"	죄송/XR+"/SS


# id : NWRW1800000046.316.2.1
朴대통령·與지도부 회동

朴대통령·與지도부	朴/SH+대통령/NNG+·/SP+與/SH+지도부/NNG
회동	회동/NNG


# id : NWRW1800000046.316.3.1
박근혜 대통령과 새누리당 김무성 대표, 유승민 원내대표, 원유철 정책위의장이 10일 청와대에서 회동하면서 흔들리던 당·정·청(黨政靑) 관계가 일단 난기류에서 벗어나는 분위기다.

박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
새누리당	새누리당/NNP
김무성	김무성/NNP
대표,	대표/NNG+,/SP
유승민	유승민/NNP
원내대표,	원내/NNG+대표/NNG+,/SP
원유철	원유철/NNP
정책위의장이	정책위/NNG+의장/NNG+이/JKS
10일	10/SN+일/NNB
청와대에서	청와대/NNP+에서/JKB
회동하면서	회동/NNG+하/XSV+면서/EC
흔들리던	흔들리/VV+던/ETM
당·정·청(黨政靑)	당·정·청/NNG+(/SS+黨政靑/SH+)/SS
관계가	관계/NNG+가/JKS
일단	일단/MAG
난기류에서	난기류/NNG+에서/JKB
벗어나는	벗어나/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.316.3.2
당청이 이번 회동을 통해 서로 원하던 것을 얻었다는 관측이 나온다.

당청이	당청/NNG+이/JKS
이번	이번/NNG
회동을	회동/NNG+을/JKO
통해	통하/VV+아/EC
서로	서로/MAG
원하던	원/NNG+하/XSV+던/ETM
것을	것/NNB+을/JKO
얻었다는	얻/VV+었/EP+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.316.4.1
박 대통령은 강성(强性) 야당 지도부의 출범으로 대(對)국회 관계에서 어려움이 예상되던 시점에서 일단 한숨을 돌리게 됐다.

박	박/NNP
대통령은	대통령/NNG+은/JX
강성(强性)	강성/NNG+(/SS+强性/SH+)/SS
야당	야당/NNG
지도부의	지도부/NNG+의/JKG
출범으로	출범/NNG+으로/JKB
대(對)국회	대/NA+(/SS+對/SH+)/SS+국회/NNG
관계에서	관계/NNG+에서/JKB
어려움이	어려움/NNG+이/JKS
예상되던	예상/NNG+되/XSV+던/ETM
시점에서	시점/NNG+에서/JKB
일단	일단/MAG
한숨을	한/XPN+숨/NNG+을/JKO
돌리게	돌리/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.316.4.2
박 대통령은 이 자리에서 "(신임 원내대표·정책위의장 선출이) 당·정·청이 호흡을 맞추고 삼위일체가 돼서 함께 뛸 좋은 계기가 되지 않을까 생각한다"면서 "경제 활성화가 잘 되도록 국회에서 잘 이끌어 주시라"고 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
"(신임	"/SS+(/SS+신임/NNG
원내대표·정책위의장	원내/NNG+대표/NNG+·/SP+정책위/NNG+의장/NNG
선출이)	선출/NNG+이/JKS+)/SS
당·정·청이	당·정·청/NNG+이/JKS
호흡을	호흡/NNG+을/JKO
맞추고	맞추/VV+고/EC
삼위일체가	삼위일체/NNG+가/JKC
돼서	되/VV+어서/EC
함께	함께/MAG
뛸	뛰/VV+ㄹ/ETM
좋은	좋/VA+은/ETM
계기가	계기/NNG+가/JKC
되지	되/VV+지/EC
않을까	않/VX+을까/EF
생각한다"면서	생각/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC
"경제	"/SS+경제/NNG
활성화가	활성/NNG+화/XSN+가/JKS
잘	잘/MAG
되도록	되/VV+도록/EC
국회에서	국회/NNG+에서/JKB
이끌어	이끌/VV+어/EC
주시라"고	주/VX+시/EP+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.316.5.1
이에 김 대표는 "경제 활성화가 최우선이라는 말씀에 전적으로 동감"이라며 "국회에서 제대로 뒷받침 못 해 드린 것 같아 죄송스러운 마음도 있다"고 했다.

이에	이/NP+에/JKB
김	김/NNP
대표는	대표/NNG+는/JX
"경제	"/SS+경제/NNG
활성화가	활성/NNG+화/XSN+가/JKS
최우선이라는	최/XPN+우선/NNG+이/VCP+라는/ETM
말씀에	말씀/NNG+에/JKB
전적으로	전적/NNG+으로/JKB
동감"이라며	동감/NNG+"/SS+이/VCP+라며/EC
"국회에서	"/SS+국회/NNG+에서/JKB
제대로	제대로/MAG
뒷받침	뒷받침/NNG
못	못/MAG
해	하/VV+아/EC
드린	드리/VX+ㄴ/ETM
것	것/NNB
같아	같/VA+아/EC
죄송스러운	죄송스럽/VA+ㄴ/ETM
마음도	마음/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.316.5.2
김 대표는 "야당과 협조가 안 돼 가지고…. 문재인 대표와 좋은 얘기를 많이 했다"고도 했다.

김	김/NNP
대표는	대표/NNG+는/JX
"야당과	"/SS+야당/NNG+과/JKB
협조가	협조/NNG+가/JKS
안	안/MAG
돼	되/VV+어/EC
가지고….	가지/VX+고/EC+…/SE+./SF
문재인	문재인/NNP
대표와	대표/NNG+와/JKB
좋은	좋/VA+은/ETM
얘기를	얘기/NNG+를/JKO
많이	많이/MAG
했다"고도	하/VV+았/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.316.6.1
한편 새누리당은 정부 및 청와대와의 소통 채널을 확보했다.

한편	한편/MAG
새누리당은	새누리당/NNP+은/JX
정부	정부/NNG
및	및/MAG
청와대와의	청와대/NNP+와/JKB+의/JKG
소통	소통/NNG
채널을	채널/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.316.6.2
당·정·청 정책조정협의회를 신설해 격주로 열기로 합의한 것이다.

당·정·청	당·정·청/NNG
정책조정협의회를	정책/NNG+조정/NNG+협의회/NNG+를/JKO
신설해	신설/NNG+하/XSV+아/EC
격주로	격주/NNG+로/JKB
열기로	열/VV+기/ETN+로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.316.6.3
새누리당에선 원내대표와 정책위의장, 원내수석부대표가, 정부에선 경제부총리와 사회부총리, 국무조정실장이, 청와대에선 정책조정·정무·경제수석이 고정 멤버로 참여한다.

새누리당에선	새누리당/NNP+에서/JKB+ㄴ/JX
원내대표와	원내/NNG+대표/NNG+와/JC
정책위의장,	정책위/NNG+의장/NNG+,/SP
원내수석부대표가,	원내/NNG+수석/NNG+부대표/NNG+가/JKS+,/SP
정부에선	정부/NNG+에서/JKB+ㄴ/JX
경제부총리와	경제/NNG+부총리/NNG+와/JC
사회부총리,	사회/NNG+부총리/NNG+,/SP
국무조정실장이,	국무/NNG+조정실장/NNG+이/JKS+,/SP
청와대에선	청와대/NNP+에서/JKB+ㄴ/JX
정책조정·정무·경제수석이	정책/NNG+조정/NNG+·/SP+정무/NNG+·/SP+경제/NNG+수석/NNG+이/JKS
고정	고정/NNG
멤버로	멤버/NNG+로/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.316.6.4
첫 회의는 설 직후 열릴 예정이라고 한다.

첫	첫/MMN
회의는	회의/NNG+는/JX
설	설/NNG
직후	직후/NNG
열릴	열리/VV+ㄹ/ETM
