# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.298
metadata : {}


# id : NWRW1800000030.298.1.1
[남북 군사실무회담 결렬 이후] 남북 실무회담서 무슨 일이

[남북	[/SS+남북/NNP
군사실무회담	군사/NNG+실무/NNG+회담/NNG
결렬	결렬/NNG
이후]	이후/NNG+]/SS
남북	남북/NNP
실무회담서	실무/NNG+회담/NNG+서/JKB
무슨	무슨/MMD
일이	일/NNG+이/JKS


# id : NWRW1800000030.298.2.1
•南 '책임 있는 조치' 생략해가며 양보했지만 北은 "천안함·연평도 빼자" 더 강경해져

•南	•/SW+南/SH
'책임	'/SS+책임/NNG
있는	있/VA+는/ETM
조치'	조치/NNG+'/SS
생략해가며	생략/NNG+하/XSV+아/EC+가/VX+며/EC
양보했지만	양보/NNG+하/XSV+았/EP+지만/EC
北은	北/SH+은/JX
"천안함·연평도	"/SS+천안함/NNP+·/SP+연평도/NNP
빼자"	빼/VV+자/EF+"/SS
더	더/MAG
강경해져	강경/NNG+하/XSA+아/EC+지/VX+어/EF


# id : NWRW1800000030.298.3.1
북한은 10일 "남조선 괴뢰들은 북남 고위급군사회담 개최를 위한 예비회담에서 의제부터 비현실적인 문제를 들고 나왔다"고 주장했다.

북한은	북한/NNP+은/JX
10일	10/SN+일/NNB
"남조선	"/SS+남조선/NNP
괴뢰들은	괴뢰/NNG+들/XSN+은/JX
북남	북남/NNP
고위급군사회담	고위급/NNG+군사/NNG+회담/NNG
개최를	개최/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
예비회담에서	예비회담/NNG+에서/JKB
의제부터	의제/NNG+부터/JX
비현실적인	비/XPN+현실/NNG+적/XSN+이/VCP+ㄴ/ETM
문제를	문제/NNG+를/JKO
들고	들/VV+고/EC
나왔다"고	나오/VV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.3.2
이에 대해 우리측도 남북협상 수석대표로 나섰던 문상균 국방부 북한정책과장(대령)이 기자들을 만나 회담 내용을 일부 공개하면서 북한 주장을 반박했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
우리측도	우리/NP+측/NNB+도/JX
남북협상	남북/NNP+협상/NNG
수석대표로	수석대표/NNG+로/JKB
나섰던	나서/VV+었/EP+던/ETM
문상균	문상균/NNP
국방부	국방부/NNG
북한정책과장(대령)이	북한/NNP+정책과장/NNG+(/SS+대령/NNG+)/SS+이/JKS
기자들을	기자/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
회담	회담/NNG
내용을	내용/NNG+을/JKO
일부	일부/NNG
공개하면서	공개/NNG+하/XSV+면서/EC
북한	북한/NNP
주장을	주장/NNG+을/JKO
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.4.1
남북한은 지난 8~9일 이틀 동안 열린 남북 군사실무 회담에서 우리가 한 번, 북측은 두 번 의제를 바꿔가며 치열한 논리싸움을 벌였다고 한다.

남북한은	남북한/NNP+은/JX
지난	지나/VV+ㄴ/ETM
8~9일	8/SN+~/SO+9/SN+일/NNB
이틀	이틀/NNG
동안	동안/NNG
열린	열리/VV+ㄴ/ETM
남북	남북/NNP
군사실무	군사/NNG+실무/NNG
회담에서	회담/NNG+에서/JKB
우리가	우리/NP+가/JKS
한	한/MMN
번,	번/NNB+,/SP
북측은	북측/NNG+은/JX
두	두/MMN
번	번/NNB
의제를	의제/NNG+를/JKO
바꿔가며	바꾸/VV+어/EC+가/VX+며/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
논리싸움을	논리/NNG+싸움/NNG+을/JKO
벌였다고	벌이/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.298.5.1
①북, 거듭된 천안함·연평도 물타기 전략

①북,	①/SW+북/NNP+,/SP
거듭된	거듭/MAG+되/XSV+ㄴ/ETM
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
물타기	물타기/NNG
전략	전략/NNG


# id : NWRW1800000030.298.6.1
우리측은 회담 내내 '북한의 천안함·연평도 사건에 대한 책임 있는 조치'를 요구했다.

우리측은	우리/NP+측/NNB+은/JX
회담	회담/NNG
내내	내내/MAG
'북한의	'/SS+북한/NNP+의/JKG
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임	책임/NNG
있는	있/VA+는/ETM
조치'를	조치/NNG+'/SS+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.6.2
남북 군사 고위급 회담이 열리면 이 문제부터 다뤄야 한다는 것이었다.

남북	남북/NNP
군사	군사/NNG
고위급	고위급/NNG
회담이	회담/NNG+이/JKS
열리면	열리/VV+면/EC
이	이/MMD
문제부터	문제/NNG+부터/JX
다뤄야	다루/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.298.6.3
이에 맞서 북한은 '천안함·연평도 사태'를 회담 의제(議題)에서 뺄 수 없다는 현실을 일부 받아들였다.

이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
북한은	북한/NNP+은/JX
'천안함·연평도	'/SS+천안함/NNP+·/SP+연평도/NNP
사태'를	사태/NNG+'/SS+를/JKO
회담	회담/NNG
의제(議題)에서	의제/NNG+(/SS+議題/SH+)/SS+에서/JKB
뺄	빼/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
현실을	현실/NNG+을/JKO
일부	일부/NNG
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.298.6.4
대신 이 문제를 희석시키기 위한 온갖 표현을 동원했다.

대신	대신/NNG
이	이/MMD
문제를	문제/NNG+를/JKO
희석시키기	희석/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
온갖	온갖/MMN
표현을	표현/NNG+을/JKO
동원했다.	동원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.6.5
북한은 협상 첫날인 8일만 해도 "천안함 사건과 연평도 포격에 대한 견해를 밝히고 군사적 긴장 해소를 논의하자"고 했다.

북한은	북한/NNP+은/JX
협상	협상/NNG
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
8일만	8/SN+일/NNB+만/JX
해도	하/VV+아도/EC
"천안함	"/SS+천안함/NNP
사건과	사건/NNG+과/JC
연평도	연평도/NNP
포격에	포격/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
견해를	견해/NNG+를/JKO
밝히고	밝히/VV+고/EC
군사적	군사/NNG+적/XSN
긴장	긴장/NNG
해소를	해소/NNG+를/JKO
논의하자"고	논의/NNG+하/XSV+자/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.6.6
천안함·연평도 사태를 서해 '북방한계선(NLL) 무력화' 속에 집어넣어서 함께 토의하자는 취지였다는 게 우리 정부 설명이다.

천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사태를	사태/NNG+를/JKO
서해	서해/NNP
'북방한계선(NLL)	'/SS+북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS
무력화'	무력/NNG+화/XSN+'/SS
속에	속/NNG+에/JKB
집어넣어서	집어넣/VV+어서/EC
함께	함께/MAG
토의하자는	토의/NNG+하/XSV+자는/ETM
취지였다는	취지/NNG+이/VCP+었/EP+다는/ETM
게	거/NNB+이/JKS
우리	우리/NP
정부	정부/NNG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.298.6.7
그러나 정부는 이때만 해도 북한과 협상이 가능한 것으로 봤다고 한다.

그러나	그러나/MAJ
정부는	정부/NNG+는/JX
이때만	이때/NNG+만/JX
해도	하/VV+아도/EC
북한과	북한/NNP+과/JKB
협상이	협상/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
봤다고	보/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.298.6.8
북한은 군사적 긴장 해소는 제외해도 좋으니 '쌍방의 도발로 간주되는 행위를 중단하는 문제를 논의하자'고 말을 바꿨다.

북한은	북한/NNP+은/JX
군사적	군사/NNG+적/XSN
긴장	긴장/NNG
해소는	해소/NNG+는/JX
제외해도	제외/NNG+하/XSV+아도/EC
좋으니	좋/VA+으니/EC
'쌍방의	'/SS+쌍방/NNG+의/JKG
도발로	도발/NNG+로/JKB
간주되는	간주/NNG+되/XSV+는/ETM
행위를	행위/NNG+를/JKO
중단하는	중단/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
논의하자'고	논의/NNG+하/XSV+자/EF+'/SS+고/JKQ
말을	말/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.298.6.9
천안함 폭침(爆沈)을 의제에서 뺀 것이다.

천안함	천안함/NNP
폭침(爆沈)을	폭침/NNG+(/SS+爆沈/SH+)/SS+을/JKO
의제에서	의제/NNG+에서/JKB
뺀	빼/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.298.6.10
그러고는 회담장을 박차고 나가기 직전에 '쌍방의 군사적 도발'을 논의하자고 주장했다.

그러고는	그러/VV+고는/EC
회담장을	회담장/NNG+을/JKO
박차고	박차/VV+고/EC
나가기	나가/VV+기/ETN
직전에	직전/NNG+에/JKB
'쌍방의	'/SS+쌍방/NNG+의/JKG
군사적	군사/NNG+적/XSN
도발'을	도발/NNG+'/SS+을/JKO
논의하자고	논의/NNG+하/XSV+자고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.6.11
의제와 관련한 입장을 두 번이나 바꾼 것이다.

의제와	의제/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
입장을	입장/NNG+을/JKO
두	두/MMN
번이나	번/NNB+이나/JX
바꾼	바꾸/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.298.7.1
우리측은 가급적 고위급 회담을 성사시키기 위해 북측의 첫 번째 제안에 대해 "먼저 천안함·연평도를 논의하고 이 문제가 해결되면 회담 차수를 변경해서 북한이 주장하는 '군사적 긴장완화'를 논의할 수 있다"고 했다.

우리측은	우리/NP+측/NNB+은/JX
가급적	가급적/MAG
고위급	고위급/NNG
회담을	회담/NNG+을/JKO
성사시키기	성사/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
북측의	북측/NNG+의/JKG
첫	첫/MMN
번째	번/NNB+째/XSN
제안에	제안/NNG+에/JKB
대해	대하/VV+아/EC
"먼저	"/SS+먼저/MAG
천안함·연평도를	천안함/NNP+·/SP+연평도/NNP+를/JKO
논의하고	논의/NNG+하/XSV+고/EC
이	이/MMD
문제가	문제/NNG+가/JKS
해결되면	해결/NNG+되/XSV+면/EC
회담	회담/NNG
차수를	차/NNB+수/NNG+를/JKO
변경해서	변경/NNG+하/XSV+아서/EC
북한이	북한/NNP+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
'군사적	'/SS+군사/NNG+적/XSN
긴장완화'를	긴장/NNG+완화/NNG+'/SS+를/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.7.2
이어 우리측은 처음에는 '천안함·연평도에 대한 책임 있는 조치와 추가도발 방지 확약'을 요구하다가 '천안함 폭침과 연평도 포격도발에 대하여'로 요구 수위를 낮췄다.

이어	이어/MAG
우리측은	우리/NP+측/NNB+은/JX
처음에는	처음/NNG+에/JKB+는/JX
'천안함·연평도에	'/SS+천안함/NNP+·/SP+연평도/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
책임	책임/NNG
있는	있/VA+는/ETM
조치와	조치/NNG+와/JC
추가도발	추가/NNG+도발/NNG
방지	방지/NNG
확약'을	확약/NNG+'/SS+을/JKO
요구하다가	요구/NNG+하/XSV+다가/EC
'천안함	'/SS+천안함/NNP
폭침과	폭침/NNG+과/JKB
연평도	연평도/NNP
포격도발에	포격/NNG+도발/NNG+에/JKB
대하여'로	대하/VV+아/EC+'/SS+로/JKB
요구	요구/NNG
수위를	수위/NNG+를/JKO
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.298.7.3
정부 관계자는 "북측 입장을 감안해 당초 요구했던 것보다 우리가 일정 정도 양보한 게 사실"이라고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"북측	"/SS+북측/NNG
입장을	입장/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
당초	당초/NNG
요구했던	요구/NNG+하/XSV+았/EP+던/ETM
것보다	것/NNB+보다/JKB
우리가	우리/NP+가/JKS
일정	일정/NNG
정도	정도/NNG
양보한	양보/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
사실"이라고	사실/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.8.1
②회담 대표 급(級) 놓고도 설전

②회담	②/SW+회담/NNG
대표	대표/NNG
급(級)	급/NNG+(/SS+級/SH+)/SS
놓고도	놓/VV+고/EC+도/JX
설전	설전/NNG


# id : NWRW1800000030.298.9.1
남북한은 대표단 구성 및 회담 개최일을 놓고도 팽팽히 맞섰다.

남북한은	남북한/NNP+은/JX
대표단	대표단/NNG
구성	구성/NNG
및	및/MAG
회담	회담/NNG
개최일을	개최일/NNG+을/JKO
놓고도	놓/VV+고/EC+도/JX
팽팽히	팽팽히/MAG
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.298.9.2
북한은 실무회담 초기에 "인민무력부장과 장령(장성)급 사이의 군사회담을 하자"고 했다.

북한은	북한/NNP+은/JX
실무회담	실무/NNG+회담/NNG
초기에	초기/NNG+에/JKB
"인민무력부장과	"/SS+인민무력부장/NNG+과/JC
장령(장성)급	장령/NNG+(/SS+장성/NNG+)/SS+급/NNG
사이의	사이/NNG+의/JKG
군사회담을	군사/NNG+회담/NNG+을/JKO
하자"고	하/VV+자/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.9.3
이에 대해 남측은 고위급 회담의 수석대표를 '4성 장성급'으로 하자고 역제안했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
남측은	남측/NNG+은/JX
고위급	고위급/NNG
회담의	회담/NNG+의/JKG
수석대표를	수석대표/NNG+를/JKO
'4성	'/SS+4/SN+성/NNG
장성급'으로	장성급/NNG+'/SS+으로/JKB
하자고	하/VV+자고/EC
역제안했다.	역제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.298.10.1
고위군사회담 개최 일정과 관련, 우리측은 회담 준비기간을 내세워 2월 말에 본회담을 개최하자는 입장이었다.

고위군사회담	고위/NNG+군사/NNG+회담/NNG
개최	개최/NNG
일정과	일정/NNG+과/JKB
관련,	관련/NNG+,/SP
우리측은	우리/NP+측/NNB+은/JX
회담	회담/NNG
준비기간을	준비/NNG+기간/NNG+을/JKO
내세워	내세우/VV+어/EC
2월	2/SN+월/NNB
말에	말/NNB+에/JKB
본회담을	본회담/NNG+을/JKO
개최하자는	개최/NNG+하/XSV+자는/ETM
