# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.340
metadata : {}


# id : NWRW1800000045.340.1.1
[단독]선관위 “국회의 선거구 수정권한 제한해야”

[단독]선관위	[/SS+단독/NNG+]/SS+선관위/NNG
“국회의	“/SS+국회/NNG+의/JKG
선거구	선거구/NNG
수정권한	수정/NNG+권한/NNG
제한해야”	제한/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000045.340.2.1
정개특위에 의견서… 27일 공청회

정개특위에	정개특위/NNG+에/JKB
의견서…	의견서/NNG+…/SE
27일	27/SN+일/NNB
공청회	공청회/NNG


# id : NWRW1800000045.340.3.1
중앙선거관리위원회가 내년 4월 총선에서 ‘국회의 선거구 수정 권한을 제한해야 한다’는 의견을 국회에 제출한 것으로 26일 확인됐다.

중앙선거관리위원회가	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG+가/JKS
내년	내년/NNG
4월	4/SN+월/NNB
총선에서	총선/NNG+에서/JKB
‘국회의	‘/SS+국회/NNG+의/JKG
선거구	선거구/NNG
수정	수정/NNG
권한을	권한/NNG+을/JKO
제한해야	제한/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
의견을	의견/NNG+을/JKO
국회에	국회/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
26일	26/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.340.3.2
지난해 헌법재판소의 결정으로 선거구별 인구편차 허용 한계(2 대 1)를 벗어나는 59개 선거구의 조정이 예상되는 가운데 중앙선관위가 이 같은 의견을 밝혀 국회 입법 과정에 적지 않은 영향을 줄 것으로 보인다.

지난해	지난해/NNG
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
결정으로	결정/NNG+으로/JKB
선거구별	선거구/NNG+별/XSN
인구편차	인구/NNG+편차/NNG
허용	허용/NNG
한계(2	한계/NNG+(/SS+2/SN
대	대/NNB
1)를	1/SN+)/SS+를/JKO
벗어나는	벗어나/VV+는/ETM
59개	59/SN+개/NNB
선거구의	선거구/NNG+의/JKG
조정이	조정/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
가운데	가운데/NNG
중앙선관위가	중앙/NNG+선관위/NNG+가/JKS
이	이/MMD
같은	같/VA+은/ETM
의견을	의견/NNG+을/JKO
밝혀	밝히/VV+어/EC
국회	국회/NNG
입법	입법/NNG
과정에	과정/NNG+에/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.340.4.1
동아일보가 이날 단독 입수한 중앙선관위의 ‘정개특위 공청회 진술 자료’ 문건에 따르면 “국회의 선거구획정제도 개선이 국민적 동의를 얻기 위해선 국회의 수정 권한을 현재보다 제한하는 것은 불가피한 상황”이라고 진단했다.

동아일보가	동아일보/NNP+가/JKS
이날	이날/NNG
단독	단독/NNG
입수한	입수/NNG+하/XSV+ㄴ/ETM
중앙선관위의	중앙/NNG+선관위/NNG+의/JKG
‘정개특위	‘/SS+정개특위/NNG
공청회	공청회/NNG
진술	진술/NNG
자료’	자료/NNG+’/SS
문건에	문건/NNG+에/JKB
따르면	따르/VV+면/EC
“국회의	“/SS+국회/NNG+의/JKG
선거구획정제도	선거구/NNG+획정/NNG+제도/NNG
개선이	개선/NNG+이/JKS
국민적	국민/NNG+적/XSN
동의를	동의/NNG+를/JKO
얻기	얻/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
국회의	국회/NNG+의/JKG
수정	수정/NNG
권한을	권한/NNG+을/JKO
현재보다	현재/NNG+보다/JKB
제한하는	제한/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
불가피한	불가피하/VA+ㄴ/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.340.5.1
선관위는 27일 공직선거법 개정을 위한 공청회를 앞두고 정개특위에 제출한 문건에서 “국회 소속 선거구획정위원회의 획정안이 국회에서 전혀 존중되지 못한 채 수정되고 있다”며 “현행 규정을 그대로 둘 경우 정치개혁의 의미는 퇴색할 수밖에 없다”고 지적했다.

선관위는	선관위/NNG+는/JX
27일	27/SN+일/NNB
공직선거법	공직/NNG+선거법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공청회를	공청회/NNG+를/JKO
앞두고	앞두/VV+고/EC
정개특위에	정개특위/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
문건에서	문건/NNG+에서/JKB
“국회	“/SS+국회/NNG
소속	소속/NNG
선거구획정위원회의	선거구/NNG+획정/NNG+위원회/NNG+의/JKG
획정안이	획정/NNG+안/NNG+이/JKS
국회에서	국회/NNG+에서/JKB
전혀	전혀/MAG
존중되지	존중/NNG+되/XSV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
수정되고	수정/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“현행	“/SS+현행/NNG
규정을	규정/NNG+을/JKO
그대로	그대로/MAG
둘	두/VV+ㄹ/ETM
경우	경우/NNG
정치개혁의	정치/NNG+개혁/NNG+의/JKG
의미는	의미/NNG+는/JX
퇴색할	퇴색/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.340.6.1
선관위는 “(국회의) 선거구획정안에 대한 수정 의결을 제한하겠다는 건 입법권자의 법률 개정으로 실현되는 것”이라며 “전면적인 수정 금지에 문제가 있다면 (국회의) 수정 의결 절차를 까다롭게 하거나 (국회가) 거부할 권한을 주는 식의 보완 방안이 있다”고 설명했다.

선관위는	선관위/NNG+는/JX
“(국회의)	“/SS+(/SS+국회/NNG+의/JKG+)/SS
