# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.183
metadata : {}


# id : NWRW1800000026.183.1.1
[모닝커피] 남아공월드컵 코앞인데 '붉은 티셔츠'는 잘 안 팔려

[모닝커피]	[/SS+모닝커피/NNG+]/SS
남아공월드컵	남아공/NNP+월드컵/NNG
코앞인데	코앞/NNG+이/VCP+ㄴ데/EC
'붉은	'/SS+붉/VA+은/ETM
티셔츠'는	티셔츠/NNG+'/SS+는/JX
잘	잘/MAG
안	안/MAG
팔려	팔리/VV+어/EC


# id : NWRW1800000026.183.2.1
남아공월드컵 축구대회에서 우리 대표팀의 16강 진출은 온 국민의 염원이지만, 패션업계의 바람은 더 절실하다.

남아공월드컵	남아공/NNP+월드컵/NNG
축구대회에서	축구/NNG+대회/NNG+에서/JKB
우리	우리/NP
대표팀의	대표/NNG+팀/NNG+의/JKG
16강	16/SN+강/NNB
진출은	진출/NNG+은/JX
온	온/MMN
국민의	국민/NNG+의/JKG
염원이지만,	염원/NNG+이/VCP+지만/EC+,/SP
패션업계의	패션업/NNG+계/XSN+의/JKG
바람은	바람/NNG+은/JX
더	더/MAG
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000026.183.2.2
응원용 붉은 티셔츠 판매가 기대에 턱없이 못 미치는 탓이다.

응원용	응원/NNG+용/XSN
붉은	붉/VA+은/ETM
티셔츠	티셔츠/NNG
판매가	판매/NNG+가/JKS
기대에	기대/NNG+에/JKB
턱없이	턱없이/MAG
못	못/MAG
미치는	미치/VV+는/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.183.3.1
월드컵 응원 티셔츠는 시즌이 지나면 처리하기 힘든 '악성재고'가 된다.

월드컵	월드컵/NNG
응원	응원/NNG
티셔츠는	티셔츠/NNG+는/JX
시즌이	시즌/NNG+이/JKS
지나면	지나/VV+면/EC
처리하기	처리/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
'악성재고'가	'/SS+악성/NNG+재고/NNG+'/SS+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.183.3.2
해당 업체 관계자들은 "2002·2006년에는 물량이 모자라 추가 제작하느라 바빴는데 올해는 분위기가 살지 않아 걱정"이라고 푸념한다.

해당	해당/NNG
업체	업체/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"2002·2006년에는	"/SS+2002/SN+·/SP+2006/SN+년/NNB+에/JKB+는/JX
물량이	물량/NNG+이/JKS
모자라	모자라/VV+아/EC
추가	추가/NNG
제작하느라	제작/NNG+하/XSV+느라/EC
바빴는데	바쁘/VA+았/EP+는데/EC
올해는	올해/NNG+는/JX
분위기가	분위기/NNG+가/JKS
살지	살/VV+지/EC
않아	않/VX+아/EC
걱정"이라고	걱정/NNG+"/SS+이라고/JKQ
푸념한다.	푸념/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.183.4.1
특히 많은 물량을 준비한 업체들의 고민이 크다.

특히	특히/MAG
많은	많/VA+은/ETM
물량을	물량/NNG+을/JKO
준비한	준비/NNG+하/XSV+ㄴ/ETM
업체들의	업체/NNG+들/XSN+의/JKG
고민이	고민/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000026.183.4.2
100만장을 준비한 한 업체 관계자는 "현재 20만장만 겨우 나갔다"고 말했고, 80만장을 준비한 한 대형마트 관계자는 "15만장 정도밖에 팔리지 않았다"고 했다.

100만장을	100/SN+만/NR+장/NNB+을/JKO
준비한	준비/NNG+하/XSV+ㄴ/ETM
한	한/MMN
업체	업체/NNG
관계자는	관계자/NNG+는/JX
"현재	"/SS+현재/MAG
20만장만	20/SN+만/NR+장/NNB+만/JX
겨우	겨우/MAG
나갔다"고	나가/VV+았/EP+다/EF+"/SS+고/JKQ
말했고,	말/NNG+하/XSV+았/EP+고/EC+,/SP
80만장을	80/SN+만/NR+장/NNB+을/JKO
대형마트	대형/NNG+마트/NNG
"15만장	"/SS+15/SN+만/NR+장/NNB
정도밖에	정도/NNG+밖에/JX
팔리지	팔리/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.183.4.3
지난 월드컵 때에는 베이직하우스가 SK텔레콤과 계약해 만든 티셔츠 '렛츠고 투게더'가 월드컵 개막 전에 40만장이나 나갔고, 대회가 끝날 때까지 140만장 정도가 팔렸다.

지난	지나/VV+ㄴ/ETM
월드컵	월드컵/NNG
때에는	때/NNG+에/JKB+는/JX
베이직하우스가	베이직하우스/NNP+가/JKS
SK텔레콤과	SK텔레콤/NNP+과/JKB
계약해	계약/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
티셔츠	티셔츠/NNG
'렛츠고	'/SS+렛츠고/NA
투게더'가	투게더/NA+'/SS+가/JKS
개막	개막/NNG
전에	전/NNG+에/JKB
40만장이나	40/SN+만/NR+장/NNB+이나/JX
나갔고,	나가/VV+았/EP+고/EC+,/SP
대회가	대회/NNG+가/JKS
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
140만장	140/SN+만/NR+장/NNB
정도가	정도/NNG+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.183.5.1
업계에서는 월드컵 열기가 예전만 못한 데 대해 천안함 사건·지방선거 등 대형 사건·사고가 많았던 것과, TV만 틀면 온통 월드컵 얘기였던 예전과 달리 SBS가 단독중계를 하는 것을 이유로 꼽는다.

업계에서는	업계/NNG+에서/JKB+는/JX
월드컵	월드컵/NNG
열기가	열기/NNG+가/JKS
예전만	예전/NNG+만/JX
못한	못/MAG+하/XSA+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
천안함	천안함/NNP
사건·지방선거	사건/NNG+·/SP+지방/NNG+선거/NNG
등	등/NNB
대형	대형/NNG
사건·사고가	사건/NNG+·/SP+사고/NNG+가/JKS
많았던	많/VA+았/EP+던/ETM
것과,	것/NNB+과/JC+,/SP
TV만	TV/SL+만/JX
틀면	틀/VV+면/EC
