# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.137
metadata : {}


# id : NWRW1800000045.137.1.1
여름만 되면 밤새 ‘벅벅’… 괴로우시죠?

여름만	여름/NNG+만/JX
되면	되/VV+면/EC
밤새	밤새/NNG
‘벅벅’…	‘/SS+벅벅/MAG+’/SS+…/SE
괴로우시죠?	괴롭/VA+으시/EP+죠/EF+?/SF


# id : NWRW1800000045.137.2.1
알레르기성 접촉 피부염 예방-치료

알레르기성	알레르기/NNG+성/XSN
접촉	접촉/NNG
피부염	피부염/NNG
예방-치료	예방/NNG+-/SO+치료/NNG


# id : NWRW1800000045.137.3.1
서울 서초구 서초동에 사는 직장인 이모 씨(57)는 지난해에 이어 올해에도 몸에 발생한 가려움증 때문에 밤잠을 이루기 어려웠다.

서울	서울/NNP
서초구	서초구/NNP
서초동에	서초동/NNP+에/JKB
사는	살/VV+는/ETM
직장인	직장인/NNG
이모	이/NNP+모/NP
씨(57)는	씨/NNB+(/SS+57/SN+)/SS+는/JX
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
올해에도	올해/NNG+에/JKB+도/JX
몸에	몸/NNG+에/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
가려움증	가려움증/NNG
때문에	때문/NNB+에/JKB
밤잠을	밤잠/NNG+을/JKO
이루기	이루/VV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.137.3.2
주로 등과 옆구리 부분에 생긴 가려움은 상처가 날 정도로 긁어도 없어지지 않았다.

주로	주로/MAG
등과	등/NNG+과/JC
옆구리	옆구리/NNG
부분에	부분/NNG+에/JKB
생긴	생기/VV+ㄴ/ETM
가려움은	가려움/NNG+은/JX
상처가	상처/NNG+가/JKS
날	나/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
긁어도	긁/VV+어도/EC
없어지지	없어지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


