# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.398
metadata : {}


# id : NWRW1800000033.398.1.1
[수도권]청계천에 3만5000개 등의 향연

[수도권]청계천에	[/SS+수도/NNG+권/XSN+]/SS+청계천/NNP+에/JKB
3만5000개	3/SN+만/NR+5000/SN+개/NNB
등의	등/NNG+의/JKG
향연	향연/NNG


# id : NWRW1800000033.398.2.1
■ 서울 등축제 18일까지

■	■/SW
서울	서울/NNP
등축제	등/NNG+축제/NNG
18일까지	18/SN+일/NNB+까지/JX


# id : NWRW1800000033.398.3.1
600년 옛 한양의 역사가 3만5000여 개 전통 등(燈)으로 다시 태어나 청계천을 수놓는다.

600년	600/SN+년/NNB
옛	옛/MMA
한양의	한양/NNP+의/JKG
역사가	역사/NNG+가/JKS
3만5000여	3/SN+만/NR+5000/SN+여/XSN
개	개/NNB
전통	전통/NNG
등(燈)으로	등/NNG+(/SS+燈/SH+)/SS+으로/JKB
다시	다시/MAG
태어나	태어나/VV+아/EC
청계천을	청계천/NNP+을/JKO
수놓는다.	수놓/VV+는다/EF+./SF


# id : NWRW1800000033.398.3.2
2∼18일 청계천 일대에서 ‘서울의 뿌리, 선조의 생활상’을 주제로 ‘2012 서울등축제’가 개최된다.

2∼18일	2/SN+∼/SO+18/SN+일/NNB
청계천	청계천/NNP
일대에서	일대/NNG+에서/JKB
‘서울의	‘/SS+서울/NNP+의/JKG
뿌리,	뿌리/NNG+,/SP
선조의	선조/NNG+의/JKG
생활상’을	생활상/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
‘2012	‘/SS+2012/SN
서울등축제’가	서울/NNP+등/NNG+축제/NNG+’/SS+가/JKS
개최된다.	개최/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.3.3
올해로 4회째인 이번 등축제는 청계광장에서 세운교까지 약 1.5km 구간에서 열린다.

올해로	올해/NNG+로/JKB
4회째인	4/SN+회/NNB+째/XSN+이/VCP+ㄴ/ETM
이번	이번/NNG
등축제는	등/NNG+축제/NNG+는/JX
청계광장에서	청계광장/NNP+에서/JKB
세운교까지	세운교/NNP+까지/JX
약	약/MMA
1.5km	1/SN+./SP+5/SN+km/SW
구간에서	구간/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.398.3.4
지난해보다 200m 더 길어졌다.

지난해보다	지난해/NNG+보다/JKB
200m	200/SN+m/SW
