# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.19
metadata : {}


# id : NWRW1800000052.19.1.1
한-이란 경제협력, 넘어야 할 장애물은?

한-이란	한/NNP+-/SO+이란/NNP
경제협력,	경제/NNG+협력/NNG+,/SP
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
장애물은?	장애물/NNG+은/JX+?/SF


# id : NWRW1800000052.19.2.1
① 꽉 막힌 국제 금융거래망

①	①/SW
꽉	꽉/MAG
막힌	막히/VV+ㄴ/ETM
국제	국제/NNG
금융거래망	금융/NNG+거래/NNG+망/NNG


# id : NWRW1800000052.19.3.1
② 관계 돈독한 중국과의 경쟁

②	②/SW
관계	관계/NNG
돈독한	돈독하/VA+ㄴ/ETM
중국과의	중국/NNP+과/JKB+의/JKG
경쟁	경쟁/NNG


# id : NWRW1800000052.19.4.1
③ 중동 경쟁국 사우디와 관계

③	③/SW
중동	중동/NNP
경쟁국	경쟁국/NNG
사우디와	사우디/NNP+와/JKB
관계	관계/NNG


# id : NWRW1800000052.19.5.1
23~25일 이란에서 열린 ‘한국상품전시회’가 뜨거운 반응 속에 성공리에 마무리됐다.

23~25일	23/SN+~/SO+25/SN+일/NNB
이란에서	이란/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘한국상품전시회’가	‘/SS+한국/NNP+상품/NNG+전시회/NNG+’/SS+가/JKS
뜨거운	뜨겁/VA+ㄴ/ETM
반응	반응/NNG
속에	속/NNG+에/JKB
성공리에	성공/NNG+리/XSN+에/JKB
마무리됐다.	마무리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.19.5.2
사흘간 테헤란 국제전시장에는 1만5천명이 넘는 이란인들이 다녀갔다.

사흘간	사흘/NNG+간/XSN
테헤란	테헤란/NNP
국제전시장에는	국제/NNG+전시장/NNG+에/JKB+는/JX
1만5천명이	1/SN+만/NR+5/SN+천/NR+명/NNB+이/JKS
넘는	넘/VV+는/ETM
이란인들이	이란인/NNG+들/XSN+이/JKS
다녀갔다.	다녀가/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.19.5.3
주로 500여곳의 초대받은 제조업 구매자(바이어)를 위한 행사라는 점을 고려하면 꽤 많은 숫자다.

주로	주로/MAG
500여곳의	500/SN+여/XSN+곳/NNG+의/JKG
초대받은	초대/NNG+받/XSV+은/ETM
제조업	제조업/NNG
구매자(바이어)를	구매자/NNG+(/SS+바이어/NNG+)/SS+를/JKO
위한	위하/VV+ㄴ/ETM
행사라는	행사/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
꽤	꽤/MAG
많은	많/VA+은/ETM
숫자다.	숫자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.5.4
그러나 한국이 이란인들의 이런 특별한 관심을 실질적 성과로 바꾸기 위해서는 넘어야 할 몇 개의 장애물이 있다는 점도 재확인할 수 있는 계기였다.

그러나	그러나/MAJ
한국이	한국/NNP+이/JKS
이란인들의	이란인/NNG+들/XSN+의/JKG
이런	이런/MMD
특별한	특별/NNG+하/XSA+ㄴ/ETM
관심을	관심/NNG+을/JKO
실질적	실질/NNG+적/XSN
성과로	성과/NNG+로/JKB
바꾸기	바꾸/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
몇	몇/NR
개의	개/NNB+의/JKG
장애물이	장애물/NNG+이/JKS
있다는	있/VA+다는/ETM
점도	점/NNG+도/JX
재확인할	재/XPN+확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기였다.	계기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.19.6.1
가장 큰 장애물은 금융거래가 여전히 막혀 있다는 점이다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
장애물은	장애물/NNG+은/JX
금융거래가	금융/NNG+거래/NNG+가/JKS
여전히	여전히/MAG
막혀	막히/VV+어/EC
있다는	있/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.19.6.2
서방이 지난 1월 경제 제재를 해제했지만 여전히 달러 결제나 송금은 안 된다.

서방이	서방/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
경제	경제/NNG
제재를	제재/NNG+를/JKO
해제했지만	해제/NNG+하/XSV+았/EP+지만/EC
여전히	여전히/MAG
달러	달러/NNG
결제나	결제/NNG+나/JC
송금은	송금/NNG+은/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.19.6.3
