# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.225
metadata : {}


# id : NWRW1800000038.225.1.1
韓水原 '주식 로비' 업체, 부품성적서도 위조 의혹

韓水原	韓水原/SH
'주식	'/SS+주식/NNG
로비'	로비/NNG+'/SS
업체,	업체/NNG+,/SP
부품성적서도	부품/NNG+성적서/NNG+도/JX
위조	위조/NNG
의혹	의혹/NNG


# id : NWRW1800000038.225.2.1
주식 보유 한수원 직원들, 위조 눈감아 줬을 가능성

주식	주식/NNG
보유	보유/NNG
한수원	한수원/NNP
직원들,	직원/NNG+들/XSN+,/SP
위조	위조/NNG
눈감아	눈감/VV+아/EC
줬을	주/VX+었/EP+을/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000038.225.3.1
검찰 원전비리수사단(단장 김기동)은 27일 한국수력원자력(한수원) 직원 30여명에게 '주식 로비'를 벌였다는 의혹을 산 원전(原電) 부품업체 S사〈본지 27일자 A1·10면〉가 부품 품질 보증 서류도 위조한 혐의를 잡고 수사 중이다.

검찰	검찰/NNG
원전비리수사단(단장	원전/NNG+비리/NNG+수사단/NNG+(/SS+단장/NNG
김기동)은	김기동/NNP+)/SS+은/JX
27일	27/SN+일/NNB
한국수력원자력(한수원)	한국수력원자력/NNP+(/SS+한수원/NNP+)/SS
직원	직원/NNG
30여명에게	30/SN+여/XSN+명/NNB+에게/JKB
'주식	'/SS+주식/NNG
로비'를	로비/NNG+'/SS+를/JKO
벌였다는	벌이/VV+었/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
산	사/VV+ㄴ/ETM
원전(原電)	원전/NNG+(/SS+原電/SH+)/SS
부품업체	부품업체/NNG
S사〈본지	S/SL+사/NNG+〈/SS+본지/NNG
27일자	27/SN+일/NNB+자/NNG
A1·10면〉가	A/SL+1/SN+·/SP+10/SN+면/NNG+〉/SS+가/JKS
부품	부품/NNG
품질	품질/NNG
보증	보증/NNG
서류도	서류/NNG+도/JX
위조한	위조/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
잡고	잡/VV+고/EC
수사	수사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.225.4.1
검찰은 S사가 한수원에 납품해 온 제어밸브 부품 관련 시험성적서 등을 위조한 혐의로 이 회사 직원 윤모씨를 체포했다.

검찰은	검찰/NNG+은/JX
S사가	S/SL+사/NNG+가/JKS
한수원에	한수원/NNP+에/JKB
납품해	납품/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
제어밸브	제어/NNG+밸브/NNG
부품	부품/NNG
관련	관련/NNG
시험성적서	시험/NNG+성적서/NNG
등을	등/NNB+을/JKO
위조한	위조/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
이	이/MMD
회사	회사/NNG
직원	직원/NNG
윤모씨를	윤/NNP+모/NP+씨/NNB+를/JKO
