# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.230
metadata : {}


# id : NWRW1800000046.230.1.1
中 수영스타 쑨양, 심장이 안 좋아서…

中	中/SH
수영스타	수영/NNG+스타/NNG
쑨양,	쑨양/NNP+,/SP
심장이	심장/NNG+이/JKS
안	안/MAG
좋아서…	좋/VA+아서/EC+…/SE


# id : NWRW1800000046.230.2.1
주종목 자유형 1500m 포기… 작년부터 '심장 문제' 불거져

주종목	주종목/NNG
자유형	자유/NNG+형/XSN
1500m	1500/SN+m/SW
포기…	포기/NNG+…/SE
작년부터	작년/NNG+부터/JX
'심장	'/SS+심장/NNG
문제'	문제/NNG+'/SS
불거져	불거지/VV+어/EF


# id : NWRW1800000046.230.3.1
중국의 쑨양(24)이 세계수영선수권 2연속 3관왕을 놓쳤다.

중국의	중국/NNP+의/JKG
쑨양(24)이	쑨양/NNP+(/SS+24/SN+)/SS+이/JKS
세계수영선수권	세계/NNG+수영/NNG+선수/NNG+권/XSN
2연속	2/SN+연속/NNG
3관왕을	3관왕/NNG+을/JKO
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.3.2
그는 10일(한국 시각) 러시아 카잔에서 열린 남자 자유형 1500m 결선 출전을 포기하면서 금 2개(자유형 400m· 자유형 800m)와 은 1개(자유형 200m)로 대회를 마쳤다.

그는	그/NP+는/JX
10일(한국	10/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
러시아	러시아/NNP
카잔에서	카잔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
남자	남자/NNG
자유형	자유/NNG+형/XSN
1500m	1500/SN+m/SW
결선	결선/NNG
출전을	출전/NNG+을/JKO
포기하면서	포기/NNG+하/XSV+면서/EC
금	금/NNG
2개(자유형	2/SN+개/NNB+(/SS+자유/NNG+형/XSN
400m·	400/SN+m/SW+·/SP
800m)와	800/SN+m/SW+)/SS+와/JC
은	은/NNG
1개(자유형	1/SN+개/NNB+(/SS+자유/NNG+형/XSN
200m)로	200/SN+m/SW+)/SS+로/JKB
대회를	대회/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.4.1
자유형 1500m는 쑨양을 세계적인 스타로 만든 종목이다.

자유형	자유/NNG+형/XSN
1500m는	1500/SN+m/SW+는/JX
쑨양을	쑨양/NNP+을/JKO
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
스타로	스타/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
종목이다.	종목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.230.4.2
그는 2011년 상하이 세계선수권에서 10년 동안 꿈쩍 않던 세계기록을 깨며 1위(14분34초14)를 했고, 이듬해 런던올림픽에서도 본인의 세계기록을 경신하며 금메달(14분31초02)을 걸었다.

그는	그/NP+는/JX
2011년	2011/SN+년/NNB
상하이	상하이/NNP
세계선수권에서	세계/NNG+선수/NNG+권/XSN+에서/JKB
10년	10/SN+년/NNB
동안	동안/NNG
꿈쩍	꿈쩍/MAG
않던	않/VV+던/ETM
세계기록을	세계/NNG+기록/NNG+을/JKO
깨며	깨/VV+며/EC
1위(14분34초14)를	1/SN+위/NNB+(/SS+14/SN+분/NNB+34/SN+초/NNB+14/SN+)/SS+를/JKO
했고,	하/VV+았/EP+고/EC+,/SP
이듬해	이듬해/NNG
런던올림픽에서도	런던/NNP+올림픽/NNG+에서/JKB+도/JX
본인의	본인/NNG+의/JKG
경신하며	경신/NNG+하/XSV+며/EC
금메달(14분31초02)을	금메달/NNG+(/SS+14/SN+분/NNB+31/SN+초/NNB+02/SN+)/SS+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.4.3
2013 세계선수권 자유형 1500m 타이틀도 지켰다.

2013	2013/SN
세계선수권	세계/NNG+선수/NNG+권/XSN
자유형	자유/NNG+형/XSN
1500m	1500/SN+m/SW
타이틀도	타이틀/NNG+도/JX
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.4.4
이번 카잔 대회에선 3연패(連覇)에 도전했다.

이번	이번/NNG
카잔	카잔/NNP
대회에선	대회/NNG+에서/JKB+ㄴ/JX
3연패(連覇)에	3/SN+연패/NNG+(/SS+連覇/SH+)/SS+에/JKB
도전했다.	도전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.230.4.5
쑨양은 8일 자유형 1500m 예선을 전체 3위 기록(14분55초11)으로 통과했다.

쑨양은	쑨양/NNP+은/JX
8일	8/SN+일/NNB
자유형	자유/NNG+형/XSN
1500m	1500/SN+m/SW
예선을	예선/NNG+을/JKO
전체	전체/NNG
3위	3/SN+위/NNB
기록(14분55초11)으로	기록/NNG+(/SS+14/SN+분/NNB+55/SN+초/NNB+11/SN+)/SS+으로/JKB
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.230.4.6
그런데 결선을 앞두고 갑작스러운 심장 이상으로 기권했다.

그런데	그런데/MAJ
결선을	결선/NNG+을/JKO
앞두고	앞두/VV+고/EC
갑작스러운	갑작스럽/VA+ㄴ/ETM
심장	심장/NNG
이상으로	이상/NNG+으로/JKB
기권했다.	기권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.230.4.7
이탈리아의 그레고리오 팔트리니에리(21)가 14분39초67의 유럽신기록으로 첫 세계선수권 금메달을 걸었다.

이탈리아의	이탈리아/NNP+의/JKG
그레고리오	그레고리오/NNP
팔트리니에리(21)가	팔트리니에리/NNP+(/SS+21/SN+)/SS+가/JKS
14분39초67의	14/SN+분/NNB+39/SN+초/NNB+67/SN+의/JKG
유럽신기록으로	유럽/NNP+신/XPN+기록/NNG+으로/JKB
첫	첫/MMN
세계선수권	세계/NNG+선수/NNG+권/XSN
금메달을	금메달/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.230.5.1
