# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.322
metadata : {}


# id : NWRW1800000044.322.1.1
[유레카] 국가 양육론 / 김회승

[유레카]	[/SS+유레카/NNG+]/SS
국가	국가/NNG
양육론	양육/NNG+론/XSN
/	//SP
김회승	김회승/NNP


# id : NWRW1800000044.322.2.1
[한겨레] 미국에서 결혼한 부부의 절반은 이혼하고, 새로 태어나는 아이의 40%는 미혼모 자녀다.

[한겨레]	[/SS+한겨레/NNP+]/SS
미국에서	미국/NNP+에서/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
부부의	부부/NNG+의/JKG
절반은	절반/NNG+은/JX
이혼하고,	이혼/NNG+하/XSV+고/EC+,/SP
새로	새로/MAG
태어나는	태어나/VV+는/ETM
아이의	아이/NNG+의/JKG
40%는	40/SN+%/SW+는/JX
미혼모	미혼모/NNG
자녀다.	자녀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.322.2.2
준 카본 미네소타대 교수는 “미국 사회에서 결혼은 ‘지킬 수 없는 의무’가 돼가고 있다”고 진단한다.

준	준/NNP
카본	카본/NNP
미네소타대	미네소타대/NNP
교수는	교수/NNG+는/JX
“미국	“/SS+미국/NNP
사회에서	사회/NNG+에서/JKB
결혼은	결혼/NNG+은/JX
‘지킬	‘/SS+지키/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
의무’가	의무/NNG+’/SS+가/JKC
돼가고	되/VV+어/EC+가/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
진단한다.	진단/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.322.2.3
결혼이 자손을 낳고 교육하는 사회적 계약으로서의 지위를 잃고, 정서적·경제적으로 믿을 수 있는 사람을 선택하는 개인적인 협상의 하나로 전락했다는 것이다.

결혼이	결혼/NNG+이/JKS
자손을	자손/NNG+을/JKO
낳고	낳/VV+고/EC
교육하는	교육/NNG+하/XSV+는/ETM
사회적	사회/NNG+적/XSN
계약으로서의	계약/NNG+으로서/JKB+의/JKG
지위를	지위/NNG+를/JKO
잃고,	잃/VV+고/EC+,/SP
정서적·경제적으로	정서/NNG+적/XSN+·/SP+경제/NNG+적/XSN+으로/JKB
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
사람을	사람/NNG+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
협상의	협상/NNG+의/JKG
하나로	하나/NR+로/JKB
전락했다는	전락/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.322.2.4
경제적 편차가 큰 결혼은 어느 한쪽의 ‘협상 실패’로 여겨진다.

경제적	경제/NNG+적/XSN
편차가	편차/NNG+가/JKS
큰	크/VA+ㄴ/ETM
결혼은	결혼/NNG+은/JX
어느	어느/MMD
한쪽의	한쪽/NNG+의/JKG
‘협상	‘/SS+협상/NNG
실패’로	실패/NNG+’/SS+로/JKB
여겨진다.	여기/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.322.2.5
결국 협상력이 떨어지는 가난한 이들에게 결혼은 자신들이 지킬 수 없는 의무에 불과해진다는 게 그의 설명이다.

결국	결국/MAG
협상력이	협상력/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
가난한	가난/NNG+하/XSA+ㄴ/ETM
이들에게	이/NNB+들/XSN+에게/JKB
결혼은	결혼/NNG+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
지킬	지키/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
의무에	의무/NNG+에/JKB
불과해진다는	불과/MAG+하/XSA+아/EC+지/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.322.3.1
결혼 제도의 위기는 교육 문제와 직결돼 있다.

결혼	결혼/NNG
제도의	제도/NNG+의/JKG
위기는	위기/NNG+는/JX
교육	교육/NNG
문제와	문제/NNG+와/JKB
직결돼	직결/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.322.3.2
스웨덴 복지모델은 낮은 출산율을 해결하는 데서 출발했다고 볼 수 있다.

스웨덴	스웨덴/NNP
복지모델은	복지/NNG+모델/NNG+은/JX
낮은	낮/VA+은/ETM
출산율을	출산/NNG+율/XSN+을/JKO
해결하는	해결/NNG+하/XSV+는/ETM
데서	데/NNB+서/JKB
출발했다고	출발/NNG+하/XSV+았/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


