# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.267
metadata : {}


# id : NWRW1800000026.267.1.1
살냄새 진동하는 3D;국내 성인영화 속속 제작, 감독 "생생한 화면 나도 놀라" 日 '부분 3D'는 이미 개봉

살냄새	살냄새/NNG
진동하는	진동/NNG+하/XSV+는/ETM
3D;국내	3/SN+D/SL+;/SP+국내/NNG
성인영화	성인/NNG+영화/NNG
속속	속속/MAG
제작,	제작/NNG+,/SP
감독	감독/NNG
"생생한	"/SS+생생하/VA+ㄴ/ETM
화면	화면/NNG
나도	나/NP+도/JX
놀라"	놀라/VV+아/EF+"/SS
日	日/SH
'부분	'/SS+부분/NNG
3D'는	3/SN+D/SL+'/SS+는/JX
이미	이미/MAG
개봉	개봉/NNG


# id : NWRW1800000026.267.2.1
3D 영화의 미래가 장밋빛에서 핑크빛으로 바뀌고 있다.

3D	3/SN+D/SL
영화의	영화/NNG+의/JKG
미래가	미래/NNG+가/JKS
장밋빛에서	장밋빛/NNG+에서/JKB
핑크빛으로	핑크빛/NNG+으로/JKB
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.267.2.2
'3D 섹스신'을 강력한 볼 거리로 내세우는 성인영화들이 개봉을 앞두고 있다.

'3D	'/SS+3/SN+D/SL
섹스신'을	섹스신/NNG+'/SS+을/JKO
강력한	강력/NNG+하/XSA+ㄴ/ETM
볼	보/VV+ㄹ/ETM
거리로	거리/NNB+로/JKB
내세우는	내세우/VV+는/ETM
성인영화들이	성인/NNG+영화/NNG+들/XSN+이/JKS
개봉을	개봉/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.267.2.3
일본 에로영화는 이미 일부 장면을 3D로 만들어 국내에 들어왔다.

일본	일본/NNP
에로영화는	에로/NNG+영화/NNG+는/JX
이미	이미/MAG
일부	일부/NNG
장면을	장면/NNG+을/JKO
3D로	3/SN+D/SL+로/JKB
만들어	만들/VV+어/EC
국내에	국내/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.2.4
김훈 소설 '현의 노래'를 3D 블록버스터로 제작 준비 중인 주경중 감독은 최근 100% 3D로 촬영한 멜로영화 '나탈리'를 완성했다.

김훈	김훈/NNP
소설	소설/NNG
'현의	'/SS+현/NNG+의/JKG
노래'를	노래/NNG+'/SS+를/JKO
3D	3/SN+D/SL
블록버스터로	블록버스터/NNG+로/JKB
제작	제작/NNG
준비	준비/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
주경중	주경중/NNP
감독은	감독/NNG+은/JX
최근	최근/NNG
100%	100/SN+%/SW
3D로	3/SN+D/SL+로/JKB
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
멜로영화	멜로/NNG+영화/NNG
'나탈리'를	'/SS+나탈리/NNP+'/SS+를/JKO
완성했다.	완성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.267.2.5
이성재와 박현진, 김지훈이 주연한 이 영화는 두 남자가 한 여자와 각각 사랑을 나누는 이야기다.

이성재와	이성재/NNP+와/JC
박현진,	박현진/NNP+,/SP
김지훈이	김지훈/NNP+이/JKS
주연한	주연/NNG+하/XSV+ㄴ/ETM
이	이/MMD
영화는	영화/NNG+는/JX
두	두/MMN
남자가	남자/NNG+가/JKS
한	한/MMN
여자와	여자/NNG+와/JKB
각각	각각/MAG
사랑을	사랑/NNG+을/JKO
나누는	나누/VV+는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.267.3.1
