# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.329
metadata : {}


# id : NWRW1800000052.329.1.1
정부, 방사성 제논 미량 탐지…핵실험 확인 못해

정부,	정부/NNG+,/SP
방사성	방사/NNG+성/XSN
제논	제논/NNG
미량	미량/NNG
탐지…핵실험	탐지/NNG+…/SE+핵/NNG+실험/NNG
확인	확인/NNG
못해	못/MAG+하/VV+아/EF


# id : NWRW1800000052.329.2.1
[한겨레] 정부가 지난 6일 북한 핵실험 뒤 동해상에서 벌여온 방사성 핵종 탐지에 실패했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
정부가	정부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
북한	북한/NNP
핵실험	핵/NNG+실험/NNG
뒤	뒤/NNG
동해상에서	동해/NNP+상/XSN+에서/JKB
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
방사성	방사/NNG+성/XSN
핵종	핵종/NNG
탐지에	탐지/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.329.3.1
원자력안전위원회는 8일 “북한의 4차 핵실험 뒤 방사성 제논 탐지장비를 탑재한 선박을 동해상으로 파견해 공기를 포집한 뒤 분석한 결과 핵실험 징후인 방사성 제논 핵종을 검출했으나 미량이어서 핵실험 여부를 확인하지는 못했다”고 밝혔다.

원자력안전위원회는	원자력/NNG+안전/NNG+위원회/NNG+는/JX
8일	8/SN+일/NNB
“북한의	“/SS+북한/NNP+의/JKG
4차	4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
뒤	뒤/NNG
방사성	방사/NNG+성/XSN
제논	제논/NNG
탐지장비를	탐지/NNG+장비/NNG+를/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
선박을	선박/NNG+을/JKO
동해상으로	동해/NNP+상/XSN+으로/JKB
파견해	파견/NNG+하/XSV+아/EC
공기를	공기/NNG+를/JKO
포집한	포집/NNG+하/XSV+ㄴ/ETM
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
징후인	징후/NNG+이/VCP+ㄴ/ETM
핵종을	핵종/NNG+을/JKO
검출했으나	검출/NNG+하/XSV+았/EP+으나/EC
미량이어서	미량/NNG+이/VCP+어서/EC
여부를	여부/NNG+를/JKO
확인하지는	확인/NNG+하/XSV+지/EC+는/JX
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.329.3.2
원안위 분석 결과 포집한 공기에서는 제논-133Xe가 1㎥당 0.3밀리베크렐(mBq)이 검출됐다.

원안위	원안위/NNG
분석	분석/NNG
결과	결과/NNG
포집한	포집/NNG+하/XSV+ㄴ/ETM
공기에서는	공기/NNG+에서/JKB+는/JX
제논-133Xe가	제논/NNG+-/SO+133/SN+Xe/SL+가/JKS
1㎥당	1/SN+㎥/SW+당/XSN
0.3밀리베크렐(mBq)이	0/SN+./SP+3/SN+밀리/NNB+베크렐/NNB+(/SS+m/SW+Bq/SW+)/SS+이/JKS
검출됐다.	검출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.329.3.3
그러나 이는 휴전선 근처에 설치된 2대의 고정식 방사성 제논 탐지장비에서 평소 검출되는 수준에도 미치지 못하는 농도다.

그러나	그러나/MAJ
이는	이/NP+는/JX
휴전선	휴전선/NNG
근처에	근처/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
2대의	2/SN+대/NNB+의/JKG
