# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.336
metadata : {}


# id : NWRW1800000041.336.1.1
[단독]‘철도비리 의혹’ 조현룡 의원 出禁… 내주 피의자로 소환

[단독]‘철도비리	[/SS+단독/NNG+]/SS+‘/SS+철도/NNG+비리/NNG
의혹’	의혹/NNG+’/SS
조현룡	조현룡/NNP
의원	의원/NNG
出禁…	出禁/SH+…/SE
내주	내주/NNG
피의자로	피의자/NNG+로/JKB
소환	소환/NNG


# id : NWRW1800000041.336.2.1
삼표 측서 1억6000만원 받은 혐의… 檢, 고속철 납품업체 선정경위 조사

삼표	삼표/NNP
측서	측/NNB+서/JKB
1억6000만원	1/SN+억/NR+6000/SN+만/NR+원/NNB
받은	받/VV+은/ETM
혐의…	혐의/NNG+…/SE
檢,	檢/SH+,/SP
고속철	고속철/NNG
납품업체	납품업체/NNG
선정경위	선정/NNG+경위/NNG
조사	조사/NNG


# id : NWRW1800000041.336.3.1
검찰이 철도부품 납품업체 삼표이앤씨로부터 금품을 수수한 의혹을 받고 있는 새누리당 조현룡 의원(69·사진)을 피의자 신분으로 소환 통보한 것으로 1일 확인됐다.

검찰이	검찰/NNG+이/JKS
철도부품	철도/NNG+부품/NNG
납품업체	납품업체/NNG
삼표이앤씨로부터	삼표이앤씨/NNP+로부터/JKB
금품을	금품/NNG+을/JKO
수수한	수수/NNG+하/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
새누리당	새누리당/NNP
조현룡	조현룡/NNP
의원(69·사진)을	의원/NNG+(/SS+69/SN+·/SP+사진/NNG+)/SS+을/JKO
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
소환	소환/NNG
통보한	통보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
1일	1/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.336.3.2
서울중앙지검 특별수사1부(부장 김후곤)는 조 의원을 출국금지하고 정치자금법 위반 및 뇌물수수 혐의를 적용해 다음 주 소환하기로 방침을 정했다.

서울중앙지검	서울중앙지검/NNP
특별수사1부(부장	특별/NNG+수사/NNG+1/SN+부/NNG+(/SS+부장/NNG
김후곤)는	김후곤/NNP+)/SS+는/JX
조	조/NNP
의원을	의원/NNG+을/JKO
출국금지하고	출국/NNG+금지/NNG+하/XSV+고/EC
정치자금법	정치/NNG+자금법/NNG
위반	위반/NNG
및	및/MAG
뇌물수수	뇌물/NNG+수수/NNG
혐의를	혐의/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
다음	다음/NNG
주	주/NNG
소환하기로	소환/NNG+하/XSV+기/ETN+로/JKB
방침을	방침/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.336.4.1
검찰에 따르면 조 의원은 한국철도시설공단 이사장으로 재직했던 2008∼2011년과 국회 국토교통위원으로 활동했던 지난해에 각각 외조카인 운전기사 위모 씨와 고교 선배인 전 공단 이사 김모 씨를 통해 삼표 측으로부터 총 1억6000만 원을 받은 혐의다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
조	조/NNP
의원은	의원/NNG+은/JX
한국철도시설공단	한국철도시설공단/NNP
이사장으로	이사장/NNG+으로/JKB
재직했던	재직/NNG+하/XSV+았/EP+던/ETM
2008∼2011년과	2008/SN+∼/SO+2011/SN+년/NNB+과/JC
국회	국회/NNG
국토교통위원으로	국토/NNG+교통/NNG+위원/NNG+으로/JKB
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
지난해에	지난해/NNG+에/JKB
각각	각각/MAG
외조카인	외조카/NNG+이/VCP+ㄴ/ETM
운전기사	운전기사/NNG
위모	위/NNP+모/NP
씨와	씨/NNB+와/JC
고교	고교/NNG
선배인	선배/NNG+이/VCP+ㄴ/ETM
전	전/MMD
공단	공단/NNG
이사	이사/NNG
김모	김/NNP+모/NP
씨를	씨/NNB+를/JKO
통해	통하/VV+아/EC
삼표	삼표/NNP
측으로부터	측/NNB+으로부터/JKB
총	총/MMA
1억6000만	1/SN+억/NR+6000/SN+만/NR
원을	원/NNB+을/JKO
받은	받/VV+은/ETM
혐의다.	혐의/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.336.5.1
검찰은 2011년 7월 공단이 삼표를 호남고속철의 고속분기기(열차를 다른 궤도로 옮길 때 필요한 설비) 납품 업체로 선정했던 과정을 세심히 들여다보고 있다.

검찰은	검찰/NNG+은/JX
2011년	2011/SN+년/NNB
7월	7/SN+월/NNB
공단이	공단/NNG+이/JKS
삼표를	삼표/NNP+를/JKO
호남고속철의	호남고속철/NNP+의/JKG
고속분기기(열차를	고속/NNG+분기기/NNG+(/SS+열차/NNG+를/JKO
다른	다른/MMD
궤도로	궤도/NNG+로/JKB
옮길	옮기/VV+ㄹ/ETM
때	때/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
설비)	설비/NNG+)/SS
납품	납품/NNG
업체로	업체/NNG+로/JKB
선정했던	선정/NNG+하/XSV+았/EP+던/ETM
과정을	과정/NNG+을/JKO
세심히	세심히/MAG
들여다보고	들여다보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.336.5.2
