# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.301
metadata : {}


# id : NWRW1800000021.301.1.1
[달라도 다함께/4부 다문화, 해외서 배운다]<2> 유럽-일본의 이민자 보호

[달라도	[/SS+다르/VA+아도/EC
다함께/4부	다/MAG+함께/MAG+//SP+4/SN+부/NNB
다문화,	다문화/NNG+,/SP
해외서	해외/NNG+서/JKB
배운다]<2>	배우/VV+ㄴ다/EF+]/SS+</SS+2/SN+>/SS
유럽-일본의	유럽/NNP+-/SO+일본/NNP+의/JKG
이민자	이민자/NNG
보호	보호/NNG


# id : NWRW1800000021.301.2.1
매일 수많은 관광객이 찾는 일본의 신주쿠 거리.

매일	매일/MAG
수많은	수많/VA+은/ETM
관광객이	관광객/NNG+이/JKS
찾는	찾/VV+는/ETM
일본의	일본/NNP+의/JKG
신주쿠	신주쿠/NNP
거리.	거리/NNG+./SF


# id : NWRW1800000021.301.2.2
각국 언어가 적혀 있는 형형색색의 간판이 화려하다.

각국	각국/NNG
언어가	언어/NNG+가/JKS
적혀	적히/VV+어/EC
있는	있/VX+는/ETM
형형색색의	형형색색/NNG+의/JKG
간판이	간판/NNG+이/JKS
화려하다.	화려하/VA+다/EF+./SF


# id : NWRW1800000021.301.2.3
‘국제 도시’의 이미지가 물씬하지만, 이곳에 사는 동남아시아인 노동자를 바라보는 시선에는 차별이 담겨 있다.

‘국제	‘/SS+국제/NNG
도시’의	도시/NNG+’/SS+의/JKG
이미지가	이미지/NNG+가/JKS
물씬하지만,	물씬/MAG+하/XSA+지만/EC+,/SP
이곳에	이곳/NP+에/JKB
사는	살/VV+는/ETM
동남아시아인	동남아시아인/NNG
노동자를	노동자/NNG+를/JKO
바라보는	바라보/VV+는/ETM
시선에는	시선/NNG+에/JKB+는/JX
차별이	차별/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.301.2.4
골목 곳곳에 “쓰레기를 버리지 마시오”라는 경고문이 4, 5개국 언어로 써 있다.

골목	골목/NNG
곳곳에	곳곳/NNG+에/JKB
“쓰레기를	“/SS+쓰레기/NNG+를/JKO
버리지	버리/VV+지/EC
마시오”라는	말/VX+시/EP+오/EF+”/SS+이/VCP+라는/ETM
경고문이	경고문/NNG+이/JKS
4,	4/SN+,/SP
5개국	5/SN+개국/NNB
언어로	언어/NNG+로/JKB
써	쓰/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.301.2.5
실제 쓰레기를 불법으로 버리는 사람 10명 중 6명이 일본인이라는 조사 결과가 나왔지만 말이다.

실제	실제/MAG
쓰레기를	쓰레기/NNG+를/JKO
불법으로	불법/NNG+으로/JKB
버리는	버리/VV+는/ETM
사람	사람/NNG
10명	10/SN+명/NNB
중	중/NNB
6명이	6/SN+명/NNB+이/JKS
일본인이라는	일본인/NNG+이/VCP+라는/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
