# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.377
metadata : {}


# id : NWRW1800000022.377.1.1
충청권, 세종시 수정론 반발 확산;연기군의원 전원도 단식농성 27일 행정도시사수 궐기대회

충청권,	충청/NNP+권/XSN+,/SP
세종시	세종시/NNP
수정론	수정/NNG+론/XSN
반발	반발/NNG
확산;연기군의원	확산/NNG+;/SW+연기군/NNP+의원/NNG
전원도	전원/NNG+도/JX
단식농성	단식/NNG+농성/NNG
27일	27/SN+일/NNB
행정도시사수	행정/NNG+도시/NNG+사수/NNG
궐기대회	궐기/NNG+대회/NNG


# id : NWRW1800000022.377.2.1
행정중심복합도시(세종시) 수정 움직임에 대한 충청권 반발이 확산되고 있다.

행정중심복합도시(세종시)	행정/NNG+중심/NNG+복합/NNG+도시/NNG+(/SS+세종시/NNP+)/SS
수정	수정/NNG
움직임에	움직임/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
충청권	충청/NNP+권/XSN
반발이	반발/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.377.2.2
22일 유한식 충남 연기군수가 '세종시 원안 추진'을 촉구하며 단식에 들어간 데 이어 진영은 의장 등 10명의 군의원도 전원 단식농성에 동참했다.

22일	22/SN+일/NNB
유한식	유한식/NNP
충남	충남/NNP
연기군수가	연기/NNP+군수/NNG+가/JKS
'세종시	'/SS+세종시/NNP
원안	원안/NNG
추진'을	추진/NNG+'/SS+을/JKO
촉구하며	촉구/NNG+하/XSV+며/EC
단식에	단식/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
진영은	진영은/NNP
의장	의장/NNG
등	등/NNB
10명의	10/SN+명/NNB+의/JKG
군의원도	군/NNG+의원/NNG+도/JX
전원	전원/NNG
단식농성에	단식/NNG+농성/NNG+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.377.2.3
진 의장은 "군민 대다수의 뜻인 세종시 원안 추진에 힘을 보태기 위해 단식에 동참키로 했다"고 밝혔다.

진	진/NNP
의장은	의장/NNG+은/JX
"군민	"/SS+군민/NNG
대다수의	대/XPN+다수/NNG+의/JKG
뜻인	뜻/NNG+이/VCP+ㄴ/ETM
세종시	세종시/NNP
원안	원안/NNG
추진에	추진/NNG+에/JKB
힘을	힘/NNG+을/JKO
보태기	보태/VV+기/ETN
위해	위하/VV+아/EC
단식에	단식/NNG+에/JKB
동참키로	동참/NNG+하/XSV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.377.3.1
지난 14일부터 매일 저녁 조치원역광장에서 '세종시 사수 촛불문화제'를 열고 있는 '행정도시사수 연기군대책위원회'(상임공동대표 조선평·홍성용)는 27일 오후 조치원역광장에서 주민 등 1만여명이 참여하는 '행정도시 사수 500만 충청권 궐기대회'를 열 계획이다.

지난	지나/VV+ㄴ/ETM
14일부터	14/SN+일/NNB+부터/JX
매일	매일/MAG
저녁	저녁/NNG
조치원역광장에서	조치원역/NNP+광장/NNG+에서/JKB
'세종시	'/SS+세종시/NNP
사수	사수/NNG
촛불문화제'를	촛불/NNG+문화제/NNG+'/SS+를/JKO
열고	열/VV+고/EC
있는	있/VX+는/ETM
'행정도시사수	'/SS+행정/NNG+도시/NNG+사수/NNG
연기군대책위원회'(상임공동대표	연기군/NNP+대책/NNG+위원회/NNG+'/SS+(/SS+상임/NNG+공동/NNG+대표/NNG
조선평·홍성용)는	조선평/NNP+·/SP+홍성용/NNP+)/SS+는/JX
27일	27/SN+일/NNB
오후	오후/NNG
주민	주민/NNG
등	등/NNB
1만여명이	1/SN+만/NR+여/XSN+명/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
'행정도시	'/SS+행정/NNG+도시/NNG
500만	500/SN+만/NR
충청권	충청/NNP+권/XSN
궐기대회'를	궐기/NNG+대회/NNG+'/SS+를/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.377.3.2
주최측은 이날 정부에 대한 항의 표시로 연기 및 공주 주민들의 주민등록증 2만여장을 모아 반납하는 퍼포먼스와, 연기지역 이장(里長) 100여명이 참석하는 대규모 삭발식을 벌일 계획이다.

주최측은	주최/NNG+측/NNB+은/JX
이날	이날/NNG
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
항의	항의/NNG
표시로	표시/NNG+로/JKB
연기	연기/NNP
및	및/MAG
공주	공주/NNP
주민들의	주민/NNG+들/XSN+의/JKG
주민등록증	주민/NNG+등록증/NNG
2만여장을	2/SN+만/NR+여/XSN+장/NNB+을/JKO
모아	모으/VV+아/EC
반납하는	반납/NNG+하/XSV+는/ETM
퍼포먼스와,	퍼포먼스/NNG+와/JC+,/SP
연기지역	연기지역/NNP
이장(里長)	이장/NNG+(/SS+里長/SH+)/SS
100여명이	100/SN+여/XSN+명/NNB+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
대규모	대/XPN+규모/NNG
삭발식을	삭발식/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.377.4.1
일부 주민들은 정부 주관 행사 참가 거부, 자녀 등교 거부 등 투쟁 수위를 높이자는 주장을 하고 있다.

일부	일부/NNG
주민들은	주민/NNG+들/XSN+은/JX
정부	정부/NNG
주관	주관/NNG
행사	행사/NNG
참가	참가/NNG
거부,	거부/NNG+,/SP
자녀	자녀/NNG
등교	등교/NNG
거부	거부/NNG
등	등/NNB
투쟁	투쟁/NNG
수위를	수위/NNG+를/JKO
높이자는	높이/VV+자는/ETM
주장을	주장/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.377.4.2
조선평 대책위 상임공동대표는 "정부가 약속을 지키지 않는 만큼 결연한 행동으로 세종시 원안 추진의 당위성과 의지를 보이겠다"고 했다.

조선평	조선평/NNP
대책위	대책위/NNG
상임공동대표는	상임/NNG+공동/NNG+대표/NNG+는/JX
"정부가	"/SS+정부/NNG+가/JKS
약속을	약속/NNG+을/JKO
지키지	지키/VV+지/EC
않는	않/VX+는/ETM
만큼	만큼/NNB
결연한	결연하/VA+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
세종시	세종시/NNP
원안	원안/NNG
추진의	추진/NNG+의/JKG
당위성과	당위/NNG+성/XSN+과/JC
의지를	의지/NNG+를/JKO
보이겠다"고	보이/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.377.5.1
한편 충북참여연대와 충북경실련 등 50여개 단체로 구성된 '행정도시·혁신도시 무산저지 충북비상대책위원회'는 26일 오전 11시 충북도의회 앞에서 출범식을 열고 공식 활동에 나선다.

한편	한편/MAG
충북참여연대와	충북/NNP+참여연대/NNP+와/JC
충북경실련	충북경실련/NNP
등	등/NNB
50여개	50/SN+여/XSN+개/NNB
단체로	단체/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
'행정도시·혁신도시	'/SS+행정/NNG+도시/NNG+·/SP+혁신/NNG+도시/NNG
무산저지	무산/NNG+저지/NNG
충북비상대책위원회'는	충북/NNP+비상/NNG+대책/NNG+위원회/NNG+'/SS+는/JX
26일	26/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
충북도의회	충북도의회/NNP
앞에서	앞/NNG+에서/JKB
출범식을	출범식/NNG+을/JKO
열고	열/VV+고/EC
공식	공식/NNG
활동에	활동/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.377.5.2
대책위는 세종시와 혁신도시의 정상 추진을 위해 지방자치단체와 지방의회, 정치권과의 공조·협력을 적극 추진하고, 전국 차원의 연대투쟁도 벌일 계획이다.

대책위는	대책위/NNG+는/JX
세종시와	세종시/NNP+와/JKB
혁신도시의	혁신/NNG+도시/NNG+의/JKG
정상	정상/NNG
추진을	추진/NNG+을/JKO
위해	위하/VV+아/EC
지방자치단체와	지방/NNG+자치/NNG+단체/NNG+와/JC
지방의회,	지방/NNG+의회/NNG+,/SP
정치권과의	정치/NNG+권/XSN+과/JKB+의/JKG
공조·협력을	공조/NNG+·/SP+협력/NNG+을/JKO
적극	적극/NNG
추진하고,	추진/NNG+하/XSV+고/EC+,/SP
전국	전국/NNG
차원의	차원/NNG+의/JKG
연대투쟁도	연대/NNG+투쟁/NNG+도/JX
벌일	벌이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.377.5.3
대책위는 "앞으로 서명운동과 대규모 집회 외에 내년 지방선거에서도 조직적인 행동에 나설 계획"이라고 했다.

대책위는	대책위/NNG+는/JX
"앞으로	"/SS+앞/NNG+으로/JKB
서명운동과	서명/NNG+운동/NNG+과/JC
대규모	대/XPN+규모/NNG
집회	집회/NNG
외에	외/NNB+에/JKB
내년	내년/NNG
지방선거에서도	지방/NNG+선거/NNG+에서/JKB+도/JX
조직적인	조직/NNG+적/XSN+이/VCP+ㄴ/ETM
행동에	행동/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


