# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.16
metadata : {}


# id : NWRW1800000049.16.1.1
입주기업 평균 2.3배 성장 ‘결실’

입주기업	입주/NNG+기업/NNG
평균	평균/NNG
2.3배	2/SN+./SP+3/SN+배/NNG
성장	성장/NNG
‘결실’	‘/SS+결실/NNG+’/SS


# id : NWRW1800000049.16.2.1
구글의 아시아 첫 스타트업 지원공간 ‘캠퍼스 서울’ 1주년

구글의	구글/NNP+의/JKG
아시아	아시아/NNP
첫	첫/MMN
스타트업	스타트업/NNG
지원공간	지원/NNG+공간/NNG
‘캠퍼스	‘/SS+캠퍼스/NNG
서울’	서울/NNP+’/SS
1주년	1/SN+주년/NNB


# id : NWRW1800000049.16.3.1
지난해 5월 세계에서 세 번째, 아시아에서 처음으로 서울에 문을 연 구글의 스타트업 공간 ‘캠퍼스 서울’이 개관 1주년을 맞았다.

지난해	지난해/NNG
5월	5/SN+월/NNB
세계에서	세계/NNG+에서/JKB
세	세/MMN
번째,	번/NNB+째/XSN+,/SP
아시아에서	아시아/NNP+에서/JKB
처음으로	처음/NNG+으로/JKB
서울에	서울/NNP+에/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
구글의	구글/NNP+의/JKG
스타트업	스타트업/NNG
공간	공간/NNG
‘캠퍼스	‘/SS+캠퍼스/NNG
서울’이	서울/NNP+’/SS+이/JKS
개관	개관/NNG
1주년을	1/SN+주년/NNB+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.16.3.2
개관식 당시 박근혜 대통령이 직접 참석했을 정도로 관심과 기대를 모았던 바로 그곳이다.

개관식	개관식/NNG
당시	당시/NNG
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
참석했을	참석/NNG+하/XSV+았/EP+을/ETM
정도로	정도/NNG+로/JKB
관심과	관심/NNG+과/JC
기대를	기대/NNG+를/JKO
모았던	모으/VV+았/EP+던/ETM
바로	바로/MAG
그곳이다.	그곳/NP+이/VCP+다/EF+./SF


# id : NWRW1800000049.16.4.1
10일 서울 강남구 영동대로 캠퍼스 서울에서 열린 개관 1주년 기념행사에서 임정민 캠퍼스 서울 총괄은 “이곳은 국내외 창업가들이 교류하고, 배우고, 사업을 성장시키는 커뮤니티가 됐다”고 평가했다.

10일	10/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
영동대로	영동대로/NNP
캠퍼스	캠퍼스/NNG
서울에서	서울/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
개관	개관/NNG
1주년	1/SN+주년/NNB
기념행사에서	기념행사/NNG+에서/JKB
임정민	임정민/NNP
총괄은	총괄/NNG+은/JX
“이곳은	“/SS+이곳/NP+은/JX
국내외	국내외/NNG
창업가들이	창업가/NNG+들/XSN+이/JKS
교류하고,	교류/NNG+하/XSV+고/EC+,/SP
배우고,	배우/VV+고/EC+,/SP
사업을	사업/NNG+을/JKO
성장시키는	성장/NNG+시키/XSV+는/ETM
커뮤니티가	커뮤니티/NNG+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.16.5.1
캠퍼스 서울은 캠퍼스 서울 홈페이지에서 회원 가입만 하면 누구나 와서 무료로 이용할 수 있는 열린 공간으로 운영돼 왔다.

캠퍼스	캠퍼스/NNG
서울은	서울/NNP+은/JX
서울	서울/NNP
홈페이지에서	홈페이지/NNG+에서/JKB
회원	회원/NNG
가입만	가입/NNG+만/JX
하면	하/VV+면/EC
누구나	누구/NP+나/JX
와서	오/VV+아서/EC
무료로	무료/NNG+로/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
열린	열리/VV+ㄴ/ETM
공간으로	공간/NNG+으로/JKB
운영돼	운영/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.16.5.2
최근 1년간 이렇게 가입한 사람은 1만3000명(80개 국적)이나 된다.

최근	최근/MAG
1년간	1/SN+년/NNB+간/XSN
이렇게	이렇/VA+게/EC
가입한	가입/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
1만3000명(80개	1/SN+만/NR+3000/SN+명/NNB+(/SS+80/SN+개/NNB
국적)이나	국적/NNG+)/SS+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.16.5.3
이들은 캠퍼스 서울에 마련된 ‘캠퍼스 카페’에서 네트워킹을 하거나 스타트업 아이디어를 공유하며 창업 동료를 찾기도 한다.

이들은	이/NP+들/XSN+은/JX
캠퍼스	캠퍼스/NNG
서울에	서울/NNP+에/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
‘캠퍼스	‘/SS+캠퍼스/NNG
카페’에서	카페/NNG+’/SS+에서/JKB
네트워킹을	네트워킹/NNG+을/JKO
하거나	하/VV+거나/EC
스타트업	스타트업/NNG
아이디어를	아이디어/NNG+를/JKO
공유하며	공유/NNG+하/XSV+며/EC
창업	창업/NNG
동료를	동료/NNG+를/JKO
찾기도	찾/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.16.5.4
임 총괄은 “매일 아침 이곳을 사무실 삼아 일하는 ‘출근족’부터 팀을 구성해 사업을 하는 사람도 꽤 많이 보인다”며 “캠퍼스 서울을 운영하며 가장 중요하게 생각한 것은 서로를 네트워킹해주는 것”이라고 설명했다.

임	임/NNP
총괄은	총괄/NNG+은/JX
“매일	“/SS+매일/MAG
아침	아침/NNG
이곳을	이곳/NP+을/JKO
사무실	사무실/NNG
삼아	삼/VV+아/EC
일하는	일/NNG+하/XSV+는/ETM
‘출근족’부터	‘/SS+출근족/NNG+’/SS+부터/JX
팀을	팀/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
사업을	사업/NNG+을/JKO
하는	하/VV+는/ETM
사람도	사람/NNG+도/JX
꽤	꽤/MAG
많이	많이/MAG
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“캠퍼스	“/SS+캠퍼스/NNG
서울을	서울/NNP+을/JKO
운영하며	운영/NNG+하/XSV+며/EC
가장	가장/MAG
중요하게	중요/NNG+하/XSA+게/EC
생각한	생각/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
서로를	서로/NNG+를/JKO
네트워킹해주는	네트워킹/NNG+하/XSV+아/EC+주/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.16.6.1
이렇게 열린 분위기 속에서 캠퍼스 서울은 구글뿐 아니라 국내외 전문가들을 최대한 활용한 각종 교육 및 멘토링을 진행해왔다.

이렇게	이렇/VA+게/EC
열린	열리/VV+ㄴ/ETM
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
캠퍼스	캠퍼스/NNG
서울은	서울/NNP+은/JX
구글뿐	구글/NNP+뿐/JX
아니라	아니/VCN+라/EC
국내외	국내외/NNG
전문가들을	전문가/NNG+들/XSN+을/JKO
최대한	최대한/MAG
활용한	활용/NNG+하/XSV+ㄴ/ETM
각종	각종/NNG
교육	교육/NNG
및	및/MAG
멘토링을	멘토링/NNG+을/JKO
진행해왔다.	진행/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.16.6.2
1년 동안 90개 이상의 프로그램과 195개가 넘는 멘토링 세션이 진행돼 7500명 이상의 창업가가 다녀갔다.

1년	1/SN+년/NNB
동안	동안/NNG
90개	90/SN+개/NNB
이상의	이상/NNG+의/JKG
프로그램과	프로그램/NNG+과/JC
195개가	195/SN+개/NNB+가/JKS
넘는	넘/VV+는/ETM
멘토링	멘토링/NNG
세션이	세션/NNG+이/JKS
진행돼	진행/NNG+되/XSV+어/EC
7500명	7500/SN+명/NNB
창업가가	창업가/NNG+가/JKS
다녀갔다.	다녀가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.16.6.3
구글 본사 소속 유명 엔지니어, 글로벌 투자사들을 비롯해 법무법인 김앤장, 딜로이트컨설팅과 협업을 통해 창업가들을 위한 법률·세무 교육을 진행하기도 했다.

구글	구글/NNP
본사	본사/NNG
소속	소속/NNG
유명	유명/NNG
엔지니어,	엔지니어/NNG+,/SP
글로벌	글로벌/NNG
투자사들을	투자사/NNG+들/XSN+을/JKO
비롯해	비롯하/VV+아/EC
법무법인	법무/NNG+법인/NNG
김앤장,	김앤장/NNP+,/SP
딜로이트컨설팅과	딜로이트컨설팅/NNP+과/JKB
협업을	협업/NNG+을/JKO
통해	통하/VV+아/EC
창업가들을	창업가/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
법률·세무	법률/NNG+·/SP+세무/NNG
교육을	교육/NNG+을/JKO
진행하기도	진행/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.16.7.1
캠퍼스 서울의 대표 프로그램 중 하나인 ‘엄마를 위한 캠퍼스’를 통해 창업한 ‘모이’의 최정윤 공동대표는 “임신 후 회사를 그만두면서 항상 창업을 꿈꿨다”며 “캠퍼스 서울은 구체적인 방법과 살아있는 정보를 얻을 수 있는 최고의 환경”이라고 말했다.

캠퍼스	캠퍼스/NNG
서울의	서울/NNP+의/JKG
대표	대표/NNG
프로그램	프로그램/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
