# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.244
metadata : {}


# id : NWRW1800000045.244.1.1
꿈 부서진 강정호

꿈	꿈/NNG
부서진	부서지/VV+ㄴ/ETM
강정호	강정호/NNP


# id : NWRW1800000045.244.2.1
컵스 코글린 태클로 왼쪽무릎 중상… 시즌 아웃… 신인왕-PS출전 좌절

컵스	컵스/NNP
코글린	코글린/NNP
태클로	태클/NNG+로/JKB
왼쪽무릎	왼쪽/NNG+무릎/NNG
중상…	중상/NNG+…/SE
시즌	시즌/NNG
아웃…	아웃/NNG+…/SE
신인왕-PS출전	신인왕/NNG+-/SO+PS/SL+출전/NNG
좌절	좌절/NNG


# id : NWRW1800000045.244.3.1
연골판 파열-정강이뼈 골절 수술… 2016년 3∼5월에나 복귀 가능할 듯

연골판	연골판/NNG
파열-정강이뼈	파열/NNG+-/SO+정강이뼈/NNG
골절	골절/NNG
수술…	수술/NNG+…/SE
2016년	2016/SN+년/NNB
3∼5월에나	3/SN+∼/SO+5/SN+월/NNB+에/JKB+나/JX
복귀	복귀/NNG
가능할	가능/NNG+하/XSA+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000045.244.4.1
피츠버그의 강정호(28)가 부상으로 올 시즌을 마감했다.

피츠버그의	피츠버그/NNP+의/JKG
강정호(28)가	강정호/NNP+(/SS+28/SN+)/SS+가/JKS
부상으로	부상/NNG+으로/JKB
올	오/VV+ㄹ/ETM
시즌을	시즌/NNG+을/JKO
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.5.1
강정호는 18일(한국 시간) 미국 펜실베이니아 주 피츠버그의 PNC파크에서 열린 시카고 컵스와의 안방경기에서 유격수로 출전했다.

강정호는	강정호/NNP+는/JX
18일(한국	18/SN+일/NNB+(/SS+한국/NNP
시간)	시간/NNG+)/SS
미국	미국/NNP
펜실베이니아	펜실베이니아/NNP
주	주/NNG
피츠버그의	피츠버그/NNP+의/JKG
PNC파크에서	PNC파크/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
시카고	시카고/NNP
컵스와의	컵스/NNP+와/JKB+의/JKG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
유격수로	유격수/NNG+로/JKB
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.5.2
1회초 무사 만루에서 강정호가 병살 플레이를 하기 위해 2루에서 1루로 공을 던지려고 할 때 1루 주자 크리스 코글린이 거친 슬라이딩을 했다.

1회초	1/SN+회/NNB+초/NNB
무사	무사/NNG
만루에서	만루/NNG+에서/JKB
강정호가	강정호/NNP+가/JKS
병살	병살/NNG
플레이를	플레이/NNG+를/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
2루에서	2루/NNG+에서/JKB
1루로	1루/NNG+로/JKB
공을	공/NNG+을/JKO
던지려고	던지/VV+려고/EC
할	하/VX+ㄹ/ETM
때	때/NNG
1루	1루/NNG
주자	주자/NNG
크리스	크리스/NNP
코글린이	코글린/NNP+이/JKS
거친	거칠/VA+ㄴ/ETM
슬라이딩을	슬라이딩/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.5.3
코글린의 오른쪽 다리가 강정호의 왼쪽 무릎에 강하게 부딪쳤다.

코글린의	코글린/NNP+의/JKG
오른쪽	오른쪽/NNG
다리가	다리/NNG+가/JKS
강정호의	강정호/NNP+의/JKG
왼쪽	왼쪽/NNG
무릎에	무릎/NNG+에/JKB
강하게	강하/VA+게/EC
부딪쳤다.	부딪치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.244.5.4
병살 플레이는 성공했지만 강정호는 그라운드에 누워 무릎을 부여잡고 고통을 호소했다.

병살	병살/NNG
플레이는	플레이/NNG+는/JX
성공했지만	성공/NNG+하/XSV+았/EP+지만/EC
강정호는	강정호/NNP+는/JX
그라운드에	그라운드/NNG+에/JKB
누워	눕/VV+어/EC
무릎을	무릎/NNG+을/JKO
부여잡고	부여잡/VV+고/EC
고통을	고통/NNG+을/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.244.5.5
