# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.369
metadata : {}


# id : NWRW1800000053.369.1.1
美-中, 대북 원유 단계적 차단 합의할듯

美-中,	美/SH+-/SO+中/SH+,/SP
대북	대북/NNG
원유	원유/NNG
단계적	단계/NNG+적/XSN
차단	차단/NNG
합의할듯	합의/NNG+하/XSV+ㄹ/ETM+듯/NNB


# id : NWRW1800000053.369.2.1
[北 6차 핵실험 후폭풍]상한선 둔뒤 도발 계속땐 전면 중단 석탄금수 방식으로 제재 진행 전망 美 “안보리 제재안 11일 표결 목표”

[北	[/SS+北/SH
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
후폭풍]상한선	후폭풍/NNG+]/SS+상한선/NNG
둔뒤	두/VV+ㄴ/ETM+뒤/NNG
도발	도발/NNG
계속땐	계속/NNG+때/NNG+ㄴ/JX
전면	전면/NNG
중단	중단/NNG
석탄금수	석탄/NNG+금수/NNG
방식으로	방식/NNG+으로/JKB
제재	제재/NNG
진행	진행/NNG
전망	전망/NNG
美	美/SH
“안보리	“/SS+안보리/NNG
제재안	제재안/NNG
11일	11/SN+일/NNB
표결	표결/NNG
목표”	목표/NNG+”/SS


# id : NWRW1800000053.369.3.1
북한의 6차 핵실험 이후 미국이 중국 등에 강력하게 요구하고 있는 원유 공급 중단이 결국 북한산 석탄 금수 조치와 유사한 방식으로 진행될 것이라는 전망이 나왔다.

북한의	북한/NNP+의/JKG
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
이후	이후/NNG
미국이	미국/NNP+이/JKS
중국	중국/NNP
등에	등/NNB+에/JKB
강력하게	강력/NNG+하/XSA+게/EC
요구하고	요구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
원유	원유/NNG
공급	공급/NNG
중단이	중단/NNG+이/JKS
결국	결국/NNG
북한산	북한산/NNP
석탄	석탄/NNG
금수	금수/NNG
조치와	조치/NNG+와/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.369.3.2
유엔 안전보장이사회가 지난해 3월 북한의 석탄 수출을 금지하면서 민생 목적은 예외로 인정하고(2270호), 11월에는 연간 수출량에 상한선을 제시했던 방식(2321호)에 이어 지난달 5일 전면 금지(2371호)로 제재의 수위를 높인 사례가 준용될 수 있다는 전망이다.

유엔	유엔/NNP
안전보장이사회가	안전/NNG+보장/NNG+이사회/NNG+가/JKS
지난해	지난해/NNG
3월	3/SN+월/NNB
북한의	북한/NNP+의/JKG
석탄	석탄/NNG
수출을	수출/NNG+을/JKO
금지하면서	금지/NNG+하/XSV+면서/EC
민생	민생/NNG
목적은	목적/NNG+은/JX
예외로	예외/NNG+로/JKB
인정하고(2270호),	인정/NNG+하/XSV+고/EC+(/SS+2270/SN+호/NNB+)/SS+,/SP
11월에는	11/SN+월/NNB+에/JKB+는/JX
연간	연간/NNG
수출량에	수출량/NNG+에/JKB
상한선을	상한선/NNG+을/JKO
제시했던	제시/NNG+하/XSV+았/EP+던/ETM
방식(2321호)에	방식/NNG+(/SS+2321/SN+호/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
지난달	지난달/NNG
5일	5/SN+일/NNB
전면	전면/NNG
금지(2371호)로	금지/NNG+(/SS+2371/SN+호/NNB+)/SS+로/JKB
제재의	제재/NNG+의/JKG
수위를	수위/NNG+를/JKO
높인	높이/VV+ㄴ/ETM
사례가	사례/NNG+가/JKS
준용될	준용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.369.4.1
워싱턴의 한 외교 소식통은 5일 “미국은 유엔에서 대북 원유 공급 중단, 북한의 석유 가공 제품 수출 금지, 기존 북한 해외 노동자 고용 금지 등 3가지를 새로운 대북제재에 포함시켜야 한다고 요구했다”며 이같이 말했다.

워싱턴의	워싱턴/NNP+의/JKG
한	한/MMN
외교	외교/NNG
소식통은	소식통/NNG+은/JX
5일	5/SN+일/NNB
“미국은	“/SS+미국/NNP+은/JX
유엔에서	유엔/NNP+에서/JKB
대북	대북/NNG
원유	원유/NNG
공급	공급/NNG
중단,	중단/NNG+,/SP
북한의	북한/NNP+의/JKG
석유	석유/NNG
가공	가공/NNG
제품	제품/NNG
수출	수출/NNG
금지,	금지/NNG+,/SP
기존	기존/NNG
북한	북한/NNP
해외	해외/NNG
노동자	노동자/NNG
고용	고용/NNG
금지	금지/NNG
등	등/NNB
3가지를	3/SN+가지/NNB+를/JKO
새로운	새롭/VA+ㄴ/ETM
대북제재에	대북/NNG+제재/NNG+에/JKB
포함시켜야	포함/NNG+시키/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
요구했다”며	요구/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.369.4.2
미국이 요구하는 북한 노동자의 해외 고용 금지 조치도 타협점을 찾을지 주목된다.

미국이	미국/NNP+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
북한	북한/NNP
노동자의	노동자/NNG+의/JKG
해외	해외/NNG
고용	고용/NNG
금지	금지/NNG
조치도	조치/NNG+도/JX
타협점을	타협점/NNG+을/JKO
찾을지	찾/VV+을지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.369.4.3
지난달 2371호 결의안은 신규 노동자의 고용만 금지했는데 이번에는 기존 노동자에 대한 비자를 연장하지 않는 선에서 단계적 퇴출을 시도할 것이라는 관측이 제기된다.

지난달	지난달/NNG
2371호	2371/SN+호/NNB
결의안은	결의안/NNG+은/JX
신규	신규/NNG
노동자의	노동자/NNG+의/JKG
고용만	고용/NNG+만/JX
금지했는데	금지/NNG+하/XSV+았/EP+는데/EC
이번에는	이번/NNG+에/JKB+는/JX
기존	기존/NNG
노동자에	노동자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비자를	비자/NNG+를/JKO
연장하지	연장/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
선에서	선/NNG+에서/JKB
단계적	단계/NNG+적/XSN
퇴출을	퇴출/NNG+을/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.369.5.1
4일(현지 시간) 열린 유엔 안보리 긴급회의에서는 추가 대북제재를 놓고 미국과 중국·러시아 간 충돌이 벌어졌다.

4일(현지	4/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
열린	열리/VV+ㄴ/ETM
유엔	유엔/NNP
안보리	안보리/NNG
긴급회의에서는	긴급회의/NNG+에서/JKB+는/JX
추가	추가/NNG
대북제재를	대북/NNG+제재/NNG+를/JKO
놓고	놓/VV+고/EC
미국과	미국/NNP+과/JC
중국·러시아	중국/NNP+·/SP+러시아/NNP
간	간/NNB
충돌이	충돌/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.369.5.2
중국이 이번에도 쌍중단(북한 도발과 한미 군사훈련 동시 중단)을 주장하자 니키 헤일리 유엔주재 미국대사는 이를 성토하며 “이번 주 새로운 대북제재 결의안 초안을 회람해 11일 표결을 목표로 하고 있다”고 압박했다.

중국이	중국/NNP+이/JKS
이번에도	이번/NNG+에/JKB+도/JX
쌍중단(북한	쌍/NNG+중단/NNG+(/SS+북한/NNP
도발과	도발/NNG+과/JC
한미	한미/NNP
군사훈련	군사/NNG+훈련/NNG
동시	동시/NNG
중단)을	중단/NNG+)/SS+을/JKO
주장하자	주장/NNG+하/XSV+자/EC
니키	니키/NNP
헤일리	헤일리/NNP
유엔주재	유엔/NNP+주재/NNG
미국대사는	미국/NNP+대사/NNG+는/JX
이를	이/NP+를/JKO
성토하며	성토/NNG+하/XSV+며/EC
“이번	“/SS+이번/NNG
주	주/NNG
새로운	새롭/VA+ㄴ/ETM
대북제재	대북/NNG+제재/NNG
결의안	결의안/NNG
초안을	초안/NNG+을/JKO
회람해	회람/NNG+하/XSV+아/EC
11일	11/SN+일/NNB
표결을	표결/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


