# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.380
metadata : {}


# id : NWRW1800000036.380.1.1
광주찍고 대구간 안철수 기성정당 독점구도 깨기?

광주찍고	광주/NNP+찍/VV+고/EC
대구간	대구/NNP+가/VV+ㄴ/ETM
안철수	안철수/NNP
기성정당	기성/NNG+정당/NNG
독점구도	독점/NNG+구도/NNG
깨기?	깨/VV+기/ETN+?/SF


# id : NWRW1800000036.380.2.1
[한겨레] 총선 앞 순회강연 나서

[한겨레]	[/SS+한겨레/NNP+]/SS
총선	총선/NNG
앞	앞/NNG
순회강연	순회강연/NNG
나서	나서/VV+어/EC


# id : NWRW1800000036.380.3.1
“투표 참가를” 거듭 강조

“투표	“/SS+투표/NNG
참가를”	참가/NNG+를/JKO+”/SS
거듭	거듭/MAG
강조	강조/NNG


# id : NWRW1800000036.380.4.1
잠재적 지지층 확대행보

잠재적	잠재/NNG+적/XSN
지지층	지지/NNG+층/XSN
확대행보	확대/NNG+행보/NNG


# id : NWRW1800000036.380.5.1
안철수 서울대 융합과학기술대학원장이 4일 대구 경북대에서 ‘안철수 교수가 본 한국 경제’라는 제목의 강연을 했다.

안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장이	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+이/JKS
4일	4/SN+일/NNB
대구	대구/NNP
경북대에서	경북대/NNP+에서/JKB
‘안철수	‘/SS+안철수/NNP
교수가	교수/NNG+가/JKS
본	보/VV+ㄴ/ETM
한국	한국/NNP
경제’라는	경제/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
강연을	강연/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.380.5.2
전날 광주 전남대 강연에 뒤이은 ‘영호남 순회 강연’인 셈이다.

전날	전날/NNG
광주	광주/NNP
전남대	전남대/NNP
강연에	강연/NNG+에/JKB
뒤이은	뒤잇/VV+은/ETM
‘영호남	‘/SS+영호남/NNP
순회	순회/NNG
강연’인	강연/NNG+’/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.380.6.1
안 원장은 이날 대구 강연에서 성장과 일자리, 실업률, 산업구조 등의 관점에서 바라본 한국 경제의 문제점과 해법에 대해 1시간 가량 이야기했다.

안	안/NNP
원장은	원장/NNG+은/JX
이날	이날/NNG
대구	대구/NNP
강연에서	강연/NNG+에서/JKB
성장과	성장/NNG+과/JC
일자리,	일자리/NNG+,/SP
실업률,	실업/NNG+률/XSN+,/SP
산업구조	산업/NNG+구조/NNG
등의	등/NNB+의/JKG
관점에서	관점/NNG+에서/JKB
바라본	바라보/VV+ㄴ/ETM
한국	한국/NNP
경제의	경제/NNG+의/JKG
문제점과	문제점/NNG+과/JC
해법에	해법/NNG+에/JKB
대해	대하/VV+아/EC
1시간	1/SN+시간/NNB
가량	가량/XSN
이야기했다.	이야기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.380.6.2
안 원장은 “제3당 창당은 없다”고 했던 지난해 12월 자신의 발언을 재론했다.

안	안/NNP
원장은	원장/NNG+은/JX
“제3당	“/SS+제/XPN+3/SN+당/NNG
창당은	창당/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
했던	하/VV+았/EP+던/ETM
지난해	지난해/NNG
