# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.9
metadata : {}


# id : NWRW1800000028.9.1.1
“세종시 수정안 반대”

“세종시	“/SS+세종시/NNP
수정안	수정안/NNG
반대”	반대/NNG+”/SS


# id : NWRW1800000028.9.2.1
박근혜 한나라당 전 대표는 7일 ‘9부2처2청’을 세종시로 이전하는 원안이 지켜져야 한다는 뜻을 분명히 했다.

박근혜	박근혜/NNP
한나라당	한나라당/NNP
전	전/MMD
대표는	대표/NNG+는/JX
7일	7/SN+일/NNB
‘9부2처2청’을	‘/SS+9/SN+부/NNG+2/SN+처/NNG+2/SN+청/NNG+’/SS+을/JKO
세종시로	세종시/NNP+로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
원안이	원안/NNG+이/JKS
지켜져야	지키/VV+어/EC+지/VX+어야/EC
한다는	하/VX+ㄴ다는/ETM
뜻을	뜻/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.9.2.2
박 전 대표는 또 한나라당이 정부가 마련한 수정안에 찬성하는 당론을 확정해도 이를 받아들이지 않겠다고 밝혔다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
또	또/MAG
한나라당이	한나라당/NNP+이/JKS
정부가	정부/NNG+가/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
수정안에	수정안/NNG+에/JKB
찬성하는	찬성/NNG+하/XSV+는/ETM
당론을	당론/NNG+을/JKO
확정해도	확정/NNG+하/XSV+아도/EC
이를	이/NP+를/JKO
받아들이지	받아들이/VV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.9.2.3
이에 따라 11일 수정안 발표를 계기로 세종시로의 부처 이전 백지화를 굳히려는 여권 지도부의 계획에 큰 차질이 예상된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
11일	11/SN+일/NNB
