# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.7
metadata : {}


# id : NWRW1800000021.7.1.1
[도시의 표정을 바꾼다]

[도시의	[/SS+도시/NNG+의/JKG
표정을	표정/NNG+을/JKO
바꾼다]	바꾸/VV+ㄴ다/EF+]/SS


# id : NWRW1800000021.7.1.2
<1>금호아시아나 신사옥

<1>금호아시아나	</SS+1/SN+>/SS+금호아시아나/NNP
신사옥	신/XPN+사옥/NNG


# id : NWRW1800000021.7.2.1
단정한 앞태와 화려한 뒤태.

단정한	단정하/VA+ㄴ/ETM
앞태와	앞태/NNG+와/JC
화려한	화려하/VA+ㄴ/ETM
뒤태.	뒤태/NNG+./SF


# id : NWRW1800000021.7.3.1
서울 종로구 신문로1가 197 금호아시아나 신사옥은 입면의 외장 악센트를 대로변이 아닌 뒷벽에 품은 건물이다.

서울	서울/NNP
종로구	종로구/NNP
신문로1가	신문로1가/NNP
197	197/SN
금호아시아나	금호아시아나/NNP
신사옥은	신/XPN+사옥/NNG+은/JX
입면의	입면/NNG+의/JKG
외장	외장/NNG
악센트를	악센트/NNG+를/JKO
대로변이	대로변/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
뒷벽에	뒷벽/NNG+에/JKB
품은	품/VV+은/ETM
건물이다.	건물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.7.4.1
6만9000개의 발광다이오드(LED) 조명을 붙인 폭 23m, 높이 92m의 디지털 캔버스.

6만9000개의	6/SN+만/NR+9000/SN+개/NNB+의/JKG
발광다이오드(LED)	발광/NNG+다이오드/NNG+(/SS+LED/SL+)/SS
조명을	조명/NNG+을/JKO
붙인	붙이/VV+ㄴ/ETM
폭	폭/NNG
23m,	23/SN+m/SW+,/SP
높이	높이/NNG
92m의	92/SN+m/SW+의/JKG
디지털	디지털/NNG
캔버스.	캔버스/NNG+./SF


# id : NWRW1800000021.7.4.2
병풍처럼 우뚝 선 폭 5m, 높이 18m의 3개 진흙미술 타일 벽.

병풍처럼	병풍/NNG+처럼/JKB
우뚝	우뚝/MAG
선	서/VV+ㄴ/ETM
폭	폭/NNG
5m,	5/SN+m/SW+,/SP
높이	높이/NNG
18m의	18/SN+m/SW+의/JKG
3개	3/SN+개/NNB
진흙미술	진흙/NNG+미술/NNG
타일	타일/NNG
벽.	벽/NNG+./SF


# id : NWRW1800000021.7.4.3
LED 캔버스는 이정교 홍익대 디자인학부 교수, 진흙미술 타일 벽은 같은 학교 도예과 신상호 교수의 작품이다.

LED	LED/SL
캔버스는	캔버스/NNG+는/JX
이정교	이정교/NNP
홍익대	홍익대/NNP
디자인학부	디자인/NNG+학부/NNG
교수,	교수/NNG+,/SP
진흙미술	진흙/NNG+미술/NNG
타일	타일/NNG
벽은	벽/NNG+은/JX
같은	같/VA+은/ETM
학교	학교/NNG
도예과	도예과/NNG
신상호	신상호/NNP
교수의	교수/NNG+의/JKG
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.7.5.1
지나는 사람의 눈길을 붙드는 파랑 초록 빨강 노랑의 예술품을 건물 전면에 내놓지 않고 후면에 둔 것은 건축주인 박삼구(64) 금호아시아나그룹 회장의 뜻이었다.

지나는	지나/VV+는/ETM
사람의	사람/NNG+의/JKG
눈길을	눈길/NNG+을/JKO
붙드는	붙들/VV+는/ETM
파랑	파랑/NNG
초록	초록/NNG
빨강	빨강/NNG
노랑의	노랑/NNG+의/JKG
예술품을	예술품/NNG+을/JKO
건물	건물/NNG
전면에	전면/NNG+에/JKB
내놓지	내놓/VV+지/EC
않고	않/VX+고/EC
후면에	후면/NNG+에/JKB
둔	두/VV+ㄴ/ETM
것은	것/NNB+은/JX
건축주인	건축주/NNG+이/VCP+ㄴ/ETM
박삼구(64)	박삼구/NNP+(/SS+64/SN+)/SS
금호아시아나그룹	금호아시아나그룹/NNP
회장의	회장/NNG+의/JKG
뜻이었다.	뜻/NNG+이/VCP+었/EP+다/EF+./SF


