# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.315
metadata : {}


# id : NWRW1800000033.315.1.1
北 잇단 대남위협에 金국방 “北 도발땐 10배로 사격”

北	北/SH
잇단	잇달/VV+ㄴ/ETM
대남위협에	대남/NNG+위협/NNG+에/JKB
金국방	金/SH+국방/NNG
“北	“/SS+北/SH
도발땐	도발/NNG+때/NNG+ㄴ/JX
10배로	10/SN+배/NNG+로/JKB
사격”	사격/NNG+”/SS


# id : NWRW1800000033.315.2.1
“적이 도발하면 사격량의 10배까지 대응 사격하라.”

“적이	“/SS+적/NNG+이/JKS
도발하면	도발/NNG+하/XSV+면/EC
사격량의	사격량/NNG+의/JKG
10배까지	10/SN+배/NNG+까지/JX
대응	대응/NNG
사격하라.”	사격/NNG+하/XSV+라/EF+./SF+”/SS


# id : NWRW1800000033.315.2.2
“천안함 폭침과 연평도 포격도발의 ‘복수’ 차원에서 완전히 굴복할 때까지 응징하라.”

“천안함	“/SS+천안함/NNP
폭침과	폭침/NNG+과/JKB
연평도	연평도/NNP
포격도발의	포격/NNG+도발/NNG+의/JKG
‘복수’	‘/SS+복수/NNG+’/SS
차원에서	차원/NNG+에서/JKB
완전히	완전히/MAG
굴복할	굴복/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
응징하라.”	응징/NNG+하/XSV+라/EF+./SF+”/SS


# id : NWRW1800000033.315.3.1
7일 오전 헬기를 타고 서해 연평도 해병부대를 찾은 김관진 국방부 장관의 목소리는 노기를 띤 듯 떨렸다.

7일	7/SN+일/NNB
오전	오전/NNG
헬기를	헬기/NNG+를/JKO
타고	타/VV+고/EC
서해	서해/NNP
연평도	연평도/NNP
해병부대를	해병/NNG+부대/NNG+를/JKO
찾은	찾/VV+은/ETM
김관진	김관진/NNP
국방부	국방부/NNG
장관의	장관/NNG+의/JKG
목소리는	목소리/NNG+는/JX
노기를	노기/NNG+를/JKO
띤	띠/VV+ㄴ/ETM
듯	듯/NNB
떨렸다.	떨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.315.3.2
김 장관은 국방 수장으로서 다시는 북한의 도발을 용납하지 않겠다는 단호한 의지를 천명하며 초강경 발언을 이어갔다.

김	김/NNP
장관은	장관/NNG+은/JX
국방	국방/NNG
수장으로서	수장/NNG+으로서/JKB
다시는	다시/MAG+는/JX
북한의	북한/NNP+의/JKG
