# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.63
metadata : {}


# id : NWRW1800000046.63.1.1
7~8월 해외여행 간다면 지금 예방주사 맞으세요

7~8월	7/SN+~/SO+8/SN+월/NNB
해외여행	해외여행/NNG
간다면	가/VV+ㄴ다면/EC
지금	지금/MAG
예방주사	예방/NNG+주사/NNG
맞으세요	맞/VV+으세요/EF


# id : NWRW1800000046.63.2.1
접종 4주 지나야 항체 '최대치'… 여행지 유행 감염병 확인해야

접종	접종/NNG
4주	4/SN+주/NNB
지나야	지나/VV+아야/EC
항체	항체/NNG
'최대치'…	'/SS+최대/NNG+치/XSN+'/SS+…/SE
여행지	여행지/NNG
유행	유행/NNG
감염병	감염병/NNG
확인해야	확인/NNG+하/XSV+아야/EC


# id : NWRW1800000046.63.3.1
온 국민이 불안에 떨고 있는 중동호흡기증후군 '메르스'처럼, 해외에서 감염되기 쉬운 병들이 많다.

온	온/MMN
국민이	국민/NNG+이/JKS
불안에	불안/NNG+에/JKB
떨고	떨/VV+고/EC
있는	있/VX+는/ETM
중동호흡기증후군	중동/NNP+호흡기/NNG+증후군/NNG
'메르스'처럼,	'/SS+메르스/NNG+'/SS+처럼/JKB+,/SP
해외에서	해외/NNG+에서/JKB
감염되기	감염/NNG+되/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
병들이	병/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.63.3.2
메르스는 예방 백신이 없는 상태이지만, 대부분의 감염병은 예방 주사나 약으로 막을 수 있다.

메르스는	메르스/NNG+는/JX
예방	예방/NNG
백신이	백신/NNG+이/JKS
없는	없/VA+는/ETM
상태이지만,	상태/NNG+이/VCP+지만/EC+,/SP
대부분의	대/XPN+부분/NNG+의/JKG
감염병은	감염병/NNG+은/JX
주사나	주사/NNG+나/JC
약으로	약/NNG+으로/JKB
막을	막/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.63.3.3
고대구로병원 감염내과 정희진 교수는 "백신 주사를 맞고나서 4주 후쯤 병에 대항하는 항체가 최대치에 도달한다"며 "7~8월 해외여행을 계획하는 사람들은 한두 달 전인 지금이 백신이나 약을 처방받기에 적절한 때"라고 말했다.

고대구로병원	고대구로병원/NNP
감염내과	감염내과/NNG
정희진	정희진/NNP
교수는	교수/NNG+는/JX
"백신	"/SS+백신/NNG
주사를	주사/NNG+를/JKO
맞고나서	맞/VV+고/EC+나/VX+아서/EC
4주	4/SN+주/NNB
후쯤	후/NNG+쯤/XSN
병에	병/NNG+에/JKB
대항하는	대항/NNG+하/XSV+는/ETM
항체가	항체/NNG+가/JKS
최대치에	최대/NNG+치/XSN+에/JKB
도달한다"며	도달/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"7~8월	"/SS+7/SN+~/SO+8/SN+월/NNB
해외여행을	해외여행/NNG+을/JKO
계획하는	계획/NNG+하/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
한두	한두/MMN
달	달/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
지금이	지금/NNG+이/JKS
백신이나	백신/NNG+이나/JC
약을	약/NNG+을/JKO
처방받기에	처방/NNG+받/XSV+기에/EC
적절한	적절하/VA+ㄴ/ETM
때"라고	때/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.63.4.1
▷황열(중남미·아프리카)=황열(黃熱) 바이러스에 감염된 모기에 물려 생긴다.

▷황열(중남미·아프리카)=황열(黃熱)	▷/SW+황열/NNG+(/SS+중남미/NNP+·/SP+아프리카/NNP+)/SS+=/SW+황열/NNG+(/SS+黃熱/SH+)/SS
바이러스에	바이러스/NNG+에/JKB
감염된	감염/NNG+되/XSV+ㄴ/ETM
모기에	모기/NNG+에/JKB
물려	물리/VV+어/EC
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.4.2
발열·두통·구토가 3일 정도 지속되고 1~2일 간 증상이 없어졌다가 다시 나타난다.

발열·두통·구토가	발열/NNG+·/SP+두통/NNG+·/SP+구토/NNG+가/JKS
3일	3/SN+일/NNB
정도	정도/NNG
지속되고	지속/NNG+되/XSV+고/EC
1~2일	1/SN+~/SO+2/SN+일/NNB
간	간/XSN
증상이	증상/NNG+이/JKS
없어졌다가	없어지/VV+었/EP+다가/EC
다시	다시/MAG
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.63.4.3
신(腎)부전·간(肝)부전·황달과 함께 고열이 생길 수 있으며, 사망률은 7~8% 정도다.

신(腎)부전·간(肝)부전·황달과	신/NNG+(/SS+腎/SH+)/SS+부전/NNG+·/SP+간/NNG+(/SS+肝/SH+)/SS+부전/NNG+·/SP+황달/NNG+과/JKB
함께	함께/MAG
고열이	고열/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
사망률은	사망/NNG+률/XSN+은/JX
7~8%	7/SN+~/SO+8/SN+%/SW
정도다.	정도/NNG+이/VCP+다/EF+./SF


