# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.345
metadata : {}


# id : NWRW1800000046.345.1.1
['성완종 리스트' 파문] "충청도 말투가…" 이완구, 또 말 때문에 논란

['성완종	[/SS+'/SS+성완종/NNP
리스트'	리스트/NNG+'/SS
파문]	파문/NNG+]/SS
"충청도	"/SS+충청도/NNP
말투가…"	말투/NNG+가/JKS+…/SE+"/SS
이완구,	이완구/NNP+,/SP
또	또/MAG
말	말/NNG
때문에	때문/NNB+에/JKB
논란	논란/NNG


# id : NWRW1800000046.345.2.1
野의 '말 바꾸기' 지적에 국회에서 부적절 발언

野의	野/SH+의/JKG
'말	'/SS+말/NNG
바꾸기'	바꾸/VV+기/ETN+'/SS
지적에	지적/NNG+에/JKB
국회에서	국회/NNG+에서/JKB
부적절	부적절/XR
발언	발언/NNG


# id : NWRW1800000046.345.3.1
'성완종 메모'와 관련해 말이 바뀌고 "목숨을 내놓겠다"는 등의 발언으로 비난을 들었던 이완구 국무총리가 16일 국회 대정부 질문에서 또다시 '말(言)' 때문에 논란을 빚었다.

'성완종	'/SS+성완종/NNP
메모'와	메모/NNG+'/SS+와/JKB
관련해	관련/NNG+하/XSV+아/EC
말이	말/NNG+이/JKS
바뀌고	바뀌/VV+고/EC
"목숨을	"/SS+목숨/NNG+을/JKO
내놓겠다"는	내놓/VV+겠/EP+다/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
발언으로	발언/NNG+으로/JKB
비난을	비난/NNG+을/JKO
들었던	듣/VV+었/EP+던/ETM
이완구	이완구/NNP
국무총리가	국무총리/NNG+가/JKS
16일	16/SN+일/NNB
국회	국회/NNG
대정부	대정부/NNG
질문에서	질문/NNG+에서/JKB
또다시	또다시/MAG
'말(言)'	'/SS+말/NNG+(/SS+言/SH+)/SS+'/SS
때문에	때문/NNB+에/JKB
논란을	논란/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.345.4.1
이 총리는 이날 '성완종 리스트와 관련해 이완구의 말을 믿을 수 없다'는 얘기가 있는데 어떻게 생각하느냐는 새정치민주연합 유대운(서울 강북을) 의원 질문에 "충청도 말투가 그런 것 같다"고 말했다.

이	이/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
'성완종	'/SS+성완종/NNP
리스트와	리스트/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
이완구의	이완구/NNP+의/JKG
말을	말/NNG+을/JKO
믿을	믿/VV+을/ETM
수	수/NNB
없다'는	없/VA+다/EF+'/SS+는/ETM
얘기가	얘기/NNG+가/JKS
있는데	있/VA+는데/EC
어떻게	어떻/VA+게/EC
생각하느냐는	생각/NNG+하/XSV+느냐는/ETM
새정치민주연합	새정치민주연합/NNP
유대운(서울	유대운/NNP+(/SS+서울/NNP
강북을)	강북을/NNP+)/SS
의원	의원/NNG
질문에	질문/NNG+에/JKB
"충청도	"/SS+충청도/NNP
말투가	말투/NNG+가/JKS
그런	그렇/VA+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.345.4.2
그는 이어 "곧바로 딱 얘기해야 하는데, 충청도 말투가 이렇게 하다 보면 경우에 따라선 보통 '글쎄요…' 하는 게 있지 않습니까"라고 했다.

그는	그/NP+는/JX
이어	이어/MAG
"곧바로	"/SS+곧바로/MAG
딱	딱/MAG
얘기해야	얘기/NNG+하/XSV+아야/EC
하는데,	하/VX+는데/EC+,/SP
충청도	충청도/NNP
말투가	말투/NNG+가/JKS
이렇게	이렇/VA+게/EC
하다	하/VV+다/EC
보면	보/VX+면/EC
경우에	경우/NNG+에/JKB
따라선	따르/VV+아서/EC+ㄴ/JX
보통	보통/MAG
'글쎄요…'	'/SS+글쎄/IC+요/JX+…/SE+'/SS
하는	하/VV+는/ETM
게	거/NNB+이/JKS
있지	있/VA+지/EC
않습니까"라고	않/VX+습니까/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.345.4.3
'말을 딱 부러지게 하지 않고 길게 늘여서 하다 보니 오해의 소지가 생긴 것 같다'는 취지였다.

'말을	'/SS+말/NNG+을/JKO
딱	딱/MAG
부러지게	부러지/VV+게/EC
하지	하/VX+지/EC
않고	않/VX+고/EC
길게	길/VA+게/EC
늘여서	늘이/VV+어서/EC
