# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.148
metadata : {}


# id : NWRW1800000029.148.1.1
英폭도 잡고보니 11세소년-교사까지…

英폭도	英/SH+폭/NNG+도/JX
잡고보니	잡/VV+고/EC+보/VX+니/EC
11세소년-교사까지…	11/SN+세/NNB+소년/NNG+-/SO+교사/NNG+까지/JX+…/SE


# id : NWRW1800000029.148.2.1
체포된 1000여명 법정에… 계층-인종-연령대 다양

체포된	체포/NNG+되/XSV+ㄴ/ETM
1000여명	1000/SN+여/XSN+명/NNB
법정에…	법정/NNG+에/JKB+…/SE
계층-인종-연령대	계층/NNG+-/SO+인종/NNG+-/SO+연령대/NNG
다양	다양/NNG


# id : NWRW1800000029.148.3.1
폭동 일단 진정국면에… 상가주민들 자경단 조직

폭동	폭동/NNG
일단	일단/MAG
진정국면에…	진정/NNG+국면/NNG+에/JKB+…/SE
상가주민들	상가/NNG+주민/NNG+들/XSN
자경단	자경단/NNG
조직	조직/NNG


# id : NWRW1800000029.148.4.1
20세기 후반 이래 최악의 폭동 기폭지인 영국 런던 북부 토트넘은 11일 불에 타거나 유리창이 깨진 건물들로 을씨년스러운 모습이었다.

20세기	20/SN+세기/NNG
후반	후반/NNG
이래	이래/NNB
최악의	최악/NNG+의/JKG
폭동	폭동/NNG
기폭지인	기폭지/NNG+이/VCP+ㄴ/ETM
영국	영국/NNP
런던	런던/NNP
북부	북부/NNG
토트넘은	토트넘/NNP+은/JX
11일	11/SN+일/NNB
불에	불/NNG+에/JKB
타거나	타/VV+거나/EC
유리창이	유리창/NNG+이/JKS
깨진	깨지/VV+ㄴ/ETM
건물들로	건물/NNG+들/XSN+로/JKB
을씨년스러운	을씨년스럽/VA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.148.4.2
비까지 내리면서 거리에는 사람을 찾아보기 힘들었다.

비까지	비/NNG+까지/JX
내리면서	내리/VV+면서/EC
거리에는	거리/NNG+에/JKB+는/JX
사람을	사람/NNG+을/JKO
찾아보기	찾아보/VV+기/ETN
힘들었다.	힘들/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.148.4.3
폭동은 멈췄지만 폭동에 놀란 주민들의 마음은 아직 평온을 되찾지 못한 듯했다.

폭동은	폭동/NNG+은/JX
멈췄지만	멈추/VV+었/EP+지만/EC
폭동에	폭동/NNG+에/JKB
놀란	놀라/VV+ㄴ/ETM
주민들의	주민/NNG+들/XSN+의/JKG
마음은	마음/NNG+은/JX
아직	아직/MAG
평온을	평온/NNG+을/JKO
되찾지	되찾/VV+지/EC
못한	못하/VX+ㄴ/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000029.148.4.4
폭동이 일어났던 하이로드에만 복구공사를 벌이는 트럭 수십 대와 인부들로 붐볐다.

폭동이	폭동/NNG+이/JKS
일어났던	일어나/VV+았/EP+던/ETM
하이로드에만	하이로드/NNP+에/JKB+만/JX
복구공사를	복구공사/NNG+를/JKO
벌이는	벌이/VV+는/ETM
트럭	트럭/NNG
수십	수십/NR
대와	대/NNB+와/JC
인부들로	인부/NNG+들/XSN+로/JKB
붐볐다.	붐비/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.148.4.5
대로변의 쓰레기통에는 ‘우리의 거리와 지역사회에 평화를 되돌려 달라’고 쓴 A4 종이들이 붙어 있었다.

대로변의	대로변/NNG+의/JKG
쓰레기통에는	쓰레기통/NNG+에/JKB+는/JX
‘우리의	‘/SS+우리/NP+의/JKG
거리와	거리/NNG+와/JC
지역사회에	지역/NNG+사회/NNG+에/JKB
평화를	평화/NNG+를/JKO
되돌려	되돌리/VV+어/EC
달라’고	달/VX+라/EF+’/SS+고/JKQ
쓴	쓰/VV+ㄴ/ETM
A4	A/SL+4/SN
종이들이	종이/NNG+들/XSN+이/JKS
붙어	붙/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.148.4.6
하이로드 한중간의 식료품 상점 앞에서 만난 20대 아랍계 타릴 씨는 “토트넘은 이제 거의 정상으로 돌아왔다”면서 “조만간 도로공사가 끝나고 피해를 본 가게들이 수리를 마치고 다시 문을 열면 예전의 모습을 찾을 수 있을 것”이라고 말했다.

하이로드	하이로드/NNP
한중간의	한/XPN+중간/NNG+의/JKG
식료품	식료품/NNG
상점	상점/NNG
앞에서	앞/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
20대	20/SN+대/NNB
아랍계	아랍/NNP+계/XSN
타릴	타릴/NNP
씨는	씨/NNB+는/JX
“토트넘은	“/SS+토트넘/NNP+은/JX
이제	이제/MAG
거의	거의/MAG
정상으로	정상/NNG+으로/JKB
돌아왔다”면서	돌아오/VV+았/EP+다/EF+”/SS+면서/EC
“조만간	“/SS+조만간/MAG
도로공사가	도로/NNG+공사/NNG+가/JKS
끝나고	끝나/VV+고/EC
피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
가게들이	가게/NNG+들/XSN+이/JKS
수리를	수리/NNG+를/JKO
마치고	마치/VV+고/EC
다시	다시/MAG
문을	문/NNG+을/JKO
열면	열/VV+면/EC
예전의	예전/NNG+의/JKG
모습을	모습/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.148.5.1
경찰 차량이 공격받고 상가가 약탈을 당한 런던 남부의 브릭스턴도 평온은 찾았지만 폭동의 상흔이 완전히 사라지지는 않았다.

경찰	경찰/NNG
차량이	차량/NNG+이/JKS
공격받고	공격/NNG+받/XSV+고/EC
상가가	상가/NNG+가/JKS
약탈을	약탈/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
런던	런던/NNP
남부의	남부/NNG+의/JKG
브릭스턴도	브릭스턴/NNP+도/JX
평온은	평온/NNG+은/JX
찾았지만	찾/VV+았/EP+지만/EC
폭동의	폭동/NNG+의/JKG
상흔이	상흔/NNG+이/JKS
완전히	완전히/MAG
사라지지는	사라지/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.148.5.2
흑인이 몰려 사는 이곳의 지하철역 주변에는 경찰 20여 명이 2, 3인조로 나뉘어 순찰을 하고 있었다.

