# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.167
metadata : {}


# id : NWRW1800000028.167.1.1
“사회적 기업가 육성이 양극화 해소 대안”

“사회적	“/SS+사회/NNG+적/XSN
기업가	기업가/NNG
육성이	육성/NNG+이/JKS
양극화	양극/NNG+화/XSN
해소	해소/NNG
대안”	대안/NNG+”/SS


# id : NWRW1800000028.167.2.1
한국 사회의 양극화 현상을 해소하는 방안의 일환으로 사회적 기업가를 적극 발굴 및 양성해야 한다는 지적이 국책연구기관에서 나왔다.

한국	한국/NNP
사회의	사회/NNG+의/JKG
양극화	양극/NNG+화/XSN
현상을	현상/NNG+을/JKO
해소하는	해소/NNG+하/XSV+는/ETM
방안의	방안/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
사회적	사회/NNG+적/XSN
기업가를	기업가/NNG+를/JKO
적극	적극/NNG
발굴	발굴/NNG
및	및/MAG
양성해야	양성/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
국책연구기관에서	국책/NNG+연구/NNG+기관/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.167.3.1
한국개발연구원(KDI) 심상달 선임 연구위원은 25일 ‘공동체 자본주의 활성화를 위한 사회적 기업가 발굴 및 양성방안’ 보고서를 통해 이같이 제안했다.

한국개발연구원(KDI)	한국개발연구원/NNP+(/SS+KDI/SL+)/SS
심상달	심상달/NNP
선임	선임/NNG
연구위원은	연구/NNG+위원/NNG+은/JX
25일	25/SN+일/NNB
‘공동체	‘/SS+공동체/NNG
자본주의	자본주의/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
사회적	사회/NNG+적/XSN
기업가	기업가/NNG
발굴	발굴/NNG
및	및/MAG
양성방안’	양성/NNG+방안/NNG+’/SS
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
이같이	이같이/MAG
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.167.3.2
심 위원은 “한국 사회의 양극화가 심화되고 신빈곤층 문제가 제기되면서 이를 해소하는 방안으로 ‘공동체 자본주의’가 대두되고 있다”며 “이는 금융위기 이후의 방향을 모색하는 과정에서도 끊임없이 제기되고 있는 화두”라고 밝혔다.

심	심/NNP
위원은	위원/NNG+은/JX
“한국	“/SS+한국/NNP
사회의	사회/NNG+의/JKG
양극화가	양극/NNG+화/XSN+가/JKS
심화되고	심화/NNG+되/XSV+고/EC
신빈곤층	신/XPN+빈곤/NNG+층/XSN
문제가	문제/NNG+가/JKS
제기되면서	제기/NNG+되/XSV+면서/EC
이를	이/NP+를/JKO
해소하는	해소/NNG+하/XSV+는/ETM
방안으로	방안/NNG+으로/JKB
‘공동체	‘/SS+공동체/NNG
자본주의’가	자본주의/NNG+’/SS+가/JKS
대두되고	대두/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
금융위기	금융/NNG+위기/NNG
이후의	이후/NNG+의/JKG
방향을	방향/NNG+을/JKO
모색하는	모색/NNG+하/XSV+는/ETM
과정에서도	과정/NNG+에서/JKB+도/JX
끊임없이	끊임없이/MAG
제기되고	제기/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
화두”라고	화두/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.167.3.3
이어 그는 “공동체 자본주의란 시장친화적 방법으로 소외계층을 감싸자는 것으로, 이를 활성화할 가장 효과적 방법이 사회적 기업가의 발굴 및 양성”이라고 강조했다.

이어	이어/MAG
그는	그/NP+는/JX
“공동체	“/SS+공동체/NNG
자본주의란	자본주의/NNG+란/JX
시장친화적	시장/NNG+친화/NNG+적/XSN
방법으로	방법/NNG+으로/JKB
소외계층을	소외/NNG+계층/NNG+을/JKO
감싸자는	감싸/VV+자는/ETM
것으로,	것/NNB+으로/JKB+,/SP
이를	이/NP+를/JKO
활성화할	활성/NNG+화/XSN+하/XSV+ㄹ/ETM
가장	가장/MAG
효과적	효과/NNG+적/XSN
방법이	방법/NNG+이/JKS
사회적	사회/NNG+적/XSN
기업가의	기업가/NNG+의/JKG
발굴	발굴/NNG
및	및/MAG
양성”이라고	양성/NNG+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.167.4.1
이를 위해 우선 미국의 ‘아쇼카 재단’과 같은 사회적 기업가 양성 시스템을 갖춰야 한다고 심 위원은 지적했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
우선	우선/MAG
미국의	미국/NNP+의/JKG
‘아쇼카	‘/SS+아쇼카/NNP
재단’과	재단/NNG+’/SS+과/JKB
같은	같/VA+은/ETM
사회적	사회/NNG+적/XSN
기업가	기업가/NNG
양성	양성/NNG
시스템을	시스템/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
심	심/NNP
위원은	위원/NNG+은/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.167.4.2
아쇼카 재단은 사회적 기업가를 양성하는 단체로 지난 30년간 2100명을 지원했다.

아쇼카	아쇼카/NNP
재단은	재단/NNG+은/JX
사회적	사회/NNG+적/XSN
기업가를	기업가/NNG+를/JKO
양성하는	양성/NNG+하/XSV+는/ETM
단체로	단체/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
30년간	30/SN+년/NNB+간/XSN
2100명을	2100/SN+명/NNB+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.167.4.3
사회적 기업을 세우고 아이디어를 펼칠 수 있도록 3년 동안 자금을 지원하고, 2000명 이상의 세계적 인적 네트워크와 서비스를 제공하는 식이다.

사회적	사회/NNG+적/XSN
기업을	기업/NNG+을/JKO
세우고	세우/VV+고/EC
아이디어를	아이디어/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
3년	3/SN+년/NNB
동안	동안/NNG
자금을	자금/NNG+을/JKO
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
2000명	2000/SN+명/NNB
이상의	이상/NNG+의/JKG
세계적	세계/NNG+적/XSN
인적	인/NNG+적/XSN
네트워크와	네트워크/NNG+와/JC
서비스를	서비스/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF
