# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.444
metadata : {}


# id : NWRW1800000024.444.1.1
신용도 추락, 가혹한 유예조건 감수해야 /두바이 국가부도 사태 가능성 배제 못해

신용도	신용도/NNG
추락,	추락/NNG+,/SP
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
유예조건	유예/NNG+조건/NNG
감수해야	감수/NNG+하/XSV+아야/EC
/두바이	//SP+두바이/NNP
국가부도	국가/NNG+부도/NNG
사태	사태/NNG
가능성	가능/NNG+성/XSN
배제	배제/NNG
못해	못/MAG+하/VV+아/EF


# id : NWRW1800000024.444.2.1
두바이 정부가 자국내 최대 국영기업 두바이월드의 채무에 대해 ‘모라토리엄’(moratorium)을 선언함에 따라 전세계 금융시장이 들썩였습니다.

두바이	두바이/NNP
정부가	정부/NNG+가/JKS
자국내	자국/NNG+내/NNB
최대	최대/NNG
국영기업	국영/NNG+기업/NNG
두바이월드의	두바이월드/NNP+의/JKG
채무에	채무/NNG+에/JKB
대해	대하/VV+아/EC
‘모라토리엄’(moratorium)을	‘/SS+모라토리엄/NNG+’/SS+(/SS+moratorium/SL+)/SS+을/JKO
선언함에	선언/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
전세계	전/MMN+세계/NNG
금융시장이	금융/NNG+시장/NNG+이/JKS
들썩였습니다.	들썩이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000024.444.3.1
대외채무에 대한 지급을 미룬다는 뜻의 모라토리엄은 라틴어로 ‘지체하다’라는 뜻의 ‘morari’에서 파생한 말이라고 합니다.

대외채무에	대외/NNG+채무/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지급을	지급/NNG+을/JKO
미룬다는	미루/VV+ㄴ다는/ETM
뜻의	뜻/NNG+의/JKG
모라토리엄은	모라토리엄/NNG+은/JX
라틴어로	라틴어/NNP+로/JKB
‘지체하다’라는	‘/SS+지체/NNG+하/XSV+다/EF+’/SS+이/VCP+라는/ETM
‘morari’에서	‘/SS+morari/SL+’/SS+에서/JKB
파생한	파생/NNG+하/XSV+ㄴ/ETM
말이라고	말/NNG+이/VCP+라고/EC
합니다.	하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000024.444.3.2
“지금은 돈이 없으니 나중에 갚을게”라고 말하는 것이지요.

“지금은	“/SS+지금/NNG+은/JX
돈이	돈/NNG+이/JKS
없으니	없/VA+으니/EC
나중에	나중/NNG+에/JKB
갚을게”라고	갚/VV+을게/EF+”/SS+라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
것이지요.	것/NNB+이/VCP+지요/EF+./SF


# id : NWRW1800000024.444.3.3
빚을 갚을 뜻은 있다는 점에서 속칭 “배째라”고 나자빠지는 ‘디폴트’(default·채무불이행)와 개념상 구분하기도 합니다.

빚을	빚/NNG+을/JKO
갚을	갚/VV+을/ETM
뜻은	뜻/NNG+은/JX
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
속칭	속칭/NNG
“배째라”고	“/SS+배/NNG+째/VV+라/EF+”/SS+고/JKQ
나자빠지는	나자빠지/VV+는/ETM
