# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.348
metadata : {}


# id : NWRW1800000045.348.1.1
靑 “미래세대 재앙” 수치 들어가며 국회 성토

靑	靑/SH
“미래세대	“/SS+미래/NNG+세대/NNG
재앙”	재앙/NNG+”/SS
수치	수치/NNG
들어가며	들어가/VV+며/EC
국회	국회/NNG
성토	성토/NNG


# id : NWRW1800000045.348.2.1
‘先 공무원연금 개혁’ 압박… 김성우 홍보수석 4000자분량 브리핑 “소득대체율 올려 국민연금 고갈땐 아들딸들 소득 25%가 연금보험료” 野 “삼권분립 훼손” 與 “협상 꼬일라”

‘先	‘/SS+先/SH
공무원연금	공무원/NNG+연금/NNG
개혁’	개혁/NNG+’/SS
압박…	압박/NNG+…/SE
김성우	김성우/NNP
홍보수석	홍보/NNG+수석/NNG
4000자분량	4000/SN+자/NNG+분량/NNG
브리핑	브리핑/NNG
“소득대체율	“/SS+소득/NNG+대체/NNG+율/XSN
올려	올리/VV+어/EC
국민연금	국민연금/NNG
고갈땐	고갈/NNG+때/NNG+ㄴ/JX
아들딸들	아들딸/NNG+들/XSN
소득	소득/NNG
25%가	25/SN+%/SW+가/JKS
연금보험료”	연금/NNG+보험료/NNG+”/SS
野	野/SH
“삼권분립	“/SS+삼권/NNG+분립/NNG
훼손”	훼손/NNG+”/SS
與	與/SH
“협상	“/SS+협상/NNG
꼬일라”	꼬이/VV+ㄹ라/EF+”/SS


# id : NWRW1800000045.348.3.1
김성우 대통령홍보수석비서관이 10일 발표한 기자 브리핑은 200자 원고지 20장 분량이었다.

김성우	김성우/NNP
대통령홍보수석비서관이	대통령/NNG+홍보/NNG+수석/NNG+비서관/NNG+이/JKS
10일	10/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
기자	기자/NNG
브리핑은	브리핑/NNG+은/JX
200자	200/SN+자/NNG
원고지	원고지/NNG
20장	20/SN+장/NNB
분량이었다.	분량/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.348.3.2
현 정부 출범 이후 홍보수석이 정치 현안만을 두고 이렇게 긴 브리핑을 한 적은 없었다.

현	현/MMD
정부	정부/NNG
출범	출범/NNG
이후	이후/NNG
홍보수석이	홍보/NNG+수석/NNG+이/JKS
정치	정치/NNG
현안만을	현안/NNG+만/JX+을/JKO
두고	두/VV+고/EC
이렇게	이렇/VA+게/EC
긴	길/VA+ㄴ/ETM
브리핑을	브리핑/NNG+을/JKO
한	하/VV+ㄴ/ETM
적은	적/NNB+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.348.3.3
그만큼 박근혜 대통령의 의중이 담긴 ‘작심 발언’이었다는 얘기다.

그만큼	그만큼/MAG
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
의중이	의중/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘작심	‘/SS+작심/NNG
발언’이었다는	발언/NNG+’/SS+이/VCP+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.348.3.4
새누리당은 협상을 앞둔 새정치민주연합을 자극할 것을 우려해 브리핑 취소를 요구했지만 청와대는 강행했다는 후문이다.

새누리당은	새누리당/NNP+은/JX
협상을	협상/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
새정치민주연합을	새정치민주연합/NNP+을/JKO
자극할	자극/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
브리핑	브리핑/NNG
취소를	취소/NNG+를/JKO
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
청와대는	청와대/NNP+는/JX
강행했다는	강행/NNG+하/XSV+았/EP+다는/ETM
후문이다.	후문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.348.4.1
김 수석이 정치권의 협조를 요청한 현안은 △공무원연금 개혁 △연말정산 보완대책을 담은 소득세법 처리 △누리과정 예산 확보를 위한 지방재정법 개정 △경제 활성화 법안 통과 등 4가지다.

김	김/NNP
수석이	수석/NNG+이/JKS
정치권의	정치/NNG+권/XSN+의/JKG
협조를	협조/NNG+를/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
현안은	현안/NNG+은/JX
△공무원연금	△/SW+공무원/NNG+연금/NNG
개혁	개혁/NNG
△연말정산	△/SW+연말/NNG+정산/NNG
보완대책을	보완/NNG+대책/NNG+을/JKO
담은	담/VV+은/ETM
소득세법	소득세법/NNG
처리	처리/NNG
△누리과정	△/SW+누리/NNG+과정/NNG
예산	예산/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
지방재정법	지방/NNG+재정법/NNG
개정	개정/NNG
△경제	△/SW+경제/NNG
활성화	활성/NNG+화/XSN
법안	법안/NNG
통과	통과/NNG
등	등/NNB
4가지다.	4/SN+가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.348.4.2
각 사안마다 구체적인 수치를 들면서 국민에게 얼마나 피해가 가는지 조목조목 설명했다.

각	각/MMD
사안마다	사안/NNG+마다/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
수치를	수치/NNG+를/JKO
들면서	들/VV+면서/EC
국민에게	국민/NNG+에게/JKB
얼마나	얼마나/MAG
피해가	피해/NNG+가/JKS
가는지	가/VV+는지/EF
조목조목	조목조목/MAG
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.5.1
특히 공무원연금 개혁안을 놓고 김 수석은 직접 ‘세금 폭탄’이라는 표현까지 사용했다.

특히	특히/MAG
공무원연금	공무원/NNG+연금/NNG
개혁안을	개혁안/NNG+을/JKO
놓고	놓/VV+고/EC
김	김/NNP
수석은	수석/NNG+은/JX
직접	직접/MAG
‘세금	‘/SS+세금/NNG
폭탄’이라는	폭탄/NNG+’/SS+이/VCP+라는/ETM
표현까지	표현/NNG+까지/JX
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.5.2
그는 “국민 눈높이에 맞춘 공무원연금 개혁이 우선”이라며 “공무원연금 개혁을 먼저 이행한 뒤 국민연금은 공론화 과정을 통해 논의해야 한다”고 거듭 ‘분리 처리’를 주문했다.

그는	그/NP+는/JX
“국민	“/SS+국민/NNG
눈높이에	눈높이/NNG+에/JKB
맞춘	맞추/VV+ㄴ/ETM
공무원연금	공무원/NNG+연금/NNG
개혁이	개혁/NNG+이/JKS
우선”이라며	우선/NNG+”/SS+이/VCP+라며/EC
“공무원연금	“/SS+공무원/NNG+연금/NNG
개혁을	개혁/NNG+을/JKO
먼저	먼저/MAG
이행한	이행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국민연금은	국민연금/NNG+은/JX
공론화	공론/NNG+화/XSN
과정을	과정/NNG+을/JKO
통해	통하/VV+아/EC
논의해야	논의/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
거듭	거듭/MAG
‘분리	‘/SS+분리/NNG
처리’를	처리/NNG+’/SS+를/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.6.1
그러면서 “(보험료율을 올리지 않은 상태에서) 국민연금 소득대체율을 (40%에서) 50%로 인상할 경우 ‘세금 폭탄’은 무려 1702조 원, 연평균 26조 원에 이른다”고 주장했다.

그러면서	그러/VV+면서/EC
“(보험료율을	“/SS+(/SS+보험료/NNG+율/XSN+을/JKO
올리지	올리/VV+지/EC
않은	않/VX+은/ETM
상태에서)	상태/NNG+에서/JKB+)/SS
국민연금	국민연금/NNG
소득대체율을	소득/NNG+대체/NNG+율/XSN+을/JKO
(40%에서)	(/SS+40/SN+%/SW+에서/JKB+)/SS
50%로	50/SN+%/SW+로/JKB
인상할	인상/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
‘세금	‘/SS+세금/NNG
폭탄’은	폭탄/NNG+’/SS+은/JX
무려	무려/MAG
1702조	1702/SN+조/NR
원,	원/NNB+,/SP
연평균	연평균/NNG
26조	26/SN+조/NR
원에	원/NNB+에/JKB
이른다”고	이르/VV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.6.2
이어 “세금 부담을 지우지 않고 보험료율을 상향 조정하면 내년에만 34조5000억 원을 더 거둬야 한다”고 했다.

이어	이어/MAG
“세금	“/SS+세금/NNG
부담을	부담/NNG+을/JKO
지우지	지우/VV+지/EC
않고	않/VX+고/EC
보험료율을	보험료/NNG+율/XSN+을/JKO
상향	상향/NNG
조정하면	조정/NNG+하/XSV+면/EC
내년에만	내년/NNG+에/JKB+만/JX
34조5000억	34/SN+조/NR+5000/SN+억/NR
원을	원/NNB+을/JKO
더	더/MAG
거둬야	거두/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.348.6.3
소득대체율 50%를 맞추기 위해 국민연금 보험료율을 올리든, 아니면 보험료율을 올리지 않는 대신 세금으로 충당하든 ‘재앙’ 수준에 가깝다는 얘기다.

소득대체율	소득/NNG+대체/NNG+율/XSN
50%를	50/SN+%/SW+를/JKO
맞추기	맞추/VV+기/ETN
위해	위하/VV+아/EC
국민연금	국민연금/NNG
보험료율을	보험료/NNG+율/XSN+을/JKO
올리든,	올리/VV+든/EC+,/SP
아니면	아니/VCN+면/EC
올리지	올리/VV+지/EC
않는	않/VX+는/ETM
대신	대신/NNG
세금으로	세금/NNG+으로/JKB
충당하든	충당/NNG+하/XSV+든/EC
‘재앙’	‘/SS+재앙/NNG+’/SS
수준에	수준/NNG+에/JKB
가깝다는	가깝/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.348.7.1
