# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.112
metadata : {}


# id : NWRW1800000038.112.1.1
터키 축구스타 만시즈, 피겨로 올림픽 도전

터키	터키/NNP
축구스타	축구/NNG+스타/NNG
만시즈,	만시즈/NNP+,/SP
피겨로	피겨/NNG+로/JKB
올림픽	올림픽/NNG
도전	도전/NNG


# id : NWRW1800000038.112.2.1
일한 만시즈(38)가 월드컵과 동계올림픽 무대를 모두 밟는 사상 첫 선수에 도전한다.

일한	일한/NNP
만시즈(38)가	만시즈/NNP+(/SS+38/SN+)/SS+가/JKS
월드컵과	월드컵/NNG+과/JC
동계올림픽	동계/NNG+올림픽/NNG
무대를	무대/NNG+를/JKO
모두	모두/MAG
밟는	밟/VV+는/ETM
사상	사상/NNG
첫	첫/MMN
선수에	선수/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.112.3.1
만시즈는 2002 한·일 월드컵 3-4위전에서 한국을 상대로 두 골을 뽑아내며 3대2 승리를 이끌었던 터키의 축구 스타였다.

만시즈는	만시즈/NNP+는/JX
2002	2002/SN
한·일	한·일/NNP
월드컵	월드컵/NNG
3-4위전에서	3/SN+-/SO+4/SN+위전/NNB+에서/JKB
한국을	한국/NNP+을/JKO
상대로	상대/NNG+로/JKB
두	두/MMN
골을	골/NNG+을/JKO
뽑아내며	뽑아내/VV+며/EC
3대2	3/SN+대/NNB+2/SN
승리를	승리/NNG+를/JKO
이끌었던	이끌/VV+었/EP+던/ETM
터키의	터키/NNP+의/JKG
축구	축구/NNG
스타였다.	스타/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.112.3.2
그는 다음 달 말 독일 오베르스도르프에서 열리는 네벨혼 트로피 피겨스케이팅 대회 페어 종목에 나선다.

그는	그/NP+는/JX
다음	다음/NNG
달	달/NNG
말	말/NNB
독일	독일/NNP
오베르스도르프에서	오베르스도르프/NNP+에서/JKB
열리는	열리/VV+는/ETM
네벨혼	네벨혼/NNG
트로피	트로피/NNG
피겨스케이팅	피겨/NNG+스케이팅/NNG
대회	대회/NNG
페어	페어/NNG
종목에	종목/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.112.3.3
1~4위는 내년 러시아 소치 동계올림픽 티켓을 딴다.

1~4위는	1/SN+~/SO+4/SN+위/NNB+는/JX
내년	내년/NNG
러시아	러시아/NNP
소치	소치/NNP
동계올림픽	동계/NNG+올림픽/NNG
티켓을	티켓/NNG+을/JKO
딴다.	따/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.112.4.1
만시즈의 파트너는 올가 베스탄디고바(34).

만시즈의	만시즈/NNP+의/JKG
파트너는	파트너/NNG+는/JX
올가	올가/NNP
베스탄디고바(34).	베스탄디고바/NNP+(/SS+34/SN+)/SS+./SF


# id : NWRW1800000038.112.4.2
2002 솔트레이크시티 동계올림픽에 슬로바키아 대표로 나가 페어 17위를 했고, 2005 세계선수권에서 15위를 하고 은퇴했던 선수다.

2002	2002/SN
솔트레이크시티	솔트레이크시티/NNP
동계올림픽에	동계/NNG+올림픽/NNG+에/JKB
슬로바키아	슬로바키아/NNP
대표로	대표/NNG+로/JKB
나가	나가/VV+아/EC
페어	페어/NNG
17위를	17/SN+위/NNB+를/JKO
했고,	하/VV+았/EP+고/EC+,/SP
2005	2005/SN
세계선수권에서	세계/NNG+선수/NNG+권/XSN+에서/JKB
15위를	15/SN+위/NNB+를/JKO
하고	하/VV+고/EC
은퇴했던	은퇴/NNG+하/XSV+았/EP+던/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.112.5.1
