# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.52
metadata : {}


# id : NWRW1800000037.52.1.1
유엔, 남수단에 6000명 추가 파병… 국제사회 본격 개입

유엔,	유엔/NNP+,/SP
남수단에	남수단/NNP+에/JKB
6000명	6000/SN+명/NNB
추가	추가/NNG
파병…	파병/NNG+…/SE
국제사회	국제/NNG+사회/NNG
본격	본격/NNG
개입	개입/NNG


# id : NWRW1800000037.52.2.1
반총장 요청으로 안보리 긴급회의 美도 해병대-군용기 추가 배치… 정부군 ‘보르 재탈환’ 작전 임박

반총장	반/NNP+총장/NNG
요청으로	요청/NNG+으로/JKB
안보리	안보리/NNG
긴급회의	긴급회의/NNG
美도	美/SH+도/JX
해병대-군용기	해병대/NNG+-/SO+군용기/NNG
추가	추가/NNG
배치…	배치/NNG+…/SE
정부군	정부군/NNG
‘보르	‘/SS+보르/NNP
재탈환’	재/XPN+탈환/NNG+’/SS
작전	작전/NNG
임박	임박/NNG


# id : NWRW1800000037.52.3.1
수단에서 독립한 지 2년 만에 내전에 휩싸인 남수단에 미국이 해병대를 파병하고 유엔이 평화유지군을 추가로 보내기로 하는 등 국제사회의 개입이 본격화되고 있다.

수단에서	수단/NNP+에서/JKB
독립한	독립/NNG+하/XSV+ㄴ/ETM
지	지/NNB
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
내전에	내전/NNG+에/JKB
휩싸인	휩싸이/VV+ㄴ/ETM
남수단에	남수단/NNP+에/JKB
미국이	미국/NNP+이/JKS
해병대를	해병대/NNG+를/JKO
파병하고	파병/NNG+하/XSV+고/EC
유엔이	유엔/NNP+이/JKS
평화유지군을	평화유지군/NNP+을/JKO
추가로	추가/NNG+로/JKB
보내기로	보내/VV+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
국제사회의	국제/NNG+사회/NNG+의/JKG
개입이	개입/NNG+이/JKS
본격화되고	본격/NNG+화/XSN+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.52.4.1
유엔 안전보장이사회는 24일 오후 3시 회의를 열어 남수단에 군사병력과 경찰 등 약 6000명을 증강하는 결의안을 채택한다.

유엔	유엔/NNP
안전보장이사회는	안전/NNG+보장/NNG+이사회/NNG+는/JX
24일	24/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
남수단에	남수단/NNP+에/JKB
군사병력과	군사/NNG+병력/NNG+과/JC
경찰	경찰/NNG
등	등/NNB
약	약/MMA
6000명을	6000/SN+명/NNB+을/JKO
증강하는	증강/NNG+하/XSV+는/ETM
결의안을	결의안/NNG+을/JKO
채택한다.	채택/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.52.4.2
이에 앞서 반기문 유엔 사무총장은 23일 남수단에 병력 5500명과 경찰 423명을 추가 파병할 것을 요구하는 서한을 안보리에 제출했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
반기문	반기문/NNP
유엔	유엔/NNP
사무총장은	사무총장/NNG+은/JX
23일	23/SN+일/NNB
남수단에	남수단/NNP+에/JKB
병력	병력/NNG
5500명과	5500/SN+명/NNB+과/JC
경찰	경찰/NNG
423명을	423/SN+명/NNB+을/JKO
