# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.385
metadata : {}


# id : NWRW1800000029.385.1.1
[美, 한미 FTA 비준 완료]정동영 “新 을사늑약… 김종훈은 이완용”

[美,	[/SS+美/SH+,/SP
한미	한미/NNP
FTA	FTA/SL
비준	비준/NNG
완료]정동영	완료/NNG+]/SS+정동영/NNP
“新	“/SS+新/SH
을사늑약…	을사늑약/NNG+…/SE
김종훈은	김종훈/NNP+은/JX
이완용”	이완용/NNP+”/SS


# id : NWRW1800000029.385.2.1
외통위 긴급투입뒤 맹비난… 與는 “조속비준” 압박

외통위	외통위/NNG
긴급투입뒤	긴급/NNG+투입/NNG+뒤/NNG
맹비난…	맹비난/NNG+…/SE
與는	與/SH+는/JX
“조속비준”	“/SS+조속/XR+비준/NNG+”/SS
압박	압박/NNG


# id : NWRW1800000029.385.3.1
미국 의회가 12일(현지 시간) 한미 자유무역협정(FTA) 비준 절차를 마무리했으나 공을 넘겨받은 한국 정치권은 여전히 이를 두고 대립하고 있다.

미국	미국/NNP
의회가	의회/NNG+가/JKS
12일(현지	12/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
한미	한미/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
비준	비준/NNG
절차를	절차/NNG+를/JKO
마무리했으나	마무리/NNG+하/XSV+았/EP+으나/EC
공을	공/NNG+을/JKO
넘겨받은	넘겨받/VV+은/ETM
한국	한국/NNP
정치권은	정치/NNG+권/XSN+은/JX
여전히	여전히/MAG
이를	이/NP+를/JKO
두고	두/VV+고/EC
대립하고	대립/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.385.4.1
한나라당은 13일 한미 FTA의 조속한 비준을 촉구하며 야당을 압박했다.

한나라당은	한나라당/NNP+은/JX
13일	13/SN+일/NNB
한미	한미/NNP
FTA의	FTA/SL+의/JKG
조속한	조속하/VA+ㄴ/ETM
비준을	비준/NNG+을/JKO
촉구하며	촉구/NNG+하/XSV+며/EC
야당을	야당/NNG+을/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.5.1
황우여 원내대표는 이날 오전 국회에서 열린 한미 FTA 여야정협의체에서 “민주당의 ‘10+2 재재협상안’에 대한 추가 논의를 거쳐 되도록 이른 시간에 여야 합의로 FTA 비준안을 통과시키도록 최선을 다할 것”이라고 강조했다.

황우여	황우여/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
한미	한미/NNP
FTA	FTA/SL
여야정협의체에서	여야정/NNG+협의체/NNG+에서/JKB
“민주당의	“/SS+민주당/NNP+의/JKG
‘10+2	‘/SS+10/SN++/SW+2/SN
재재협상안’에	재재/NNG+협상안/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
추가	추가/NNG
논의를	논의/NNG+를/JKO
거쳐	거치/VV+어/EC
되도록	되도록/MAG
이른	이르/VA+ㄴ/ETM
시간에	시간/NNG+에/JKB
여야	여야/NNG
합의로	합의/NNG+로/JKB
비준안을	비준안/NNG+을/JKO
통과시키도록	통과/NNG+시키/XSV+도록/EC
최선을	최선/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.385.5.2
FTA 주무 상임위인 국회 외교통상통일위원회 한나라당 간사인 유기준 의원은 “우리 국회의 경우 FTA 비준동의안 외에 후속 법안 14건이 다른 상임위에 걸쳐 있어 미국 의회보다 (처리에) 많은 시간이 필요하다”라고 주장했다.

FTA	FTA/SL
주무	주무/NNG
상임위인	상임위/NNG+이/VCP+ㄴ/ETM
국회	국회/NNG
외교통상통일위원회	외교/NNG+통상/NNG+통일/NNG+위원회/NNG
한나라당	한나라당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
유기준	유기준/NNP
의원은	의원/NNG+은/JX
“우리	“/SS+우리/NP
국회의	국회/NNG+의/JKG
경우	경우/NNG
비준동의안	비준/NNG+동의안/NNG
외에	외/NNB+에/JKB
후속	후속/NNG
법안	법안/NNG
14건이	14/SN+건/NNB+이/JKS
다른	다른/MMD
상임위에	상임위/NNG+에/JKB
걸쳐	걸치/VV+어/EC
있어	있/VX+어/EC
미국	미국/NNP
