# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.135
metadata : {}


# id : NWRW1800000021.135.1.1
빗장 건 ‘NO의 입’… 검찰, 盧 진술 ‘모순찾기’ 총력

빗장	빗장/NNG
건	걸/VV+ㄴ/ETM
‘NO의	‘/SS+NO/SL+의/JKG
입’…	입/NNG+’/SS+…/SE
검찰,	검찰/NNG+,/SP
盧	盧/SH
진술	진술/NNG
‘모순찾기’	‘/SS+모순/NNG+찾/VV+기/ETN+’/SS
총력	총력/NNG


# id : NWRW1800000021.135.2.1
《“재임 중에는 몰랐다”, “퇴임 후 알았지만 어떻게 할 도리가 없었다”, “용처는 밝힐 수 없다”.

《“재임	《/SS+“/SS+재임/NNG
중에는	중/NNB+에/JKB+는/JX
몰랐다”,	모르/VV+았/EP+다/EF+”/SS+,/SP
“퇴임	“/SS+퇴임/NNG
후	후/NNG
알았지만	알/VV+았/EP+지만/EC
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
도리가	도리/NNG+가/JKS
없었다”,	없/VA+었/EP+다/EF+”/SS+,/SP
“용처는	“/SS+용처/NNG+는/JX
밝힐	밝히/VV+ㄹ/ETM
수	수/NNB
없다”.	없/VA+다/EF+”/SS+./SF


# id : NWRW1800000021.135.2.2
30일 소환조사 때 노무현 전 대통령의 예상되는 답변이다.

30일	30/SN+일/NNB
소환조사	소환/NNG+조사/NNG
때	때/NNG
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
예상되는	예상/NNG+되/XSV+는/ETM
답변이다.	답변/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.2.3
‘600만 달러’를 둘러싼 의혹에 대해 노 전 대통령은 일관되게 자신과는 관련이 없다고 진술할 것이 분명하다.

‘600만	‘/SS+600/SN+만/NR
달러’를	달러/NNB+’/SS+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
일관되게	일관/NNG+되/XSV+게/EC
자신과는	자신/NNG+과/JKB+는/JX
관련이	관련/NNG+이/JKS
없다고	없/VA+다고/EC
진술할	진술/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
분명하다.	분명/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000021.135.2.4
지금까지의 대응 방식을 살펴보면 철저한 ‘빗장수비’ 전략이다.

지금까지의	지금/NNG+까지/JX+의/JKG
대응	대응/NNG
방식을	방식/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
‘빗장수비’	‘/SS+빗장/NNG+수비/NNG+’/SS
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.2.5
달변의 율사(律士) 출신을 제대로 조사하기에는 조사시간은 제한돼 있다.

달변의	달변/NNG+의/JKG
율사(律士)	율사/NNG+(/SS+律士/SH+)/SS
출신을	출신/NNG+을/JKO
제대로	제대로/MAG
조사하기에는	조사/NNG+하/XSV+기/ETN+에/JKB+는/JX
조사시간은	조사/NNG+시간/NNG+은/JX
제한돼	제한/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.135.2.6
오후 1시 반에 대검 청사에 출석하면 다음 날 오전 1, 2시까지 조사하더라도 10시간 남짓밖에 되지 않는다.

오후	오후/NNG
1시	1/SN+시/NNB
반에	반/NNG+에/JKB
대검	대검/NNG
청사에	청사/NNG+에/JKB
출석하면	출석/NNG+하/XSV+면/EC
다음	다음/NNG
날	날/NNG
오전	오전/NNG
1,	1/SN+,/SP
2시까지	2/SN+시/NNB+까지/JX
조사하더라도	조사/NNG+하/XSV+더라도/EC
10시간	10/SN+시간/NNB
남짓밖에	남짓/NNB+밖에/JX
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000021.135.2.7
그래서 대검찰청 중앙수사부 수사팀은 고민이 크다.

그래서	그래서/MAJ
대검찰청	대/XPN+검찰청/NNG
중앙수사부	중앙/NNG+수사부/NNG
수사팀은	수사/NNG+팀/NNG+은/JX
고민이	고민/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000021.135.2.8
상대의 허점을 파고들려는 양측의 두뇌싸움은 이미 시작됐다.》

상대의	상대/NNG+의/JKG
허점을	허점/NNG+을/JKO
파고들려는	파고들/VV+려는/ETM
양측의	양측/NNG+의/JKG
두뇌싸움은	두뇌/NNG+싸움/NNG+은/JX
이미	이미/MAG
시작됐다.》	시작/NNG+되/XSV+었/EP+다/EF+./SF+》/SS


# id : NWRW1800000021.135.3.1
○ 盧-檢 양측의 히든카드는?

○	○/SW
盧-檢	盧/SH+-/SO+檢/SH
양측의	양측/NNG+의/JKG
히든카드는?	히든카드/NNG+는/JX+?/SF


# id : NWRW1800000021.135.4.1
무엇보다 검찰은 돈을 건넸다는 박연차 태광실업 회장의 구체적이고 상세한 진술을 확보하고 있다.

무엇보다	무엇/NP+보다/JKB
검찰은	검찰/NNG+은/JX
돈을	돈/NNG+을/JKO
건넸다는	건네/VV+었/EP+다는/ETM
박연차	박연차/NNP
태광실업	태광실업/NNP
회장의	회장/NNG+의/JKG
구체적이고	구체/NNG+적/XSN+이/VCP+고/EC
상세한	상세하/VA+ㄴ/ETM
진술을	진술/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.135.4.2
대체로 돈을 건넨 쪽과 받은 쪽의 진술 가운데 건넨 쪽의 진술이 진실인 경우가 많다.

대체로	대체로/MAG
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
쪽과	쪽/NNB+과/JC
받은	받/VV+은/ETM
쪽의	쪽/NNB+의/JKG
진술	진술/NNG
가운데	가운데/NNG
진술이	진술/NNG+이/JKS
진실인	진실/NNG+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.135.4.3
더욱이 대통령을 상대로 돈을 줬다고 거짓말을 하기는 쉽지 않다.

더욱이	더욱이/MAG
대통령을	대통령/NNG+을/JKO
상대로	상대/NNG+로/JKB
돈을	돈/NNG+을/JKO
줬다고	주/VV+었/EP+다고/EC
거짓말을	거짓말/NNG+을/JKO
하기는	하/VV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.135.4.4
그러한 상식에 입각해 검찰은 박 회장의 진술을 최대의 무기로 삼고 있다.

그러한	그러하/VA+ㄴ/ETM
상식에	상식/NNG+에/JKB
입각해	입각/NNG+하/XSV+아/EC
검찰은	검찰/NNG+은/JX
박	박/NNP
회장의	회장/NNG+의/JKG
진술을	진술/NNG+을/JKO
최대의	최대/NNG+의/JKG
무기로	무기/NNG+로/JKB
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.135.5.1
그러나 노 전 대통령은 “내가 직접 받은 것도 아니고 알지도 못했다”는 기조를 유지할 것이다.

그러나	그러나/MAJ
노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
“내가	“/SS+내/NP+가/JKS
직접	직접/MAG
받은	받/VV+은/ETM
것도	것/NNB+도/JX
아니고	아니/VCN+고/EC
알지도	알/VV+지/EC+도/JX
못했다”는	못하/VX+았/EP+다/EF+”/SS+는/ETM
기조를	기조/NNG+를/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.135.5.2
노 전 대통령은 그간의 해명을 통해 500만 달러에 대해서는 “퇴임 뒤에 조카사위(연철호 씨)에 대한 호의적인 투자로 알았다”고, 100만 달러에 대해서는 “아내가 빌려서 빚 갚는 데 썼고 나는 최근에 알았다”고 밝혀 왔다.

노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
그간의	그/NP+간/XSN+의/JKG
해명을	해명/NNG+을/JKO
통해	통하/VV+아/EC
500만	500/SN+만/NR
달러에	달러/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“퇴임	“/SS+퇴임/NNG
뒤에	뒤/NNG+에/JKB
조카사위(연철호	조카사위/NNG+(/SS+연철호/NNP
씨)에	씨/NNB+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
호의적인	호의/NNG+적/XSN+이/VCP+ㄴ/ETM
투자로	투자/NNG+로/JKB
알았다”고,	알/VV+았/EP+다/EF+”/SS+고/JKQ+,/SP
100만	100/SN+만/NR
“아내가	“/SS+아내/NNG+가/JKS
빌려서	빌리/VV+어서/EC
빚	빚/NNG
갚는	갚/VV+는/ETM
데	데/NNB
