# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.400
metadata : {}


# id : NWRW1800000032.400.1.1
나경원쪽 “박원순 병역 기피” 네거티브 공세

나경원쪽	나경원/NNP+쪽/NNB
“박원순	“/SS+박원순/NNP
병역	병역/NNG
기피”	기피/NNG+”/SS
네거티브	네거티브/NNG
공세	공세/NNG


# id : NWRW1800000032.400.2.1
홍준표 대표 “법에 없는 양손입양 통해 방위복무”

홍준표	홍준표/NNP
대표	대표/NNG
“법에	“/SS+법/NNG+에/JKB
없는	없/VA+는/ETM
양손입양	양손/NNG+입양/NNG
통해	통하/VV+아/EC
방위복무”	방위/NNG+복무/NNG+”/SS


# id : NWRW1800000032.400.3.1
박후보쪽 “13살때 입양…병역면탈 의도 없었다”

박후보쪽	박/NNP+후보/NNG+쪽/NNB
“13살때	“/SS+13/SN+살/NNB+때/NNG
입양…병역면탈	입양/NNG+…/SE+병역/NNG+면탈/NNG
의도	의도/NNG
없었다”	없/VA+었/EP+다/EF+”/SS


# id : NWRW1800000032.400.4.1
한나라당과 나경원 서울시장 후보 쪽은 9일 야권의 박원순 후보가 8개월 방위로 복무한 것을 두고 “호적 쪼개기를 통한 병역 기피”라며 공세를 퍼부었다.

한나라당과	한나라당/NNP+과/JC
나경원	나경원/NNP
서울시장	서울시장/NNG
후보	후보/NNG
쪽은	쪽/NNB+은/JX
9일	9/SN+일/NNB
야권의	야권/NNG+의/JKG
박원순	박원순/NNP
후보가	후보/NNG+가/JKS
8개월	8/SN+개월/NNB
방위로	방위/NNG+로/JKB
복무한	복무/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
“호적	“/SS+호적/NNG
쪼개기를	쪼개/VV+기/ETN+를/JKO
통한	통하/VV+ㄴ/ETM
병역	병역/NNG
기피”라며	기피/NNG+”/SS+이/VCP+라며/EC
공세를	공세/NNG+를/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.400.4.2
‘음주 방송’으로 나경원 후보 선대위 대변인직을 사퇴한 신지호 의원을 비롯해, 김기현 당 대변인, 나 후보 선대위의 이두아 대변인, 홍준표 대표까지 총출동했다.

‘음주	‘/SS+음주/NNG
방송’으로	방송/NNG+’/SS+으로/JKB
나경원	나경원/NNP
후보	후보/NNG
선대위	선대위/NNG
대변인직을	대변인직/NNG+을/JKO
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
신지호	신지호/NNP
의원을	의원/NNG+을/JKO
비롯해,	비롯하/VV+아/EC+,/SP
김기현	김기현/NNP
당	당/NNG
대변인,	대변인/NNG+,/SP
나	나/NNP
선대위의	선대위/NNG+의/JKG
이두아	이두아/NNP
홍준표	홍준표/NNP
대표까지	대표/NNG+까지/JX
총출동했다.	총출동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.400.4.3
한나라당은 병역 관련 ‘8대 의혹’이라고 명명했다.

한나라당은	한나라당/NNP+은/JX
병역	병역/NNG
관련	관련/NNG
‘8대	‘/SS+8/SN+대/NNG
의혹’이라고	의혹/NNG+’/SS+이라고/JKQ
명명했다.	명명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.400.5.1
홍 대표는 이날 <한겨레>와 한 통화에서 “박 후보는 작은할아버지에게 양손으로 입양 가서 부선망 독자(아버지가 먼저 사망한 외아들) 규정으로 방위 처분을 받았다고 하는데, 우리나라 민법상 양손 제도라는 것 자체가 존재하지 않는다”고 말했다.

홍	홍/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
