# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.42
metadata : {}


# id : NWRW1800000026.42.1.1
[새로 상장합니다] 차이나하오란리사이클링

[새로	[/SS+새로/MAG
상장합니다]	상장/NNG+하/XSV+ㅂ니다/EF+]/SS
차이나하오란리사이클링	차이나하오란리사이클링/NNP


# id : NWRW1800000026.42.2.1
중국계 제지업 지주회사인 차이나하오란리사이클링이 5일 한국거래소 코스닥시장에 상장된다.

중국계	중국/NNP+계/XSN
제지업	제지업/NNG
지주회사인	지주/NNG+회사/NNG+이/VCP+ㄴ/ETM
차이나하오란리사이클링이	차이나하오란리사이클링/NNP+이/JKS
5일	5/SN+일/NNB
한국거래소	한국거래소/NNP
코스닥시장에	코스닥/NNP+시장/NNG+에/JKB
상장된다.	상장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.42.2.2
코팅 백판지 생산업체인 장인신하오제지와 폐지 수거업체인 장인신하오폐지, 신하오싱가포르 등 3개의 자회사를 거느리고 있다.

코팅	코팅/NNG
백판지	백판지/NNG
생산업체인	생산업체/NNG+이/VCP+ㄴ/ETM
장인신하오제지와	장인신하오제지/NNP+와/JC
폐지	폐지/NNG
수거업체인	수거업체/NNG+이/VCP+ㄴ/ETM
장인신하오폐지,	장인신하오폐지/NNP+,/SP
신하오싱가포르	신하오싱가포르/NNP
등	등/NNB
3개의	3/SN+개/NNB+의/JKG
자회사를	자회사/NNG+를/JKO
거느리고	거느리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.42.3.1
이 회사는 1990년 장쑤성 장인(江陰)시 집체자산관리위원회가 소유하는 집체기업으로 형태로 설립됐다가 2002년 민영화된 이후 인수·합병 과정을 거쳐 현재의 지주회사 체제를 갖췄다.

이	이/MMD
회사는	회사/NNG+는/JX
1990년	1990/SN+년/NNB
장쑤성	장쑤성/NNP
장인(江陰)시	장인/NNP+(/SS+江陰/SH+)/SS+시/NNG
집체자산관리위원회가	집체/NNG+자산/NNG+관리/NNG+위원회/NNG+가/JKS
소유하는	소유/NNG+하/XSV+는/ETM
집체기업으로	집체/NNG+기업/NNG+으로/JKB
형태로	형태/NNG+로/JKB
설립됐다가	설립/NNG+되/XSV+었/EP+다가/EC
2002년	2002/SN+년/NNB
민영화된	민영/NNG+화/XSN+되/XSV+ㄴ/ETM
이후	이후/NNG
인수·합병	인수/NNG+·/SP+합병/NNG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
현재의	현재/NNG+의/JKG
지주회사	지주/NNG+회사/NNG
체제를	체제/NNG+를/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.42.3.2
장인신하오제지는 장쑤성 최대 코팅백판지 생산업체로 생산품은 전량 중국 내에서 판매되며 고급 포장재로 주로 쓰인다.

장인신하오제지는	장인신하오제지/NNP+는/JX
장쑤성	장쑤성/NNP
최대	최대/NNG
코팅백판지	코팅/NNG+백판지/NNG
생산업체로	생산업체/NNG+로/JKB
생산품은	생산품/NNG+은/JX
전량	전량/NNG
중국	중국/NNP
내에서	내/NNB+에서/JKB
판매되며	판매/NNG+되/XSV+며/EC
고급	고급/NNG
포장재로	포장재/NNG+로/JKB
주로	주로/MAG
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.42.4.1
이 회사의 코팅 백판지 브랜드 '장잉'은 중국 코팅 백판지 가격동향 지표로 활용되고 있으며, 2009년 장인시 정부로부터 '2008년 100대 스타기업'에 선정되기도 했다.

이	이/MMD
회사의	회사/NNG+의/JKG
코팅	코팅/NNG
백판지	백판지/NNG
브랜드	브랜드/NNG
'장잉'은	'/SS+장잉/NNP+'/SS+은/JX
중국	중국/NNP
가격동향	가격/NNG+동향/NNG
지표로	지표/NNG+로/JKB
활용되고	활용/NNG+되/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
2009년	2009/SN+년/NNB
장인시	장인시/NNP
정부로부터	정부/NNG+로부터/JKB
'2008년	'/SS+2008/SN+년/NNB
100대	100/SN+대/NNG
스타기업'에	스타/NNG+기업/NNG+'/SS+에/JKB
선정되기도	선정/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.42.4.2
장인신하오폐지는 장강삼각주 일대를 중심으로 7개 회수센터를 통해 원료용지를 수거, 분류해 각 제지업체에 공급한다.

장인신하오폐지는	장인신하오폐지/NNP+는/JX
장강삼각주	장강삼각주/NNP
일대를	일대/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
7개	7/SN+개/NNB
회수센터를	회수/NNG+센터/NNG+를/JKO
통해	통하/VV+아/EC
원료용지를	원료/NNG+용지/NNG+를/JKO
수거,	수거/NNG+,/SP
분류해	분류/NNG+하/XSV+아/EC
각	각/MMD
제지업체에	제지업체/NNG+에/JKB
공급한다.	공급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.42.5.1
원료용지 공급부터 펄프 생산, 코팅백판지 생산까지 수직 계열화 체계를 갖췄다.

원료용지	원료/NNG+용지/NNG
공급부터	공급/NNG+부터/JX
펄프	펄프/NNG
생산,	생산/NNG+,/SP
코팅백판지	코팅/NNG+백판지/NNG
생산까지	생산/NNG+까지/JX
수직	수직/NNG
계열화	계열/NNG+화/XSN
체계를	체계/NNG+를/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.42.5.2
공모가는 4700원이었으며, 지난달 26~27일 공모주 청약에서 42.6대 1의 경쟁률을 기록했다.

공모가는	공모/NNG+가/XSN+는/JX
4700원이었으며,	4700/SN+원/NNB+이/VCP+었/EP+으며/EC+,/SP
지난달	지난달/NNG
26~27일	26/SN+~/SO+27/SN+일/NNB
공모주	공모주/NNG
