# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.65
metadata : {}


# id : NWRW1800000049.65.1.1
경영혁신 지휘 김우식 사장 “2016년 부채비율 238% 이하로 줄일것”

경영혁신	경영/NNG+혁신/NNG
지휘	지휘/NNG
김우식	김우식/NNP
사장	사장/NNG
“2016년	“/SS+2016/SN+년/NNB
부채비율	부채/NNG+비율/NNG
238%	238/SN+%/SW
이하로	이하/NNG+로/JKB
줄일것”	줄이/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000049.65.2.1
“이제 링거 빼고 재활… 빚더미 병실 곧 탈출”

“이제	“/SS+이제/MAG
링거	링거/NNG
빼고	빼/VV+고/EC
재활…	재활/NNG+…/SE
빚더미	빚더미/NNG
병실	병실/NNG
곧	곧/MAG
탈출”	탈출/NNG+”/SS


# id : NWRW1800000049.65.3.1
지난달 28일 김우식 인천도시공사 사장(사진)은 정부서울청사 대강당에서 열린 ‘제13회 지방공기업의 날’ 행사에서 경영 혁신 우수사례를 발표했다.

지난달	지난달/NNG
28일	28/SN+일/NNB
김우식	김우식/NNP
인천도시공사	인천도시공사/NNP
사장(사진)은	사장/NNG+(/SS+사진/NNG+)/SS+은/JX
정부서울청사	정부서울청사/NNP
대강당에서	대/XPN+강당/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘제13회	‘/SS+제/XPN+13/SN+회/NNB
지방공기업의	지방/NNG+공기업/NNG+의/JKG
날’	날/NNG+’/SS
행사에서	행사/NNG+에서/JKB
경영	경영/NNG
혁신	혁신/NNG
우수사례를	우수/NNG+사례/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.65.3.2
공사는 이날 부채 감축 우수기관으로 선정돼 행정자치부 장관 표창을 받았다.

공사는	공사/NNG+는/JX
이날	이날/NNG
부채	부채/NNG
감축	감축/NNG
우수기관으로	우수/NNG+기관/NNG+으로/JKB
선정돼	선정/NNG+되/XSV+어/EC
행정자치부	행정/NNG+자치부/NNG
장관	장관/NNG
표창을	표창/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.65.3.3
김 사장은 △공동주택 부지의 평형 조정 등 ‘토지 리폼’ △자산매각 마케팅 시스템의 개발 △건설사 및 시행사 초청 투자설명회 △이자 비용 및 만기 분산을 통한 유동성 관리 등을 통해 2년 연속 흑자 경영을 이룰 수 있었던 성과를 소개해 공감과 호응을 얻었다.

김	김/NNP
사장은	사장/NNG+은/JX
△공동주택	△/SW+공동/NNG+주택/NNG
부지의	부지/NNG+의/JKG
평형	평/NNB+형/XSN
조정	조정/NNG
등	등/NNB
‘토지	‘/SS+토지/NNG
리폼’	리폼/NNG+’/SS
△자산매각	△/SW+자산/NNG+매각/NNG
마케팅	마케팅/NNG
시스템의	시스템/NNG+의/JKG
개발	개발/NNG
△건설사	△/SW+건설사/NNG
및	및/MAG
시행사	시행사/NNG
초청	초청/NNG
투자설명회	투자/NNG+설명회/NNG
△이자	△/SW+이자/NNG
비용	비용/NNG
만기	만기/NNG
분산을	분산/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
유동성	유동/NNG+성/XSN
관리	관리/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
2년	2/SN+년/NNB
연속	연속/NNG
흑자	흑자/NNG
경영을	경영/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
성과를	성과/NNG+를/JKO
소개해	소개/NNG+하/XSV+아/EC
공감과	공감/NNG+과/JC
호응을	호응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.65.4.1
2016년 3년 연속 흑자경영을 향한 공사의 비전과 목표를 김 사장으로부터 들어본다.

2016년	2016/SN+년/NNB
3년	3/SN+년/NNB
연속	연속/NNG
흑자경영을	흑자/NNG+경영/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
공사의	공사/NNG+의/JKG
비전과	비전/NNG+과/JC
목표를	목표/NNG+를/JKO
김	김/NNP
사장으로부터	사장/NNG+으로부터/JKB
들어본다.	듣/VV+어/EC+보/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.65.5.1
―지난해 도화지구 뉴스테이(기업형 임대주택) 사업이 성공을 거뒀는데 올해 추진 계획은….

―지난해	―/SS+지난해/NNG
도화지구	도화지구/NNP
뉴스테이(기업형	뉴스테이/NNG+(/SS+기업/NNG+형/XSN
임대주택)	임대/NNG+주택/NNG+)/SS
사업이	사업/NNG+이/JKS
성공을	성공/NNG+을/JKO
거뒀는데	거두/VV+었/EP+는데/EC
올해	올해/NNG
추진	추진/NNG
계획은….	계획/NNG+은/JX+…/SE+./SF


# id : NWRW1800000049.65.6.1
“도화지구에 첫선을 보인 뉴스테이는 중산층이 크게 호응했다.

“도화지구에	“/SS+도화지구/NNP+에/JKB
첫선을	첫선/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
뉴스테이는	뉴스테이/NNG+는/JX
중산층이	중산/NNG+층/XSN+이/JKS
크게	크/VA+게/EC
호응했다.	호응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.65.6.2
정부가 1월 발표한 뉴스테이 공급 촉진 선도지구 8곳 가운데 계양과 연수, 남동 등 3곳이 인천이다.

정부가	정부/NNG+가/JKS
1월	1/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
뉴스테이	뉴스테이/NNG
공급	공급/NNG
촉진	촉진/NNG
선도지구	선도/NNG+지구/NNG
8곳	8/SN+곳/NNG
가운데	가운데/NNG
계양과	계양/NNP+과/JC
연수,	연수/NNP+,/SP
남동	남동/NNP
등	등/NNB
3곳이	3/SN+곳/NNG+이/JKS
인천이다.	인천/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000049.65.6.3
지구 계획 승인 뒤 내년에 사업계획 인허가가 마무리되면 2018년 1분기(1∼3월) 입주자 모집이 가능해 총 3300채의 뉴스테이가 새롭게 공급된다.

지구	지구/NNG
계획	계획/NNG
승인	승인/NNG
뒤	뒤/NNG
내년에	내년/NNG+에/JKB
사업계획	사업/NNG+계획/NNG
인허가가	인허가/NNG+가/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
2018년	2018/SN+년/NNB
1분기(1∼3월)	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS
입주자	입주자/NNG
모집이	모집/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
총	총/MMA
3300채의	3300/SN+채/NNB+의/JKG
뉴스테이가	뉴스테이/NNG+가/JKS
새롭게	새롭/VA+게/EC
공급된다.	공급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.65.6.4
여기에 사업성이 부족해 지지부진한 인천 부평구 십정2지구와 동구 송림동에 뉴스테이가 공급된다.

여기에	여기/NP+에/JKB
사업성이	사업/NNG+성/XSN+이/JKS
부족해	부족/NNG+하/XSA+아/EC
지지부진한	지지부진/NNG+하/XSV+ㄴ/ETM
인천	인천/NNP
부평구	부평구/NNP
십정2지구와	십정2지구/NNP+와/JC
동구	동구/NNP
송림동에	송림동/NNP+에/JKB
뉴스테이가	뉴스테이/NNG+가/JKS
공급된다.	공급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.65.6.5
이들 원도심 뉴스테이는 공사의 직접적 자금 투입이 없더라도 사업 성격상 리스크가 있을 수 있어 용적률 완화 등 사업성 확보 방안을 찾고 있다.”

이들	이/NP+들/XSN
원도심	원도심/NNG
뉴스테이는	뉴스테이/NNG+는/JX
공사의	공사/NNG+의/JKG
직접적	직접/NNG+적/XSN
자금	자금/NNG
투입이	투입/NNG+이/JKS
없더라도	없/VA+더라도/EC
사업	사업/NNG
성격상	성격/NNG+상/XSN
리스크가	리스크/NNG+가/JKS
있을	있/VA+을/ETM
수	수/NNB
있어	있/VA+어/EC
용적률	용적/NNG+률/XSN
완화	완화/NNG
등	등/NNB
사업성	사업/NNG+성/XSN
확보	확보/NNG
방안을	방안/NNG+을/JKO
찾고	찾/VV+고/EC
있다.”	있/VX+다/EF+./SF+”/SS


# id : NWRW1800000049.65.7.1
