# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.385
metadata : {}


# id : NWRW1800000025.385.1.1
[강원]강원도, 주민 공모로 기피시설 용지 해결

[강원]강원도,	[/SS+강원/NNP+]/SS+강원도/NNP+,/SP
주민	주민/NNG
공모로	공모/NNG+로/JKB
기피시설	기피/NNG+시설/NNG
용지	용지/NNG
해결	해결/NNG


# id : NWRW1800000025.385.2.1
강원도에서 주민 기피 시설에 대한 부지 선정이 주민 공모 방식으로 순조롭게 진행됨에 따라 주민과의 갈등을 줄이고 공기를 단축하는 새 모델로 자리 잡을 것으로 전망된다.

강원도에서	강원도/NNP+에서/JKB
주민	주민/NNG
기피	기피/NNG
시설에	시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부지	부지/NNG
선정이	선정/NNG+이/JKS
공모	공모/NNG
방식으로	방식/NNG+으로/JKB
순조롭게	순조/NNG+롭/XSA+게/EC
진행됨에	진행/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
주민과의	주민/NNG+과/JKB+의/JKG
갈등을	갈등/NNG+을/JKO
줄이고	줄이/VV+고/EC
공기를	공기/NNG+를/JKO
단축하는	단축/NNG+하/XSV+는/ETM
새	새/MMA
모델로	모델/NNG+로/JKB
자리	자리/NNG
잡을	잡/VV+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.385.2.2
강릉시는 시립화장장 부지 건립을 위한 공모 결과 사천면 석교2리로 최종 결정했다고 30일 밝혔다.

강릉시는	강릉시/NNP+는/JX
시립화장장	시립/NNG+화장장/NNG
부지	부지/NNG
건립을	건립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공모	공모/NNG
결과	결과/NNG
사천면	사천면/NNP
석교2리로	석교2리/NNP+로/JKB
최종	최종/NNG
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.385.2.3
이번 공모에는 9개 마을이 참가해 용역 조사(50점), 설문 조사(30점), 위원 평가(20점) 등 3개 항목에 걸친 평가가 진행됐다.

이번	이번/NNG
공모에는	공모/NNG+에/JKB+는/JX
9개	9/SN+개/NNB
마을이	마을/NNG+이/JKS
참가해	참가/NNG+하/XSV+아/EC
용역	용역/NNG
조사(50점),	조사/NNG+(/SS+50/SN+점/NNB+)/SS+,/SP
설문	설문/NNG
조사(30점),	조사/NNG+(/SS+30/SN+점/NNB+)/SS+,/SP
위원	위원/NNG
평가(20점)	평가/NNG+(/SS+20/SN+점/NNB+)/SS
등	등/NNB
3개	3/SN+개/NNB
항목에	항목/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
평가가	평가/NNG+가/JKS
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.385.3.1
이처럼 화장장 유치에 여러 마을이 신청한 것은 시가 제시한 파격적인 인센티브 때문.

이처럼	이/NP+처럼/JKB
화장장	화장장/NNG
유치에	유치/NNG+에/JKB
여러	여러/MMN
마을이	마을/NNG+이/JKS
신청한	신청/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
시가	시/NNG+가/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
인센티브	인센티브/NNG
때문.	때문/NNB+./SF


# id : NWRW1800000025.385.3.2
시는 유치 확정 마을에 30억 원의 사업비를 지원하고 화장시설 사용료 수입의 15%를 마을발전기금으로 적립할 계획을 밝힌 바 있다.

시는	시/NNG+는/JX
유치	유치/NNG
확정	확정/NNG
마을에	마을/NNG+에/JKB
30억	30/SN+억/NR
원의	원/NNB+의/JKG
사업비를	사업비/NNG+를/JKO
지원하고	지원/NNG+하/XSV+고/EC
화장시설	화장/NNG+시설/NNG
사용료	사용료/NNG
수입의	수입/NNG+의/JKG
15%를	15/SN+%/SW+를/JKO
마을발전기금으로	마을/NNG+발전/NNG+기금/NNG+으로/JKB
적립할	적립/NNG+하/XSV+ㄹ/ETM
계획을	계획/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.385.4.1
부지가 결정됨에 따라 강릉시는 내년에 5억 원을 들여 기본 및 실시설계, 예산 확보, 도시계획 시설변경 등의 행정절차를 거친 뒤 2012년 착공할 계획이다.

부지가	부지/NNG+가/JKS
결정됨에	결정/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
강릉시는	강릉시/NNP+는/JX
내년에	내년/NNG+에/JKB
5억	5/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
기본	기본/NNG
및	및/MAG
실시설계,	실시/NNG+설계/NNG+,/SP
예산	예산/NNG
확보,	확보/NNG+,/SP
도시계획	도시/NNG+계획/NNG
시설변경	시설/NNG+변경/NNG
등의	등/NNB+의/JKG
행정절차를	행정/NNG+절차/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
2012년	2012/SN+년/NNB
착공할	착공/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.385.4.2
사업비 70억 원이 투입되며 5000m²(약 1512평) 이상 부지에 지하 1층, 지상 2층 규모로 지어진다.

사업비	사업비/NNG
70억	70/SN+억/NR
원이	원/NNB+이/JKS
투입되며	투입/NNG+되/XSV+며/EC
5000m²(약	5000/SN+m²/SW+(/SS+약/MMA
1512평)	1512/SN+평/NNB+)/SS
이상	이상/NNG
부지에	부지/NNG+에/JKB
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
2층	2/SN+층/NNG
규모로	규모/NNG+로/JKB
지어진다.	짓/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.385.4.3
이곳에는 화장로 4기가 들어선다.

이곳에는	이곳/NP+에/JKB+는/JX
화장로	화장로/NNG
4기가	4/SN+기/NNB+가/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.385.5.1
앞서 이달 20일 원주시는 주민들의 반발로 난항을 겪은 예비군훈련장 대체부지를 반곡관설동 검은골로 최종 결정했다.

앞서	앞서/MAG
이달	이달/NNG
20일	20/SN+일/NNB
원주시는	원주시/NNP+는/JX
주민들의	주민/NNG+들/XSN+의/JKG
반발로	반발/NNG+로/JKB
난항을	난항/NNG+을/JKO
겪은	겪/VV+은/ETM
예비군훈련장	예비군/NNG+훈련장/NNG
대체부지를	대체/NNG+부지/NNG+를/JKO
반곡관설동	반곡/NNP+관설동/NNP
검은골로	검은골/NNP+로/JKB
최종	최종/NNG
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.385.5.2
예비군훈련장 이전 역시 주민 공모 방식으로 추진해 4개 마을이 경쟁을 벌였다.

예비군훈련장	예비군/NNG+훈련장/NNG
이전	이전/NNG
역시	역시/MAG
주민	주민/NNG
공모	공모/NNG
방식으로	방식/NNG+으로/JKB
추진해	추진/NNG+하/XSV+아/EC
4개	4/SN+개/NNB
마을이	마을/NNG+이/JKS
경쟁을	경쟁/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.385.5.3
당초 원주시는 대체부지로 선정되는 마을에 대해 주민숙원사업을 최우선 지원하고 지역개발계획 수립에도 도움을 주겠다고 밝혔다.

당초	당초/NNG
원주시는	원주시/NNP+는/JX
대체부지로	대체/NNG+부지/NNG+로/JKB
선정되는	선정/NNG+되/XSV+는/ETM
마을에	마을/NNG+에/JKB
대해	대하/VV+아/EC
주민숙원사업을	주민/NNG+숙원/NNG+사업/NNG+을/JKO
최우선	최/XPN+우선/NNG
지원하고	지원/NNG+하/XSV+고/EC
지역개발계획	지역/NNG+개발/NNG+계획/NNG
수립에도	수립/NNG+에/JKB+도/JX
도움을	도움/NNG+을/JKO
주겠다고	주/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


