# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.200
metadata : {}


# id : NWRW1800000049.200.1.1
“왜 라면 안끓여”… 동료 선원 바다로 떠밀어

“왜	“/SS+왜/MAG
라면	라면/NNG
안끓여”…	안/MAG+끓이/VV+어/EF+”/SS+…/SE
동료	동료/NNG
선원	선원/NNG
바다로	바다/NNG+로/JKB
떠밀어	떠밀/VV+어/EF


# id : NWRW1800000049.200.2.1
2m파도속 떨어진 50대 실종… 30대 범인, 살려달라는 절규도 외면 선장이 신고… 살인혐의 구속

2m파도속	2/SN+m/SW+파도/NNG+속/NNG
떨어진	떨어지/VV+ㄴ/ETM
50대	50/SN+대/NNB
실종…	실종/NNG+…/SE
30대	30/SN+대/NNB
범인,	범인/NNG+,/SP
살려달라는	살리/VV+어/EC+달/VX+라는/ETM
절규도	절규/NNG+도/JX
외면	외면/NNG
선장이	선장/NNG+이/JKS
신고…	신고/NNG+…/SE
살인혐의	살인/NNG+혐의/NNG
구속	구속/NNG


# id : NWRW1800000049.200.3.1
15일 오후 11시 반 전남 신안군 임자면 재원도 앞 400m 해상에는 기상악화로 피항한 9.77t급 어선 S호가 정박돼 있었다.

15일	15/SN+일/NNB
오후	오후/NNG
11시	11/SN+시/NNB
반	반/NNG
전남	전남/NNP
신안군	신안군/NNP
임자면	임자면/NNP
재원도	재원도/NNP
앞	앞/NNG
400m	400/SN+m/SW
해상에는	해상/NNG+에/JKB+는/JX
기상악화로	기상/NNG+악화/NNG+로/JKB
피항한	피항/NNG+하/XSV+ㄴ/ETM
9.77t급	9/SN+./SP+77/SN+t/SW+급/NNG
어선	어선/NNG
S호가	S호/NNP+가/JKS
정박돼	정박/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.200.3.2
선원 A 씨(34)는 7m² 넓이의 좁은 선실에서 잠을 자다 깼다.

선원	선원/NNG
A	A/SL
씨(34)는	씨/NNB+(/SS+34/SN+)/SS+는/JX
7m²	7/SN+m²/SW
넓이의	넓이/NNG+의/JKG
좁은	좁/VA+은/ETM
선실에서	선실/NNG+에서/JKB
잠을	잠/NNG+을/JKO
자다	자/VV+다/EC
깼다.	깨/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.200.3.3
배가 고팠던 그는 취침 중이던 동료 B 씨(51)와 C 씨(46)에게 욕설을 하며 깨운 뒤 ‘라면을 끓이라’고 했다.

배가	배/NNG+가/JKS
고팠던	고프/VA+았/EP+던/ETM
그는	그/NP+는/JX
취침	취침/NNG
중이던	중/NNB+이/VCP+던/ETM
동료	동료/NNG
B	B/SL
씨(51)와	씨/NNB+(/SS+51/SN+)/SS+와/JC
C	C/SL
씨(46)에게	씨/NNB+(/SS+46/SN+)/SS+에게/JKB
욕설을	욕설/NNG+을/JKO
하며	하/VV+며/EC
깨운	깨우/VV+ㄴ/ETM
뒤	뒤/NNG
‘라면을	‘/SS+라면/NNG+을/JKO
끓이라’고	끓이/VV+라/EF+’/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.200.3.4
A 씨는 나이는 어렸지만 덩치가 커 B, C 씨에게 함부로 했다.

A	A/SL
씨는	씨/NNB+는/JX
나이는	나이/NNG+는/JX
어렸지만	어리/VA+었/EP+지만/EC
덩치가	덩치/NNG+가/JKS
커	크/VA+어/EC
B,	B/SL+,/SP
C	C/SL
씨에게	씨/NNB+에게/JKB
함부로	함부로/MAG
했다.	하/VV+았/EP+다/EF+./SF


