# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.141
metadata : {}


# id : NWRW1800000046.141.1.1
법무사協, 창립 66년 만에 광고까지 한 속사정…

법무사協,	법무사/NNG+協/SH+,/SP
창립	창립/NNG
66년	66/SN+년/NNB
만에	만/NNB+에/JKB
광고까지	광고/NNG+까지/JX
한	하/VV+ㄴ/ETM
속사정…	속사정/NNG+…/SE


# id : NWRW1800000046.141.2.1
'고유업무' 등기까지 변호사가 10분의 1값 싹쓸이

'고유업무'	'/SS+고유/NNG+업무/NNG+'/SS
등기까지	등기/NNG+까지/JX
변호사가	변호사/NNG+가/JKS
10분의	10/SN+분/XSN+의/JKG
1값	1/SN+값/NNG
싹쓸이	싹쓸이/NNG


# id : NWRW1800000046.141.3.1
"서민 생활의 든든한 버팀목, 법무사를 찾아 주세요."

"서민	"/SS+서민/NNG
생활의	생활/NNG+의/JKG
든든한	든든하/VA+ㄴ/ETM
버팀목,	버팀목/NNG+,/SP
법무사를	법무사/NNG+를/JKO
찾아	찾/VV+아/EC
주세요."	주/VX+시/EP+어요/EF+./SF+"/SS


# id : NWRW1800000046.141.4.1
대한법무사협회(회장 임재현)가 3월 1일부터 20초 분량 라디오 광고를 내보내고 있다.

대한법무사협회(회장	대한법무사협회/NNP+(/SS+회장/NNG
임재현)가	임재현/NNP+)/SS+가/JKS
3월	3/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
20초	20/SN+초/NNB
분량	분량/NNG
라디오	라디오/NNG
광고를	광고/NNG+를/JKO
내보내고	내보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.141.4.2
법무사협회 관계자는 "법무사협회의 전신인 한국사법서사협회가 1949년 창립된 이래 법무사협회가 대국민 광고를 낸 것은 이번이 처음"이라고 했다.

법무사협회	법무사협회/NNP
관계자는	관계자/NNG+는/JX
"법무사협회의	"/SS+법무사협회/NNP+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
한국사법서사협회가	한국사법서사협회/NNP+가/JKS
1949년	1949/SN+년/NNB
창립된	창립/NNG+되/XSV+ㄴ/ETM
이래	이래/NNB
법무사협회가	법무사협회/NNP+가/JKS
대국민	대국민/NNG
광고를	광고/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.141.5.1
법무사협회가 광고까지 하며 법무사 제도를 홍보하는 이유는 무엇일까.

법무사협회가	법무사협회/NNP+가/JKS
광고까지	광고/NNG+까지/JX
하며	하/VV+며/EC
법무사	법무사/NNG
제도를	제도/NNG+를/JKO
홍보하는	홍보/NNG+하/XSV+는/ETM
이유는	이유/NNG+는/JX
무엇일까.	무엇/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.141.5.2
협회 관계자는 "변호사 시장이 급속히 팽창하면서 법무사들이 직격탄을 맞고 '사면초가'에 빠져 있기 때문"이라고 말했다.

협회	협회/NNG
관계자는	관계자/NNG+는/JX
"변호사	"/SS+변호사/NNG
시장이	시장/NNG+이/JKS
급속히	급속히/MAG
팽창하면서	팽창/NNG+하/XSV+면서/EC
법무사들이	법무사/NNG+들/XSN+이/JKS
직격탄을	직격탄/NNG+을/JKO
맞고	맞/VV+고/EC
'사면초가'에	'/SS+사면초가/NNG+'/SS+에/JKB
빠져	빠지/VV+어/EC
있기	있/VX+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.141.6.1
현재 대한법무사협회에 등록된 법무사는 2014년 말 기준 6346명으로, 변호사(1만8708명)의 3분의 1 수준이다.

현재	현재/MAG
대한법무사협회에	대한법무사협회/NNP+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
법무사는	법무사/NNG+는/JX
2014년	2014/SN+년/NNB
말	말/NNB
기준	기준/NNG
6346명으로,	6346/SN+명/NNB+으로/JKB+,/SP
변호사(1만8708명)의	변호사/NNG+(/SS+1/SN+만/NR+8708/SN+명/NNB+)/SS+의/JKG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.141.6.2
지난 2000년 변호사(4699명)와 법무사(4420명)의 인원 차이는 200여명에 불과했지만, 사법시험 합격자 수가 1000명으로 늘어난 2001년 이후 격차가 벌어지기 시작했다.

지난	지나/VV+ㄴ/ETM
2000년	2000/SN+년/NNB
변호사(4699명)와	변호사/NNG+(/SS+4699/SN+명/NNB+)/SS+와/JC
법무사(4420명)의	법무사/NNG+(/SS+4420/SN+명/NNB+)/SS+의/JKG
인원	인원/NNG
차이는	차이/NNG+는/JX
200여명에	200/SN+여/XSN+명/NNB+에/JKB
불과했지만,	불과/MAG+하/XSA+았/EP+지만/EC+,/SP
사법시험	사법/NNG+시험/NNG
합격자	합격자/NNG
수가	수/NNG+가/JKS
1000명으로	1000/SN+명/NNB+으로/JKB
늘어난	늘어나/VV+ㄴ/ETM
2001년	2001/SN+년/NNB
이후	이후/NNG
격차가	격차/NNG+가/JKS
벌어지기	벌어지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.141.6.3
최근에는 법학전문대학원(로스쿨) 출신 변호사가 쏟아지면서 격차가 더욱 벌어졌다.

최근에는	최근/MAG+에/JKB+는/JX
법학전문대학원(로스쿨)	법학/NNG+전문/NNG+대학원/NNG+(/SS+로스쿨/NNG+)/SS
출신	출신/NNG
변호사가	변호사/NNG+가/JKS
쏟아지면서	쏟아지/VV+면서/EC
격차가	격차/NNG+가/JKS
더욱	더욱/MAG
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.141.7.1
서울 서초동에서 활동하는 한 법무사는 "변호사들 사이 경쟁이 치열해지면서 일부 변호사가 과거엔 거들떠보지도 않던 등기 업무와 같은 법무사들의 고유 영역까지 침범해 법무사들의 생계를 위협하고 있다"고 말했다.

서울	서울/NNP
서초동에서	서초동/NNP+에서/JKB
활동하는	활동/NNG+하/XSV+는/ETM
한	한/MMN
법무사는	법무사/NNG+는/JX
"변호사들	"/SS+변호사/NNG+들/XSN
사이	사이/NNG
경쟁이	경쟁/NNG+이/JKS
치열해지면서	치열/NNG+하/XSA+아/EC+지/VX+면서/EC
일부	일부/NNG
변호사가	변호사/NNG+가/JKS
과거엔	과거/NNG+에/JKB+ㄴ/JX
거들떠보지도	거들떠보/VV+지/EC+도/JX
않던	않/VX+던/ETM
등기	등기/NNG
업무와	업무/NNG+와/JKB
같은	같/VA+은/ETM
법무사들의	법무사/NNG+들/XSN+의/JKG
고유	고유/NNG
영역까지	영역/NNG+까지/JX
침범해	침범/NNG+하/XSV+아/EC
생계를	생계/NNG+를/JKO
위협하고	위협/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.141.7.2
지난해 7월 충북의 A 법무법인이 건당 15만~20만원 하는 수수료 비용을 2만원 정도만 받겠다며 부산의 841가구 규모의 신규 입주 아파트 등기 업무를 '싹쓸이' 수임한 게 대표적이다.

지난해	지난해/NNG
7월	7/SN+월/NNB
충북의	충북/NNP+의/JKG
A	A/SL
법무법인이	법무/NNG+법인/NNG+이/JKS
건당	건당/NNG
15만~20만원	15/SN+만/NR+~/SO+20/SN+만/NR+원/NNB
하는	하/VV+는/ETM
수수료	수수료/NNG
비용을	비용/NNG+을/JKO
2만원	2/SN+만/NR+원/NNB
정도만	정도/NNG+만/JX
받겠다며	받/VV+겠/EP+다며/EC
부산의	부산/NNP+의/JKG
841가구	841/SN+가구/NNG
규모의	규모/NNG+의/JKG
신규	신규/NNG
입주	입주/NNG
아파트	아파트/NNG
등기	등기/NNG
업무를	업무/NNG+를/JKO
'싹쓸이'	'/SS+싹쓸이/NNG+'/SS
수임한	수임/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.141.7.3
당시 부산지방법무사회 소속 법무사 30여명은 "A 법무법인이 '덤핑 영업'을 해 법무사들의 생계를 위협하고 있다"며 아파트 분양 현장에서 시위를 벌이기도 했다.

당시	당시/NNG
부산지방법무사회	부산지방법무사회/NNP
소속	소속/NNG
법무사	법무사/NNG
30여명은	30/SN+여/XSN+명/NNB+은/JX
"A	"/SS+A/SL
