# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.157
metadata : {}


# id : NWRW1800000041.157.1.1
[책의 향기]‘죽음의 날’을 정한 아버지와의 담담한 동행

[책의	[/SS+책/NNG+의/JKG
향기]‘죽음의	향기/NNG+]/SS+‘/SS+죽음/NNG+의/JKG
날’을	날/NNG+’/SS+을/JKO
정한	정하/VV+ㄴ/ETM
아버지와의	아버지/NNG+와/JKB+의/JKG
담담한	담담하/VA+ㄴ/ETM
동행	동행/NNG


# id : NWRW1800000041.157.2.1
“아버지는 다음 주 목요일을 죽음의 날로 정했다.”

“아버지는	“/SS+아버지/NNG+는/JX
다음	다음/NNG
주	주/NNG
목요일을	목요일/NNG+을/JKO
죽음의	죽음/NNG+의/JKG
날로	날로/MAG
정했다.”	정하/VV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000041.157.3.1
지적이고 냉철한 분석가이며 늘 토론을 즐겼던 아버지.

지적이고	지/NNG+적/XSN+이/VCP+고/EC
냉철한	냉철하/VA+ㄴ/ETM
분석가이며	분석가/NNG+이/VCP+며/EC
늘	늘/MAG
토론을	토론/NNG+을/JKO
즐겼던	즐기/VV+었/EP+던/ETM
아버지.	아버지/NNG+./SF


# id : NWRW1800000041.157.3.2
활기 넘치고 꼿꼿하게 모든 일을 자기가 원하는 대로 이끌었던 아버지.

활기	활기/NNG
넘치고	넘치/VV+고/EC
꼿꼿하게	꼿꼿하/VA+게/EC
모든	모든/MMN
일을	일/NNG+을/JKO
자기가	자기/NP+가/JKS
원하는	원/NNG+하/XSV+는/ETM
대로	대로/NNB
이끌었던	이끌/VV+었/EP+던/ETM
아버지.	아버지/NNG+./SF


# id : NWRW1800000041.157.3.3
남에게 절대 약한 모습을 보이지 않고 스스로에게 엄격했던 아버지.

남에게	남/NNG+에게/JKB
절대	절대/MAG
약한	약하/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이지	보이/VV+지/EC
않고	않/VX+고/EC
스스로에게	스스로/NNG+에게/JKB
엄격했던	엄격/NNG+하/XSA+았/EP+던/ETM
아버지.	아버지/NNG+./SF


# id : NWRW1800000041.157.3.4
식품 전문기업인 크노르와 스위스 최대 미디어 기업 링기어의 대표이사를 거쳐 스위스 군대 개혁위원회를 맡아 사회적으로 성공한 아버지.

식품	식품/NNG
전문기업인	전문/NNG+기업/NNG+이/VCP+ㄴ/ETM
크노르와	크노르/NNP+와/JC
스위스	스위스/NNP
최대	최대/NNG
미디어	미디어/NNG
기업	기업/NNG
링기어의	링기어/NNP+의/JKG
대표이사를	대표/NNG+이사/NNG+를/JKO
거쳐	거치/VV+어/EC
군대	군대/NNG
개혁위원회를	개혁/NNG+위원회/NNG+를/JKO
맡아	맡/VV+아/EC
사회적으로	사회/NNG+적/XSN+으로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
아버지.	아버지/NNG+./SF


# id : NWRW1800000041.157.4.1
그런 아버지도 늙고 병드는 세월의 흐름을 피해 갈 순 없었다.

그런	그런/MMD
아버지도	아버지/NNG+도/JX
늙고	늙/VV+고/EC
병드는	병들/VV+는/ETM
세월의	세월/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
피해	피하/VV+아/EC
갈	가/VX+ㄹ/ETM
순	수/NNB+ㄴ/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.157.4.2
주위 사람들은 아흔의 나이에도 열정적인 아버지를 대단하다고 칭찬했다.

주위	주위/NNG
사람들은	사람/NNG+들/XSN+은/JX
아흔의	아흔/NR+의/JKG
나이에도	나이/NNG+에/JKB+도/JX
열정적인	열정/NNG+적/XSN+이/VCP+ㄴ/ETM
아버지를	아버지/NNG+를/JKO
대단하다고	대단하/VA+다고/EC
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.157.4.3
하지만 배뇨 조절이 안 돼 요도에서 오줌 빼는 관을 달고, 산책하다가 갑자기 쓰러질 정도로 자신의 몸을 관리하기 어려운 지경이 되자 아버지는 ‘자유 죽음’을 선택한다.

하지만	하지만/MAJ
배뇨	배뇨/NNG
조절이	조절/NNG+이/JKS
안	안/MAG
돼	되/VV+어/EC
요도에서	요도/NNG+에서/JKB
오줌	오줌/NNG
빼는	빼/VV+는/ETM
관을	관/NNG+을/JKO
달고,	달/VV+고/EC+,/SP
산책하다가	산책/NNG+하/XSV+다가/EC
갑자기	갑자기/MAG
쓰러질	쓰러지/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
자신의	자신/NNG+의/JKG
몸을	몸/NNG+을/JKO
관리하기	관리/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
지경이	지경/NNB+이/JKC
되자	되/VV+자/EC
아버지는	아버지/NNG+는/JX
‘자유	‘/SS+자유/NNG
죽음’을	죽음/NNG+’/SS+을/JKO
선택한다.	선택/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.157.5.1
‘자유 죽음’은 의사의 도움을 받아 ‘죽음의 천사’라는 약을 먹고 스스로 목숨을 끊는 것.

‘자유	‘/SS+자유/NNG
죽음’은	죽음/NNG+’/SS+은/JX
의사의	의사/NNG+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
‘죽음의	‘/SS+죽음/NNG+의/JKG
천사’라는	천사/NNG+’/SS+이/VCP+라는/ETM
약을	약/NNG+을/JKO
먹고	먹/VV+고/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊는	끊/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.157.5.2
스위스 네덜란드 벨기에 등 유럽의 몇몇 나라와 미국의 일부 주에서 허락된 ‘존엄사’를 의미한다.

스위스	스위스/NNP
네덜란드	네덜란드/NNP
벨기에	벨기에/NNP
등	등/NNB
유럽의	유럽/NNP+의/JKG
몇몇	몇몇/NR
나라와	나라/NNG+와/JC
미국의	미국/NNP+의/JKG
일부	일부/NNG
주에서	주/NNG+에서/JKB
허락된	허락/NNG+되/XSV+ㄴ/ETM
‘존엄사’를	‘/SS+존엄사/NNG+’/SS+를/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.157.5.3
이 아버지는 뇌종양 같은 불치병에 걸리지 않았지만 더이상 존엄이 허용되지 않는 삶에 염증을 느껴 ‘죽음의 천사’를 선택했다.

이	이/MMD
아버지는	아버지/NNG+는/JX
뇌종양	뇌종양/NNG
같은	같/VA+은/ETM
불치병에	불치병/NNG+에/JKB
걸리지	걸리/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
더이상	더/MAG+이상/NNG
존엄이	존엄/NNG+이/JKS
허용되지	허용/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
삶에	삶/NNG+에/JKB
염증을	염증/NNG+을/JKO
느껴	느끼/VV+어/EC
‘죽음의	‘/SS+죽음/NNG+의/JKG
천사’를	천사/NNG+’/SS+를/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.157.6.1
늘 두 아들에게 자신이 원하는 성공을 요구했던 아버지.

늘	늘/MAG
두	두/MMN
아들에게	아들/NNG+에게/JKB
자신이	자신/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
성공을	성공/NNG+을/JKO
요구했던	요구/NNG+하/XSV+았/EP+던/ETM
아버지.	아버지/NNG+./SF


# id : NWRW1800000041.157.6.2
그래서 불화했고 갈등을 빚었던 부자 관계.

그래서	그래서/MAJ
불화했고	불화/NNG+하/XSV+았/EP+고/EC
갈등을	갈등/NNG+을/JKO
빚었던	빚/VV+었/EP+던/ETM
부자	부자/NNG
관계.	관계/NNG+./SF


# id : NWRW1800000041.157.6.3
저자인 둘째 아들은 1년 동안 아버지를 돌보며 존경하면서도 불편했던 아버지와 진정한 화해를 한다.

저자인	저자/NNG+이/VCP+ㄴ/ETM
둘째	둘째/NR
아들은	아들/NNG+은/JX
1년	1/SN+년/NNB
동안	동안/NNG
아버지를	아버지/NNG+를/JKO
돌보며	돌보/VV+며/EC
존경하면서도	존경/NNG+하/XSV+면서/EC+도/JX
불편했던	불편/NNG+하/XSA+았/EP+던/ETM
아버지와	아버지/NNG+와/JKB
진정한	진정하/VA+ㄴ/ETM
화해를	화해/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.157.6.4
그 과정을 감정의 과잉 없이 있는 그대로의 모습으로 담담하게 그려냈다.

그	그/MMD
과정을	과정/NNG+을/JKO
감정의	감정/NNG+의/JKG
과잉	과잉/NNG
없이	없이/MAG
있는	있/VA+는/ETM
그대로의	그대로/MAG+의/JKG
모습으로	모습/NNG+으로/JKB
담담하게	담담하/VA+게/EC
그려냈다.	그리/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.157.7.1
아버지는 죽음의 천사라는 약을 먹기 전 이렇게 말했다.

아버지는	아버지/NNG+는/JX
죽음의	죽음/NNG+의/JKG
천사라는	천사/NNG+이/VCP+라는/ETM
약을	약/NNG+을/JKO
먹기	먹/VV+기/ETN
전	전/NNG
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.157.8.1
“아름다운 인생을 살았으며 부족한 것은 없었다.

“아름다운	“/SS+아름답/VA+ㄴ/ETM
인생을	인생/NNG+을/JKO
살았으며	살/VV+았/EP+으며/EC
부족한	부족/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.157.8.2
내 두 아들이 바로 내가 누린 행복이다.”

내	나/NP+의/JKG
두	두/MMN
아들이	아들/NNG+이/JKS
바로	바로/MAG
내가	내/NP+가/JKS
누린	누리/VV+ㄴ/ETM
행복이다.”	행복/NNG+이/VCP+다/EF+./SF+”/SS


