# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.390
metadata : {}


# id : NWRW1800000052.390.1.1
“청와대 들어온 뒤 가족 간 교류마저 끊었다”

“청와대	“/SS+청와대/NNP
들어온	들어오/VV+ㄴ/ETM
뒤	뒤/NNG
가족	가족/NNG
간	간/NNB
교류마저	교류/NNG+마저/JX
끊었다”	끊/VV+었/EP+다/EF+”/SS


# id : NWRW1800000052.390.2.1
‘최순실과의 끈끈한 관계’ 역설적 방증

‘최순실과의	‘/SS+최순실/NNP+과/JKB+의/JKG
끈끈한	끈끈하/VA+ㄴ/ETM
관계’	관계/NNG+’/SS
역설적	역설/NNG+적/XSN
방증	방증/NNG


# id : NWRW1800000052.390.3.1
박근혜 대통령은 4일 대국민 담화에서 “저는 청와대에 들어온 이후 혹여 불미스러운 일이 생기지 않을까 염려해 가족 간의 교류마저 끊고 외롭게 지내왔다”고 강조했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
4일	4/SN+일/NNB
대국민	대국민/NNG
담화에서	담화/NNG+에서/JKB
“저는	“/SS+저/NP+는/JX
청와대에	청와대/NNP+에/JKB
들어온	들어오/VV+ㄴ/ETM
이후	이후/NNG
혹여	혹여/MAG
불미스러운	불미/NNG+스럽/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
생기지	생기/VV+지/EC
않을까	않/VX+을까/EF
염려해	염려/NNG+하/XSV+아/EC
가족	가족/NNG
간의	간/NNB+의/JKG
교류마저	교류/NNG+마저/JX
끊고	끊/VV+고/EC
외롭게	외롭/VA+게/EC
지내왔다”고	지내/VV+어/EC+오/VX+았/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.390.3.2
최순실씨를 곁에 둔 이유를 “홀로 살면서 개인사를 도와줄 사람조차 마땅치 않아서”라고 설명하려다 보니, 가족과 교류를 끊었다는 점을 강조한 것으로 보인다.

최순실씨를	최순실/NNP+씨/NNB+를/JKO
곁에	곁/NNG+에/JKB
둔	두/VV+ㄴ/ETM
이유를	이유/NNG+를/JKO
“홀로	“/SS+홀로/MAG
살면서	살/VV+면서/EC
개인사를	개인사/NNG+를/JKO
도와줄	도와주/VV+ㄹ/ETM
사람조차	사람/NNG+조차/JX
마땅치	마땅하/VA+지/EC
않아서”라고	않/VX+아서/EC+”/SS+라고/JKQ
설명하려다	설명/NNG+하/XSV+려다/EC
보니,	보/VX+니/EC+,/SP
가족과	가족/NNG+과/JKB
교류를	교류/NNG+를/JKO
끊었다는	끊/VV+었/EP+다는/ETM
점을	점/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.390.4.1
박 대통령은 실제 취임 이후뿐 아니라 그 전부터 가족과 제대로 교류하지 않은 것으로 알려져 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
실제	실제/NNG
취임	취임/NNG
이후뿐	이후/NNG+뿐/JX
아니라	아니/VCN+라/EC
그	그/MMD
전부터	전/NNG+부터/JX
가족과	가족/NNG+과/JKB
제대로	제대로/MAG
교류하지	교류/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.390.4.2
여동생 근령씨와는 이런저런 분쟁을 겪으며 의절하다시피 했다.

여동생	여동생/NNG
근령씨와는	근령/NNP+씨/NNB+와/JKB+는/JX
이런저런	이런저런/MMD
분쟁을	분쟁/NNG+을/JKO
겪으며	겪/VV+으며/EC
의절하다시피	의절/NNG+하/XSV+다시피/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.390.4.3
대선 당시 남동생 지만씨의 부인이자 박 대통령의 올케인 서향희씨가 ‘만사올통’이라는 구설에 오르자 지만씨 부부와도 거리를 뒀다.

대선	대선/NNG
당시	당시/NNG
남동생	남동생/NNG
지만씨의	지만/NNP+씨/NNB+의/JKG
부인이자	부인/NNG+이/VCP+자/EC
박	박/NNP
대통령의	대통령/NNG+의/JKG
올케인	올케/NNG+이/VCP+ㄴ/ETM
서향희씨가	서향희/NNP+씨/NNB+가/JKS
‘만사올통’이라는	‘/SS+만사올통/NNG+’/SS+이/VCP+라는/ETM
구설에	구설/NNG+에/JKB
오르자	오르/VV+자/EC
지만씨	지만/NNP+씨/NNB
부부와도	부부/NNG+와/JKB+도/JX
거리를	거리/NNG+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.390.4.4
서씨가 아이를 낳자 조카를 보러 지만씨 집에서 잠시 만나는 정도였다.

서씨가	서/NNP+씨/NNB+가/JKS
아이를	아이/NNG+를/JKO
낳자	낳/VV+자/EC
조카를	조카/NNG+를/JKO
보러	보/VV+러/EC
지만씨	지만/NNP+씨/NNB
집에서	집/NNG+에서/JKB
잠시	잠시/MAG
만나는	만나/VV+는/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.390.4.5
‘정윤회 문건’이 논란이 되던 2015년 1월 신년기자회견에서 박 대통령은 문건 유출자로 지목된 조응천 전 청와대 공직기강비서관과 친분이 있던 지만씨를 겨냥해 “욕심을 달성하려고 이간질하는 데 말려들었다.

‘정윤회	‘/SS+정윤회/NNP
문건’이	문건/NNG+’/SS+이/JKS
논란이	논란/NNG+이/JKC
되던	되/VV+던/ETM
2015년	2015/SN+년/NNB
1월	1/SN+월/NNB
신년기자회견에서	신년/NNG+기자/NNG+회견/NNG+에서/JKB
박	박/NNP
대통령은	대통령/NNG+은/JX
문건	문건/NNG
유출자로	유출자/NNG+로/JKB
지목된	지목/NNG+되/XSV+ㄴ/ETM
조응천	조응천/NNP
전	전/MMD
청와대	청와대/NNP
공직기강비서관과	공직/NNG+기강/NNG+비서관/NNG+과/JKB
친분이	친분/NNG+이/JKS
있던	있/VA+던/ETM
지만씨를	지만/NNP+씨/NNB+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
“욕심을	“/SS+욕심/NNG+을/JKO
달성하려고	달성/NNG+하/XSV+려고/EC
이간질하는	이간/NNG+질/XSN+하/XSV+는/ETM
데	데/NNB
말려들었다.	말려들/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.390.4.6
