# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.375
metadata : {}


# id : NWRW1800000033.375.1.1
安 외부일정 없이 ‘단일화 중단’ 대책 논의

安	安/SH
외부일정	외부/NNG+일정/NNG
없이	없이/MAG
‘단일화	‘/SS+단일/NNG+화/XSN
중단’	중단/NNG+’/SS
대책	대책/NNG
논의	논의/NNG


# id : NWRW1800000033.375.2.1
아동센터 찾고 언론 인터뷰만 부인 김미경 교수는 고향 방문, 여수 모교서 일일교사 맡아

아동센터	아동/NNG+센터/NNG
찾고	찾/VV+고/EC
언론	언론/NNG
인터뷰만	인터뷰/NNG+만/JX
부인	부인/NNG
김미경	김미경/NNP
교수는	교수/NNG+는/JX
고향	고향/NNG
방문,	방문/NNG+,/SP
여수	여수/NNP
모교서	모교/NNG+서/JKB
일일교사	일일/NNG+교사/NNG
맡아	맡/VV+아/EF


# id : NWRW1800000033.375.3.1
무소속 안철수 대선후보는 야권후보 단일화 협상 중단 이틀째인 15일 아동센터를 방문한 것 외에는 외부 일정을 잡지 않은 채 언론 인터뷰를 하며 캠프 주요 관계자들과 단일화 협상 중단 대책을 논의했다.

무소속	무/XPN+소속/NNG
안철수	안철수/NNP
대선후보는	대선/NNG+후보/NNG+는/JX
야권후보	야권/NNG+후보/NNG
단일화	단일/NNG+화/XSN
협상	협상/NNG
중단	중단/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
아동센터를	아동/NNG+센터/NNG+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
것	것/NNB
외에는	외/NNB+에/JKB+는/JX
외부	외부/NNG
일정을	일정/NNG+을/JKO
잡지	잡/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
언론	언론/NNG
인터뷰를	인터뷰/NNG+를/JKO
하며	하/VV+며/EC
캠프	캠프/NNG
주요	주요/NNG
관계자들과	관계자/NNG+들/XSN+과/JKB
대책을	대책/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.375.4.1
안 후보는 이날 오후 서울 양천구 신월동의 푸른나래지역아동센터를 찾아 “정치개혁과 정권교체를 바라는 국민을 실망시켜 드리지 않겠다”고 했다.

안	안/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
양천구	양천구/NNP
신월동의	신월동/NNP+의/JKG
푸른나래지역아동센터를	푸른나래지역아동센터/NNP+를/JKO
찾아	찾/VV+아/EC
“정치개혁과	“/SS+정치/NNG+개혁/NNG+과/JC
정권교체를	정권/NNG+교체/NNG+를/JKO
바라는	바라/VV+는/ETM
국민을	국민/NNG+을/JKO
실망시켜	실망/NNG+시키/XSV+어/EC
드리지	드리/VX+지/EC
