# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.377
metadata : {}


# id : NWRW1800000045.377.1.1
朴대통령 2일 시진핑에 ‘통일 역할’ 요청

朴대통령	朴/SH+대통령/NNG
2일	2/SN+일/NNB
시진핑에	시진핑/NNP+에/JKB
‘통일	‘/SS+통일/NNG
역할’	역할/NNG+’/SS
요청	요청/NNG


# id : NWRW1800000045.377.2.1
訪中 정상회담… 3일 열병식 참석, 경제사절단 156명 역대 최대 규모

訪中	訪中/SH
정상회담…	정상/NNG+회담/NNG+…/SE
3일	3/SN+일/NNB
열병식	열병식/NNG
참석,	참석/NNG+,/SP
경제사절단	경제/NNG+사절단/NNG
156명	156/SN+명/NNB
역대	역대/NNG
최대	최대/NNG
규모	규모/NNG


# id : NWRW1800000045.377.3.1
박근혜 대통령이 중국 전승절 참석과 한중 정상회담 참석을 위해 2일 2박 3일 일정으로 중국을 방문한다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
중국	중국/NNP
전승절	전승절/NNG
참석과	참석/NNG+과/JC
한중	한중/NNP
정상회담	정상/NNG+회담/NNG
참석을	참석/NNG+을/JKO
위해	위하/VV+아/EC
2일	2/SN+일/NNB
2박	2/SN+박/NNB
3일	3/SN+일/NNB
일정으로	일정/NNG+으로/JKB
중국을	중국/NNP+을/JKO
방문한다.	방문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.377.3.2
취임 후 세 번째 방중이자 시진핑(習近平) 중국 국가주석과는 여섯 번째 정상회담이 된다.

취임	취임/NNG
후	후/NNG
세	세/MMN
번째	번/NNB+째/XSN
방중이자	방중/NNG+이/VCP+자/EC
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석과는	국가주석/NNG+과/JKB+는/JX
여섯	여섯/NR
정상회담이	정상/NNG+회담/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.377.3.3
중국 인민해방군의 열병식을 참관하는 최초의 대한민국 대통령으로도 기록된다.

중국	중국/NNP
인민해방군의	인민/NNG+해방군/NNG+의/JKG
열병식을	열병식/NNG+을/JKO
참관하는	참관/NNG+하/XSV+는/ETM
최초의	최초/NNG+의/JKG
대한민국	대한민국/NNP
대통령으로도	대통령/NNG+으로/JKB+도/JX
기록된다.	기록/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.377.3.4
이번 방중은 올 하반기 주요 외교 일정의 신호탄이 될 것으로 분석된다.

이번	이번/NNG
방중은	방중/NNG+은/JX
올	올/NNG
하반기	하반기/NNG
주요	주요/NNG
외교	외교/NNG
일정의	일정/NNG+의/JKG
신호탄이	신호탄/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.377.4.1
