# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.354
metadata : {}


# id : NWRW1800000037.354.1.1
신한은행도 압수수색… ‘팬 재팬’ 대출 통한 돈세탁 여부 수사

신한은행도	신한은행/NNP+도/JX
압수수색…	압수/NNG+수색/NNG+…/SE
‘팬	‘/SS+팬/NNG
재팬’	재팬/NNP+’/SS
대출	대출/NNG
통한	통하/VV+ㄴ/ETM
돈세탁	돈세탁/NNG
여부	여부/NNG
수사	수사/NNG


# id : NWRW1800000037.354.2.1
‘팬 재팬’ 부동산업… 페이퍼컴퍼니 가능성

‘팬	‘/SS+팬/NNG
재팬’	재팬/NNP+’/SS
부동산업…	부동산업/NNG+…/SE
페이퍼컴퍼니	페이퍼/NNG+컴퍼니/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000037.354.3.1
검찰이 29일 신한은행을 압수수색한 배경이 관심을 모은다.

검찰이	검찰/NNG+이/JKS
29일	29/SN+일/NNB
신한은행을	신한은행/NNP+을/JKO
압수수색한	압수/NNG+수색/NNG+하/XSV+ㄴ/ETM
배경이	배경/NNG+이/JKS
관심을	관심/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.354.3.2
검찰은 신한은행 도쿄지점이 2007년 부동산관리회사 ‘팬(PAN) 재팬’ 주식회사에 240억 원을 대출해 준 과정을 면밀히 들여다보고 있다.

검찰은	검찰/NNG+은/JX
신한은행	신한은행/NNP
도쿄지점이	도쿄/NNP+지점/NNG+이/JKS
2007년	2007/SN+년/NNB
부동산관리회사	부동산/NNG+관리/NNG+회사/NNG
‘팬(PAN)	‘/SS+팬/NNG+(/SS+PAN/SL+)/SS
재팬’	재팬/NNP+’/SS
주식회사에	주식회사/NNG+에/JKB
240억	240/SN+억/NR
원을	원/NNB+을/JKO
대출해	대출/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
과정을	과정/NNG+을/JKO
면밀히	면밀히/MAG
들여다보고	들여다보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.354.4.1
2002∼2011년 CJ그룹 일본법인장을 지낸 배모 씨(56)가 운영해 온 것으로 알려진 ‘팬 재팬’은 2006년 12월 4일 설립됐다.

2002∼2011년	2002/SN+∼/SO+2011/SN+년/NNB
CJ그룹	CJ그룹/NNP
일본법인장을	일본/NNP+법인장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
배모	배/NNP+모/NP
씨(56)가	씨/NNB+(/SS+56/SN+)/SS+가/JKS
운영해	운영/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
‘팬	‘/SS+팬/NNG
재팬’은	재팬/NNP+’/SS+은/JX
2006년	2006/SN+년/NNB
12월	12/SN+월/NNB
4일	4/SN+일/NNB
설립됐다.	설립/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.354.4.2
이 회사는 CJ그룹의 계열사가 아니라 배 씨가 대주주인 별도 법인이다.

이	이/MMD
회사는	회사/NNG+는/JX
CJ그룹의	CJ그룹/NNP+의/JKG
계열사가	계열사/NNG+가/JKC
아니라	아니/VCN+라/EC
배	배/NNP
씨가	씨/NNB+가/JKS
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
별도	별도/NNG
법인이다.	법인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.354.4.3
검찰은 CJ그룹의 계열사가 아닌 이 회사가 CJ일본법인이 소유한 도쿄(東京) 미나토(港) 구 니시신바시(西新橋)에 있는 CJ재팬 빌딩을 담보로 신한은행 도쿄지점에서 240억 원을 대출받은 뒤 아카사카(赤坂) 지역에 또 다른 빌딩을 샀다는 의혹에 대해 조사하고 있다.

검찰은	검찰/NNG+은/JX
CJ그룹의	CJ그룹/NNP+의/JKG
계열사가	계열사/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
이	이/MMD
회사가	회사/NNG+가/JKS
CJ일본법인이	CJ/SL+일본/NNP+법인/NNG+이/JKS
소유한	소유/NNG+하/XSV+ㄴ/ETM
도쿄(東京)	도쿄/NNP+(/SS+東京/SH+)/SS
미나토(港)	미나토/NNP+(/SS+港/SH+)/SS
구	구/NNG
니시신바시(西新橋)에	니시신바시/NNP+(/SS+西新橋/SH+)/SS+에/JKB
있는	있/VA+는/ETM
CJ재팬	CJ재팬/NNP
빌딩을	빌딩/NNG+을/JKO
담보로	담보/NNG+로/JKB
신한은행	신한은행/NNP
도쿄지점에서	도쿄/NNP+지점/NNG+에서/JKB
240억	240/SN+억/NR
원을	원/NNB+을/JKO
대출받은	대출/NNG+받/XSV+은/ETM
뒤	뒤/NNG
아카사카(赤坂)	아카사카/NNP+(/SS+赤坂/SH+)/SS
지역에	지역/NNG+에/JKB
또	또/MAG
다른	다른/MMD
샀다는	사/VV+았/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.354.5.1
팬 재팬은 대출금을 매년 분할해서 납입하는 방식으로 지금까지 25억 원가량을 갚은 것으로 전해졌다.

팬	팬/NNP
재팬은	재팬/NNP+은/JX
대출금을	대출금/NNG+을/JKO
매년	매년/MAG
분할해서	분할/NNG+하/XSV+아서/EC
납입하는	납입/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
지금까지	지금/NNG+까지/JX
25억	25/SN+억/NR
원가량을	원/NNB+가량/XSN+을/JKO
갚은	갚/VV+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.354.5.2
