# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.5
metadata : {}


# id : NWRW1800000052.5.1.1
“가계 빚 ‘위험 수위’…정부 관리 가능한 범위 넘어섰다”

“가계	“/SS+가계/NNG
빚	빚/NNG
‘위험	‘/SS+위험/NNG
수위’…정부	수위/NNG+’/SS+…/SE+정부/NNG
관리	관리/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
범위	범위/NNG
넘어섰다”	넘어서/VV+었/EP+다/EF+”/SS


# id : NWRW1800000052.5.2.1
[보수-진보 ‘가계부채’ 토론회]

[보수-진보	[/SS+보수/NNG+-/SO+진보/NNG
‘가계부채’	‘/SS+가계/NNG+부채/NNG+’/SS
토론회]	토론회/NNG+]/SS


# id : NWRW1800000052.5.3.1
가처분소득 대비 가계부채 비율 143%

가처분소득	가/XPN+처분/NNG+소득/NNG
대비	대비/NNG
가계부채	가계/NNG+부채/NNG
비율	비율/NNG
143%	143/SN+%/SW


# id : NWRW1800000052.5.4.1
정부, 2014년 5%p 낮추겠다고 했지만

정부,	정부/NNG+,/SP
2014년	2014/SN+년/NNB
5%p	5/SN+%p/SW
낮추겠다고	낮추/VV+겠/EP+다고/EC
했지만	하/VV+았/EP+지만/EC


# id : NWRW1800000052.5.5.1
이후 8.8%p 높아져…빚 주도 성장정책탓

이후	이후/NNG
8.8%p	8/SN+./SP+8/SN+%p/SW
높아져…빚	높아지/VV+어/EF+…/SE+빚/NNG
주도	주도/NNG
성장정책탓	성장/NNG+정책/NNG+탓/NNG


# id : NWRW1800000052.5.6.1
과잉대출 규제등 적극적 구조조정 필요

과잉대출	과잉/NNG+대출/NNG
규제등	규제/NNG+등/NNB
적극적	적극/NNG+적/XSN
구조조정	구조/NNG+조정/NNG
필요	필요/NNG


# id : NWRW1800000052.5.7.1
개혁적 보수와 합리적 진보가 함께한 토론회에서 가계부채 문제가 이미 위험수위에 도달했고 정부가 관리 가능한 범위를 넘어섰기 때문에, 선제적이고 적극적인 구조조정 대책이 필요하다는 주장이 한목소리로 나왔다.

개혁적	개혁/NNG+적/XSN
보수와	보수/NNG+와/JC
합리적	합리/NNG+적/XSN
진보가	진보/NNG+가/JKS
함께한	함께/MAG+하/XSV+ㄴ/ETM
토론회에서	토론회/NNG+에서/JKB
가계부채	가계/NNG+부채/NNG
문제가	문제/NNG+가/JKS
이미	이미/MAG
위험수위에	위험/NNG+수위/NNG+에/JKB
도달했고	도달/NNG+하/XSV+았/EP+고/EC
정부가	정부/NNG+가/JKS
관리	관리/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
범위를	범위/NNG+를/JKO
넘어섰기	넘어서/VV+었/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
선제적이고	선제/NNG+적/XSN+이/VCP+고/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
구조조정	구조/NNG+조정/NNG
대책이	대책/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
주장이	주장/NNG+이/JKS
한목소리로	한목소리/NNG+로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.5.7.2
한국 경제의 ‘뇌관’으로 불리는 가계부채의 위험성에 대해 보수와 진보 성향의 학자들이 진영에 상관 없이 견해를 같이한 것이다.

한국	한국/NNP
경제의	경제/NNG+의/JKG
‘뇌관’으로	‘/SS+뇌관/NNG+’/SS+으로/JKB
불리는	불리/VV+는/ETM
가계부채의	가계/NNG+부채/NNG+의/JKG
위험성에	위험/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
보수와	보수/NNG+와/JC
진보	진보/NNG
성향의	성향/NNG+의/JKG
학자들이	학자/NNG+들/XSN+이/JKS
진영에	진영/NNG+에/JKB
상관	상관/NNG
없이	없이/MAG
견해를	견해/NNG+를/JKO
같이한	같이/MAG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.5.8.1
국가미래연구원(원장 김광두), 경제개혁연구소(이사장 장하성), 경제개혁연대(소장 김상조)가 3일 서울 중소기업중앙회에서 ‘가계부채 문제 해법’을 주제로 연 합동토론회에서, 보수 쪽 발제자인 김동원 고려대 경제학과 초빙교수는 “가계부채 위기 조짐이 이미 나타나고 있다”고 밝혔다.

국가미래연구원(원장	국가미래연구원/NNP+(/SS+원장/NNG
김광두),	김광두/NNP+)/SS+,/SP
경제개혁연구소(이사장	경제/NNG+개혁/NNG+연구소/NNG+(/SS+이사장/NNG
장하성),	장하성/NNP+)/SS+,/SP
경제개혁연대(소장	경제/NNG+개혁/NNG+연대/NNG+(/SS+소장/NNG
김상조)가	김상조/NNP+)/SS+가/JKS
3일	3/SN+일/NNB
서울	서울/NNP
중소기업중앙회에서	중소기업/NNG+중앙회/NNG+에서/JKB
‘가계부채	‘/SS+가계/NNG+부채/NNG
문제	문제/NNG
해법’을	해법/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
연	열/VV+ㄴ/ETM
합동토론회에서,	합동/NNG+토론회/NNG+에서/JKB+,/SP
보수	보수/NNG
쪽	쪽/NNB
발제자인	발제자/NNG+이/VCP+ㄴ/ETM
김동원	김동원/NNP
고려대	고려대/NNP
경제학과	경제학과/NNG
초빙교수는	초빙/NNG+교수/NNG+는/JX
“가계부채	“/SS+가계/NNG+부채/NNG
위기	위기/NNG
조짐이	조짐/NNG+이/JKS
이미	이미/MAG
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.5.8.2
