# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.83
metadata : {}


# id : NWRW1800000024.83.1.1
삼선로직스 회생절차 신청 인가

삼선로직스	삼선로직스/NNP
회생절차	회생/NNG+절차/NNG
신청	신청/NNG
인가	인가/NNG


# id : NWRW1800000024.83.2.1
중견 해운업체인 삼선로직스가 기업회생절차(옛 법정관리)를 밟을 수 있게 돼 해운업계의 연쇄 파산 위험은 일단 피하게 됐다.

중견	중견/NNG
해운업체인	해운업체/NNG+이/VCP+ㄴ/ETM
삼선로직스가	삼선로직스/NNP+가/JKS
기업회생절차(옛	기업/NNG+회생/NNG+절차/NNG+(/SS+옛/MMA
법정관리)를	법정/NNG+관리/NNG+)/SS+를/JKO
밟을	밟/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
해운업계의	해운업/NNG+계/XSN+의/JKG
연쇄	연쇄/NNG
파산	파산/NNG
위험은	위험/NNG+은/JX
일단	일단/MAG
피하게	피하/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.83.3.1
서울중앙지법 파산4부는 6일 삼선로직스의 회생절차 개시 신청을 인가했다.

서울중앙지법	서울중앙지법/NNP
파산4부는	파산/NNG+4/SN+부/NNG+는/JX
6일	6/SN+일/NNB
삼선로직스의	삼선로직스/NNP+의/JKG
회생절차	회생/NNG+절차/NNG
개시	개시/NNG
신청을	신청/NNG+을/JKO
인가했다.	인가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.83.3.2
자산 규모로 해운업계 9위인 삼선로직스는 지난해 파산한 스위스 아르마다 싱가포르법인으로부터 용선료 4500만달러를 받지 못하는 등 자금난을 겪다 지난달 회생절차 개시를 신청했다.

자산	자산/NNG
규모로	규모/NNG+로/JKB
해운업계	해운업/NNG+계/XSN
9위인	9/SN+위/NNB+이/VCP+ㄴ/ETM
삼선로직스는	삼선로직스/NNP+는/JX
지난해	지난해/NNG
파산한	파산/NNG+하/XSV+ㄴ/ETM
스위스	스위스/NNP
아르마다	아르마다/NNP
싱가포르법인으로부터	싱가포르/NNP+법인/NNG+으로부터/JKB
용선료	용선료/NNG
4500만달러를	4500/SN+만/NR+달러/NNB+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
등	등/NNB
자금난을	자금난/NNG+을/JKO
겪다	겪/VV+다/EC
지난달	지난달/NNG
회생절차	회생/NNG+절차/NNG
개시를	개시/NNG+를/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.83.4.1
국내외 20여개 해운업체들과 거래 관계에 있는 삼선로직스가 회생절차에 들어감에 따라 해운업체들의 연쇄 파산 우려는 한고비를 넘겼다.

국내외	국내외/NNG
20여개	20/SN+여/XSN+개/NNB
해운업체들과	해운업체/NNG+들/XSN+과/JKB
거래	거래/NNG
관계에	관계/NNG+에/JKB
있는	있/VA+는/ETM
삼선로직스가	삼선로직스/NNP+가/JKS
회생절차에	회생/NNG+절차/NNG+에/JKB
들어감에	들어가/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
해운업체들의	해운업체/NNG+들/XSN+의/JKG
연쇄	연쇄/NNG
파산	파산/NNG
우려는	우려/NNG+는/JX
한고비를	한/XPN+고비/NNG+를/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.83.4.2
그러나 채권·채무 조정 과정에서 거래 업체들의 용선료 인하 등 일정 정도의 손실은 불가피할 것으로 예상된다.

그러나	그러나/MAJ
채권·채무	채권/NNG+·/SP+채무/NNG
조정	조정/NNG
과정에서	과정/NNG+에서/JKB
거래	거래/NNG
업체들의	업체/NNG+들/XSN+의/JKG
용선료	용선료/NNG
인하	인하/NNG
등	등/NNB
일정	일정/NNG
정도의	정도/NNG+의/JKG
손실은	손실/NNG+은/JX
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.83.4.3
해운업계는 업체 간 빌린 배를 이중 삼중으로 빌려주는 재용선 관행 때문에 한 업체가 어려움을 겪으면 다른 업체들에도 영향을 끼치게 된다.

해운업계는	해운업/NNG+계/XSN+는/JX
업체	업체/NNG
간	간/NNB
빌린	빌리/VV+ㄴ/ETM
배를	배/NNG+를/JKO
이중	이중/NNG
삼중으로	삼중/NNG+으로/JKB
빌려주는	빌려주/VV+는/ETM
재용선	재/XPN+용선/NNG
관행	관행/NNG
때문에	때문/NNB+에/JKB
한	한/MMN
업체가	업체/NNG+가/JKS
어려움을	어려움/NNG+을/JKO
겪으면	겪/VV+으면/EC
다른	다른/MMD
업체들에도	업체/NNG+들/XSN+에/JKB+도/JX
영향을	영향/NNG+을/JKO
끼치게	끼치/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


