# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.372
metadata : {}


# id : NWRW1800000037.372.1.1
朴대통령 “전쟁 나면 반드시 승리해야”

朴대통령	朴/SH+대통령/NNG
“전쟁	“/SS+전쟁/NNG
나면	나/VV+면/EC
반드시	반드시/MAG
승리해야”	승리/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000037.372.2.1
수방사-연합사 전쟁지휘소 첫 방문

수방사-연합사	수방사/NNG+-/SO+연합사/NNG
전쟁지휘소	전쟁/NNG+지휘소/NNG
첫	첫/MMN
방문	방문/NNG


# id : NWRW1800000037.372.3.1
박근혜 대통령은 22일 취임 후 처음으로 청와대 외곽의 전쟁지휘소를 찾았다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
22일	22/SN+일/NNB
취임	취임/NNG
후	후/NNG
처음으로	처음/NNG+으로/JKB
청와대	청와대/NNP
외곽의	외곽/NNG+의/JKG
전쟁지휘소를	전쟁/NNG+지휘소/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.372.3.2
을지프리덤가디언(UFG) 연습을 지휘하는 수도방위사령부 내 지하벙커인 ‘B1 벙커’와 한미연합사가 관리하는 ‘CP 탱고’로, 서울 한강 이남에 위치한 이 벙커들은 전쟁 발발 시 군 수뇌부의 작전지휘소로 활용되는 곳이다.

을지프리덤가디언(UFG)	을지/NNP+프리덤가디언/NNG+(/SS+UFG/SL+)/SS
연습을	연습/NNG+을/JKO
지휘하는	지휘/NNG+하/XSV+는/ETM
수도방위사령부	수도방위사령부/NNP
내	내/NNB
지하벙커인	지하/NNG+벙커/NNG+이/VCP+ㄴ/ETM
‘B1	‘/SS+B/SL+1/SN
벙커’와	벙커/NNG+’/SS+와/JC
한미연합사가	한미연합사/NNP+가/JKS
관리하는	관리/NNG+하/XSV+는/ETM
‘CP	‘/SS+CP/SL
탱고’로,	탱고/NNG+’/SS+로/JKB+,/SP
서울	서울/NNP
한강	한강/NNP
이남에	이남/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
이	이/MMD
벙커들은	벙커/NNG+들/XSN+은/JX
전쟁	전쟁/NNG
발발	발발/NNG
시	시/NNB
군	군/NNG
수뇌부의	수뇌부/NNG+의/JKG
작전지휘소로	작전/NNG+지휘소/NNG+로/JKB
활용되는	활용/NNG+되/XSV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.372.4.1
과거에도 군 통수권자인 대통령들은 취임 첫해에 어김없이 B1 벙커를 찾았다.

과거에도	과거/NNG+에/JKB+도/JX
군	군/NNG
통수권자인	통수권자/NNG+이/VCP+ㄴ/ETM
대통령들은	대통령/NNG+들/XSN+은/JX
취임	취임/NNG
첫해에	첫해/NNG+에/JKB
어김없이	어김없이/MAG
B1	B/SL+1/SN
벙커를	벙커/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.372.4.2
하지만 임기 내 몇 차례 들렀던 이명박 전 대통령과 달리 김대중, 노무현 전 대통령은 취임 첫해에만 딱 한 번 방문했다.

하지만	하지만/MAJ
임기	임기/NNG
내	내/NNB
몇	몇/NR
차례	차례/NNG
들렀던	들르/VV+었/EP+던/ETM
이명박	이명박/NNP
전	전/MMD
대통령과	대통령/NNG+과/JKB
달리	달리/MAG
김대중,	김대중/NNP+,/SP
노무현	노무현/NNP
대통령은	대통령/NNG+은/JX
취임	취임/NNG
첫해에만	첫해/NNG+에/JKB+만/JX
딱	딱/MAG
한	한/MMN
번	번/NNB
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.372.4.3
을지연습 때마다 북한이 강하게 반발하자 두 전직 대통령은 북한을 자극하지 않기 위해 더이상 B1 벙커에 들르지 않았던 것.

을지연습	을지/NNP+연습/NNG
때마다	때/NNG+마다/JX
북한이	북한/NNP+이/JKS
강하게	강하/VA+게/EC
반발하자	반발/NNG+하/XSV+자/EC
두	두/MMN
전직	전직/NNG
대통령은	대통령/NNG+은/JX
북한을	북한/NNP+을/JKO
자극하지	자극/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
