# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.256
metadata : {}


# id : NWRW1800000024.256.1.1
“퍼블릭골프장을 /생활체육시설로”

“퍼블릭골프장을	“/SS+퍼블릭/NNG+골프장/NNG+을/JKO
/생활체육시설로”	//SP+생활/NNG+체육/NNG+시설/NNG+로/JKB+”/SS


# id : NWRW1800000024.256.2.1
“지난해 대중(퍼블릭)골프장 내장객은 연인원으로 800만명을 넘어섰다.

“지난해	“/SS+지난해/NNG
대중(퍼블릭)골프장	대중/NNG+(/SS+퍼블릭/NNG+)/SS+골프장/NNG
내장객은	내장객/NNG+은/JX
연인원으로	연인원/NNG+으로/JKB
800만명을	800/SN+만/NR+명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.256.2.2
이제 골프를 생활체육으로 인식해야 할 시점이 오지 않았는가 한다.”

이제	이제/MAG
골프를	골프/NNG+를/JKO
생활체육으로	생활/NNG+체육/NNG+으로/JKB
인식해야	인식/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
시점이	시점/NNG+이/JKS
오지	오/VV+지/EC
않았는가	않/VX+았/EP+는가/EF
한다.”	하/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000024.256.2.3
전국 골프장업계의 모임인 한국골프장경영협회(이하 장협) 우기정 회장은 이렇게 목소리를 높였다.

전국	전국/NNG
골프장업계의	골프장/NNG+업계/NNG+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
한국골프장경영협회(이하	한국골프장경영협회/NNP+(/SS+이하/NNG
장협)	장협/NNP+)/SS
우기정	우기정/NNP
회장은	회장/NNG+은/JX
이렇게	이렇/VA+게/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.256.2.4
그는 “골프는 이제 더이상 귀족스포츠가 아니다”라며 정부에 대해 대중골프장의 생활체육시설 지정을 요구했다.

그는	그/NP+는/JX
“골프는	“/SS+골프/NNG+는/JX
이제	이제/MAG
더이상	더/MAG+이상/NNG
귀족스포츠가	귀족/NNG+스포츠/NNG+가/JKC
아니다”라며	아니/VCN+다/EF+”/SS+이/VCP+라며/EC
정부에	정부/NNG+에/JKB
대해	대하/VV+아/EC
대중골프장의	대중/NNG+골프장/NNG+의/JKG
생활체육시설	생활/NNG+체육/NNG+시설/NNG
지정을	지정/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.256.3.1
장협은 17일 서울 프레스센터에서 연 기자회견에서 “대중스포츠시설인 대중골프장이 생활체육시설에서 제외됨에 따라 세금 및 그린피 등을 대폭 낮출 수 있는 여건을 마련하지 못하고 있다”며 “생활체육시설로 인정할 경우, 지금보다 3만원 정도의 그린피가 인하될 수 있다”고 주장했다.

장협은	장협/NNP+은/JX
17일	17/SN+일/NNB
서울	서울/NNP
프레스센터에서	프레스센터/NNP+에서/JKB
연	열/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“대중스포츠시설인	“/SS+대중/NNG+스포츠/NNG+시설/NNG+이/VCP+ㄴ/ETM
대중골프장이	대중/NNG+골프장/NNG+이/JKS
생활체육시설에서	생활/NNG+체육/NNG+시설/NNG+에서/JKB
제외됨에	제외/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
세금	세금/NNG
및	및/MAG
그린피	그린피/NNG
등을	등/NNB+을/JKO
대폭	대폭/MAG
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여건을	여건/NNG+을/JKO
마련하지	마련/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“생활체육시설로	“/SS+생활/NNG+체육/NNG+시설/NNG+로/JKB
인정할	인정/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
지금보다	지금/NNG+보다/JKB
3만원	3/SN+만/NR+원/NNB
정도의	정도/NNG+의/JKG
그린피가	그린피/NNG+가/JKS
인하될	인하/NNG+되/XSV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.256.3.2
이 단체는 또 “정부의 세제 혜택 등이 시행되면 연간 15만~20만명의 외국 관광객을 유치해 3000억원 이상의 생산유발 효과를 가져올 수 있다”고 덧붙였다.

이	이/MMD
단체는	단체/NNG+는/JX
또	또/MAG
“정부의	“/SS+정부/NNG+의/JKG
세제	세제/NNG
혜택	혜택/NNG
등이	등/NNB+이/JKS
시행되면	시행/NNG+되/XSV+면/EC
연간	연간/NNG
15만~20만명의	15/SN+만/NR+~/SO+20/SN+만/NR+명/NNB+의/JKG
외국	외국/NNG
관광객을	관광객/NNG+을/JKO
유치해	유치/NNG+하/XSV+아/EC
3000억원	3000/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
생산유발	생산/NNG+유발/NNG
효과를	효과/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


