# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.352
metadata : {}


# id : NWRW1800000046.352.1.1
野 "국민연금 '50%(소득 대비 받는 돈)' 못박아야 개혁案 통과"

野	野/SH
"국민연금	"/SS+국민연금/NNG
'50%(소득	'/SS+50/SN+%/SW+(/SS+소득/NNG
대비	대비/NNG
받는	받/VV+는/ETM
돈)'	돈/NNG+)/SS+'/SS
못박아야	못/NNG+박/VV+아야/EC
개혁案	개혁/NNG+案/SH
통과"	통과/NNG+"/SS


# id : NWRW1800000046.352.2.1
공무원연금 합의案 오늘 본회의 상정… 통과 불투명

공무원연금	공무원/NNG+연금/NNG
합의案	합의/NNG+案/SH
오늘	오늘/MAG
본회의	본회의/NNG
상정…	상정/NNG+…/SE
통과	통과/NNG
불투명	불/XPN+투명/NNG


# id : NWRW1800000046.352.3.1
국회는 6일 4월 임시국회의 마지막 본회의를 열어 공무원연금법 개정안 처리를 시도한다.

국회는	국회/NNG+는/JX
6일	6/SN+일/NNB
4월	4/SN+월/NNB
임시국회의	임시/NNG+국회/NNG+의/JKG
마지막	마지막/NNG
본회의를	본회의/NNG+를/JKO
열어	열/VV+어/EC
공무원연금법	공무원/NNG+연금법/NNG
개정안	개정안/NNG
처리를	처리/NNG+를/JKO
시도한다.	시도/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.352.3.2
여야(與野)는 지난 2일 국회 공무원연금개혁특위에서 여야 합의로 공무원연금법 개정안을 통과시켰으며, 개정안은 6일 법사위를 통과하면 바로 본회의에 상정될 예정이다.

여야(與野)는	여야/NNG+(/SS+與野/SH+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
국회	국회/NNG
공무원연금개혁특위에서	공무원/NNG+연금/NNG+개혁/NNG+특위/NNG+에서/JKB
여야	여야/NNG
합의로	합의/NNG+로/JKB
공무원연금법	공무원/NNG+연금법/NNG
개정안을	개정안/NNG+을/JKO
통과시켰으며,	통과/NNG+시키/XSV+었/EP+으며/EC+,/SP
개정안은	개정안/NNG+은/JX
6일	6/SN+일/NNB
법사위를	법사위/NNG+를/JKO
통과하면	통과/NNG+하/XSV+면/EC
바로	바로/MAG
본회의에	본회의/NNG+에/JKB
상정될	상정/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.352.3.3
연금법 개정안은 공무원연금 지급률(연금 지급액을 결정하는 비율)을 현행 1.9%에서 향후 20년에 걸쳐 1.7%로 내리고, 기여율(월급에서 연금으로 내는 돈의 비율)은 7%에서 5년에 걸쳐 9%로 올리는 것을 주요 내용으로 한다.

연금법	연금법/NNG
개정안은	개정안/NNG+은/JX
공무원연금	공무원/NNG+연금/NNG
지급률(연금	지급/NNG+률/XSN+(/SS+연금/NNG
지급액을	지급액/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
비율)을	비율/NNG+)/SS+을/JKO
현행	현행/NNG
1.9%에서	1/SN+./SP+9/SN+%/SW+에서/JKB
향후	향후/NNG
20년에	20/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
1.7%로	1/SN+./SP+7/SN+%/SW+로/JKB
내리고,	내리/VV+고/EC+,/SP
기여율(월급에서	기여/NNG+율/XSN+(/SS+월급/NNG+에서/JKB
연금으로	연금/NNG+으로/JKB
내는	내/VV+는/ETM
돈의	돈/NNG+의/JKG
비율)은	비율/NNG+)/SS+은/JX
7%에서	7/SN+%/SW+에서/JKB
5년에	5/SN+년/NNB+에/JKB
9%로	9/SN+%/SW+로/JKB
올리는	올리/VV+는/ETM
것을	것/NNB+을/JKO
주요	주요/NNG
내용으로	내용/NNG+으로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.352.4.1
그러나 야당은 5일 "'국민연금 소득 대체율 50% 인상'이란 표현을 국회 규칙에 못 박지 않으면 공무원연금법을 통과시켜줄 수 없다"는 입장을 밝혔다.

그러나	그러나/MAJ
야당은	야당/NNG+은/JX
5일	5/SN+일/NNB
"'국민연금	"/SS+'/SS+국민연금/NNG
소득	소득/NNG
대체율	대체/NNG+율/XSN
50%	50/SN+%/SW
인상'이란	인상/NNG+'/SS+이란/JX
표현을	표현/NNG+을/JKO
국회	국회/NNG
규칙에	규칙/NNG+에/JKB
못	못/NNG
박지	박/VV+지/EC
않으면	않/VX+으면/EC
공무원연금법을	공무원/NNG+연금법/NNG+을/JKO
통과시켜줄	통과/NNG+시키/XSV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
없다"는	없/VA+다/EF+"/SS+는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.352.4.2
여야는 지난 2일 양당 대표 합의문에서 '공적연금 강화와 노후 빈곤 해소를 위한 사회적 기구를 구성해 8월 말까지 운영하고, 이를 위해 필요한 사항은 국회 규칙으로 정하여 5월 6일 본회의에서 처리한다'고 했다.

여야는	여야/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
양당	양당/NNG
대표	대표/NNG
합의문에서	합의문/NNG+에서/JKB
'공적연금	'/SS+공/NNG+적/XSN+연금/NNG
강화와	강화/NNG+와/JC
노후	노후/NNG
빈곤	빈곤/NNG
해소를	해소/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사회적	사회/NNG+적/XSN
기구를	기구/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
8월	8/SN+월/NNB
말까지	말/NNB+까지/JX
운영하고,	운영/NNG+하/XSV+고/EC+,/SP
이를	이/NP+를/JKO
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
사항은	사항/NNG+은/JX
국회	국회/NNG
규칙으로	규칙/NNG+으로/JKB
정하여	정하/VV+아/EC
5월	5/SN+월/NNB
6일	6/SN+일/NNB
본회의에서	본회의/NNG+에서/JKB
처리한다'고	처리/NNG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.352.4.3
야당은 이 국회 규칙에 '국민연금 소득 대체율 50% 인상을 8월 말까지 입법화할 기구'와 같은 문구를 넣어야 한다고 요구하는 것이다.

야당은	야당/NNG+은/JX
이	이/MMD
국회	국회/NNG
규칙에	규칙/NNG+에/JKB
'국민연금	'/SS+국민연금/NNG
소득	소득/NNG
대체율	대체/NNG+율/XSN
50%	50/SN+%/SW
인상을	인상/NNG+을/JKO
8월	8/SN+월/NNB
말까지	말/NNB+까지/JX
입법화할	입법/NNG+화/XSN+하/XSV+ㄹ/ETM
기구'와	기구/NNG+'/SS+와/JKB
같은	같/VA+은/ETM
문구를	문구/NNG+를/JKO
넣어야	넣/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
요구하는	요구/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.352.5.1
우윤근 새정치연합 원내대표는 이날 본지 통화에서 "(50%라는) 수치를 명기하지 않은 채 공무원연금법만 통과시켜주기는 쉽지 않다"고 말했다.

우윤근	우윤근/NNP
새정치연합	새정치연합/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"(50%라는)	"/SS+(/SS+50/SN+%/SW+이/VCP+라는/ETM+)/SS
수치를	수치/NNG+를/JKO
명기하지	명기/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
공무원연금법만	공무원/NNG+연금법/NNG+만/JX
통과시켜주기는	통과/NNG+시키/XSV+어/EC+주/VX+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.352.6.1
그러나 새누리당 유승민 원내대표는 "여당으로선 수치를 명기하는 것은 받아들이기 힘들다"고 했다.

그러나	그러나/MAJ
새누리당	새누리당/NNP
유승민	유승민/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
"여당으로선	"/SS+여당/NNG+으로서/JKB+ㄴ/JX
수치를	수치/NNG+를/JKO
명기하는	명기/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
받아들이기	받아들이/VV+기/ETN
힘들다"고	힘들/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.352.6.2
여야가 이 같은 입장을 고수하면 공무원연금법 본회의 처리는 힘들어진다.

여야가	여야/NNG+가/JKS
이	이/NP
같은	같/VA+은/ETM
입장을	입장/NNG+을/JKO
고수하면	고수/NNG+하/XSV+면/EC
공무원연금법	공무원/NNG+연금법/NNG
본회의	본회의/NNG
처리는	처리/NNG+는/JX
힘들어진다.	힘들어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.352.7.1
여야 관계자들은 "법안 통과를 무산시키는 건 여야 모두 부담스럽기 때문에 막판까지 협상을 통해 해결 방안을 마련하려 시도할 것"이라고도 했다.

여야	여야/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"법안	"/SS+법안/NNG
통과를	통과/NNG+를/JKO
