# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.215
metadata : {}


# id : NWRW1800000053.215.1.1
프로야구선수협회, 복지수당 요구

프로야구선수협회,	프로야구선수협회/NNP+,/SP
복지수당	복지/NNG+수당/NNG
요구	요구/NNG


# id : NWRW1800000053.215.2.1
“메리트 폐지후 경기외적 부담 커져… 선수대표가 구단과 협의할 것” 발표

“메리트	“/SS+메리트/NNG
폐지후	폐지/NNG+후/NNG
경기외적	경기/NNG+외/NNB+적/XSN
부담	부담/NNG
커져…	커지/VV+어/EF+…/SE
선수대표가	선수/NNG+대표/NNG+가/JKS
구단과	구단/NNG+과/JKB
협의할	협의/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS
발표	발표/NNG


# id : NWRW1800000053.215.3.1
한국프로야구선수협회가 선수 복지를 위한 수당을 달라고 요구하고 나섰다.

한국프로야구선수협회가	한국프로야구선수협회/NNP+가/JKS
선수	선수/NNG
복지를	복지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
수당을	수당/NNG+을/JKO
달라고	달/VV+라고/EC
요구하고	요구/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.215.3.2
이전까지 프로야구 선수들은 연봉과 별개로 ‘메리트(merit)’란 이름으로 승리수당을 따로 받았지만 2015년 12월 한국야구위원회(KBO)에서 이 제도를 폐지하기로 결정했다.

이전까지	이전/NNG+까지/JX
프로야구	프로/NNG+야구/NNG
선수들은	선수/NNG+들/XSN+은/JX
연봉과	연봉/NNG+과/JKB
별개로	별개/NNG+로/JKB
‘메리트(merit)’란	‘/SS+메리트/NNG+(/SS+merit/SL+)/SS+’/SS+이/VCP+란/ETM
이름으로	이름/NNG+으로/JKB
승리수당을	승리/NNG+수당/NNG+을/JKO
따로	따로/MAG
받았지만	받/VV+았/EP+지만/EC
2015년	2015/SN+년/NNB
12월	12/SN+월/NNB
한국야구위원회(KBO)에서	한국야구위원회/NNP+(/SS+KBO/SL+)/SS+에서/JKB
이	이/MMD
제도를	제도/NNG+를/JKO
폐지하기로	폐지/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.215.4.1
선수협은 28일 보도자료를 내 “(메리트가 사라진) 지난해부터 선수단에 대한 지원이 전반적으로 줄어드는 반면 구단 행사 참여 등 선수들의 경기 외적인 부담은 커지고 있다.

선수협은	선수협/NNG+은/JX
28일	28/SN+일/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
내	내/VV+어/EC
“(메리트가	“/SS+(/SS+메리트/NNG+가/JKS
사라진)	사라지/VV+ㄴ/ETM+)/SS
지난해부터	지난해/NNG+부터/JX
선수단에	선수단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원이	지원/NNG+이/JKS
전반적으로	전반/NNG+적/XSN+으로/JKB
줄어드는	줄어들/VV+는/ETM
반면	반면/NNG
구단	구단/NNG
행사	행사/NNG
참여	참여/NNG
등	등/NNB
선수들의	선수/NNG+들/XSN+의/JKG
경기	경기/NNG
외적인	외/NNB+적/XSN+이/VCP+ㄴ/ETM
부담은	부담/NNG+은/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.215.4.2
이에 따라 선수 복지 차원에서 선수들에 대한 수당이나 보상 방안을 마련해 줄 것을 (구단에) 요청하기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
선수	선수/NNG
복지	복지/NNG
차원에서	차원/NNG+에서/JKB
선수들에	선수/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
수당이나	수당/NNG+이나/JC
보상	보상/NNG
방안을	방안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
(구단에)	(/SS+구단/NNG+에/JKB+)/SS
요청하기로	요청/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.215.4.3
각 구단 선수 대표가 구단과 협의할 예정”이라고 발표했다.

각	각/MMD
구단	구단/NNG
선수	선수/NNG
대표가	대표/NNG+가/JKS
구단과	구단/NNG+과/JKB
협의할	협의/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.215.5.1
이들은 “메리트 제도는 구단 간 경쟁에서 촉발된 것으로 선수들이 무슨 힘이 있어서 받아냈던 게 아니다”고 강조하면서 “구단들은 메리트를 많이 줬다는 이유만으로 연봉 인상을 하지 않는 등 연봉 협상 방법으로 (메리트 제도를) 사용했다”고 주장했다.

이들은	이/NP+들/XSN+은/JX
“메리트	“/SS+메리트/NNG
제도는	제도/NNG+는/JX
구단	구단/NNG
간	간/NNB
경쟁에서	경쟁/NNG+에서/JKB
촉발된	촉발/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
선수들이	선수/NNG+들/XSN+이/JKS
무슨	무슨/MMD
힘이	힘/NNG+이/JKS
있어서	있/VA+어서/EC
받아냈던	받/VV+아/EC+내/VX+었/EP+던/ETM
게	거/NNB+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
강조하면서	강조/NNG+하/XSV+면서/EC
“구단들은	“/SS+구단/NNG+들/XSN+은/JX
메리트를	메리트/NNG+를/JKO
많이	많이/MAG
줬다는	주/VV+었/EP+다는/ETM
이유만으로	이유/NNG+만/JX+으로/JKB
연봉	연봉/NNG
인상을	인상/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
협상	협상/NNG
방법으로	방법/NNG+으로/JKB
(메리트	(/SS+메리트/NNG
제도를)	제도/NNG+를/JKO+)/SS
사용했다”고	사용/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.215.5.2
이들은 “이미 정해진 구단 예산이나 내년도 예산을 메리트와 연봉에 분배하는 방식으로 선수들을 구단 입맛에 맞게 다루면서 조삼모사식의 운영을 해왔다”고 덧붙였다.

이들은	이/NP+들/XSN+은/JX
“이미	“/SS+이미/MAG
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
구단	구단/NNG
예산이나	예산/NNG+이나/JC
내년도	내년도/NNG
예산을	예산/NNG+을/JKO
메리트와	메리트/NNG+와/JC
연봉에	연봉/NNG+에/JKB
분배하는	분배/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
선수들을	선수/NNG+들/XSN+을/JKO
입맛에	입맛/NNG+에/JKB
맞게	맞/VV+게/EC
다루면서	다루/VV+면서/EC
조삼모사식의	조삼모사식/NNG+의/JKG
운영을	운영/NNG+을/JKO
해왔다”고	하/VV+아/EC+오/VX+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.215.6.1
지난해 메리트 제도가 사라진 뒤로 일부 구단 선수가 팬 사인회를 보이콧했다는 루머가 돌기도 했다.

지난해	지난해/NNG
메리트	메리트/NNG
제도가	제도/NNG+가/JKS
사라진	사라지/VV+ㄴ/ETM
뒤로	뒤/NNG+로/JKB
일부	일부/NNG
구단	구단/NNG
선수가	선수/NNG+가/JKS
팬	팬/NNG
