# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.106
metadata : {}


# id : NWRW1800000040.106.1.1
절망적 재앙 앞에서 더 강인해진 가족애

절망적	절망/NNG+적/XSN
재앙	재앙/NNG
앞에서	앞/NNG+에서/JKB
더	더/MAG
강인해진	강인하/VA+아/EC+지/VX+ㄴ/ETM
가족애	가족애/NNG


# id : NWRW1800000040.106.2.1
타이 쓰나미 실화 다룬 ‘더 임파서블’

타이	타이/NNP
쓰나미	쓰나미/NNG
실화	실화/NNG
다룬	다루/VV+ㄴ/ETM
‘더	‘/SS+더/NNP
임파서블’	임파서블/NNP+’/SS


# id : NWRW1800000040.106.3.1
휴가온 한 가족의 절절한 생존기

휴가온	휴가/NNG+오/VV+ㄴ/ETM
한	한/MMN
가족의	가족/NNG+의/JKG
절절한	절절하/VA+ㄴ/ETM
생존기	생존기/NNG


# id : NWRW1800000040.106.4.1
철없던 어린 삼형제의 변화 뭉클

철없던	철없/VA+던/ETM
어린	어리/VA+ㄴ/ETM
삼형제의	삼/NR+형제/NNG+의/JKG
변화	변화/NNG
뭉클	뭉클/MAG


# id : NWRW1800000040.106.5.1
바닷가 리조트에 지진해일(쓰나미)이 덮친다.

바닷가	바닷가/NNG
리조트에	리조트/NNG+에/JKB
지진해일(쓰나미)이	지진/NNG+해일/NNG+(/SS+쓰나미/NNG+)/SS+이/JKS
덮친다.	덮치/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.106.5.2
리조트 직원이 “가족들이 지내기 좋은 곳”이라며 손님들을 맞이한 이곳은, 수많은 가족들을 찢어놓는 비극의 공간으로 바뀐다.

리조트	리조트/NNG
직원이	직원/NNG+이/JKS
“가족들이	“/SS+가족/NNG+들/XSN+이/JKS
지내기	지내/VV+기/ETN
좋은	좋/VA+은/ETM
곳”이라며	곳/NNG+”/SS+이/VCP+라며/EC
손님들을	손/NNG+님/XSN+들/XSN+을/JKO
맞이한	맞이하/VV+ㄴ/ETM
이곳은,	이곳/NP+은/JX+,/SP
수많은	수많/VA+은/ETM
