# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.281
metadata : {}


# id : NWRW1800000022.281.1.1
중고車에 위치추적장치 붙여 판 후 다시 훔쳐

중고車에	중고/NNG+車/SH+에/JKB
위치추적장치	위치/NNG+추적/NNG+장치/NNG
붙여	붙이/VV+어/EC
판	팔/VV+ㄴ/ETM
후	후/NNG
다시	다시/MAG
훔쳐	훔치/VV+어/EF


# id : NWRW1800000022.281.2.1
서울 중부경찰서는 17일 위성 위치추적장치를 붙인 중고 승용차를 박모(23·경기도 성남)씨에게 판매한 다음, 같은 날 밤 해당 차량이 주차된 곳에 찾아가 자동차를 훔친 혐의로 최모(28·홍보회사 직원)씨를 붙잡아 조사 중이다.

서울	서울/NNP
중부경찰서는	중부/NNG+경찰서/NNG+는/JX
17일	17/SN+일/NNB
위성	위성/NNG
위치추적장치를	위치/NNG+추적/NNG+장치/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
중고	중고/NNG
승용차를	승용차/NNG+를/JKO
박모(23·경기도	박/NNP+모/NP+(/SS+23/SN+·/SP+경기도/NNP
성남)씨에게	성남/NNP+)/SS+씨/NNB+에게/JKB
판매한	판매/NNG+하/XSV+ㄴ/ETM
다음,	다음/NNG+,/SP
같은	같/VA+은/ETM
날	날/NNG
밤	밤/NNG
해당	해당/NNG
차량이	차량/NNG+이/JKS
주차된	주차/NNG+되/XSV+ㄴ/ETM
곳에	곳/NNG+에/JKB
찾아가	찾아가/VV+아/EC
자동차를	자동차/NNG+를/JKO
훔친	훔치/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
최모(28·홍보회사	최/NNP+모/NP+(/SS+28/SN+·/SP+홍보/NNG+회사/NNG
직원)씨를	직원/NNG+)/SS+씨/NNB+를/JKO
붙잡아	붙잡/VV+아/EC
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.281.3.1
경찰에 따르면 최씨는 지난 6월 중순 온라인 중고차 매매 사이트에서 검은색 그랜저XG 차량을 480만원에 구입했다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
최씨는	최/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
중순	중순/NNG
온라인	온라인/NNG
중고차	중고차/NNG
매매	매매/NNG
사이트에서	사이트/NNG+에서/JKB
검은색	검은색/NNG
그랜저XG	그랜저XG/NNP
차량을	차량/NNG+을/JKO
480만원에	480/SN+만/NR+원/NNB+에/JKB
구입했다.	구입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.281.4.1
두 달 뒤인 지난 13일 오후 3시쯤, 최씨는 온라인 중고차 매매 사이트에서 만난 박모(23)씨에게 410만원을 받고 그랜저XG 차량을 넘겼다.

두	두/MMN
달	달/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
오후	오후/NNG
3시쯤,	3/SN+시/NNB+쯤/XSN+,/SP
최씨는	최/NNP+씨/NNB+는/JX
온라인	온라인/NNG
중고차	중고차/NNG
매매	매매/NNG
사이트에서	사이트/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
박모(23)씨에게	박/NNP+모/NP+(/SS+23/SN+)/SS+씨/NNB+에게/JKB
410만원을	410/SN+만/NR+원/NNB+을/JKO
받고	받/VV+고/EC
그랜저XG	그랜저XG/NNP
차량을	차량/NNG+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.281.4.2
차량을 넘기기 전, 최씨는 인터넷에서 9만9000원을 주고 구입한 어른 손바닥 절반 크기의 위치추적장치를 방향제 갑에 숨겨 자동차 뒷유리 앞에 부착했다.

차량을	차량/NNG+을/JKO
넘기기	넘기/VV+기/ETN
전,	전/NNG+,/SP
최씨는	최/NNP+씨/NNB+는/JX
인터넷에서	인터넷/NNG+에서/JKB
9만9000원을	9/SN+만/NR+9000/SN+원/NNB+을/JKO
주고	주/VV+고/EC
구입한	구입/NNG+하/XSV+ㄴ/ETM
어른	어른/NNG
손바닥	손바닥/NNG
절반	절반/NNG
크기의	크기/NNG+의/JKG
위치추적장치를	위치/NNG+추적/NNG+장치/NNG+를/JKO
방향제	방향제/NNG
갑에	갑/NNG+에/JKB
숨겨	숨기/VV+어/EC
자동차	자동차/NNG
뒷유리	뒷유리/NNG
앞에	앞/NNG+에/JKB
부착했다.	부착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.281.4.3
추적장치를 차량에 부착해놓고 위치추적서비스에 가입하면 휴대폰과 인터넷을 통해 차량 위치를 조회할 수 있는 제품이다.

추적장치를	추적/NNG+장치/NNG+를/JKO
차량에	차량/NNG+에/JKB
부착해놓고	부착/NNG+하/XSV+아/EC+놓/VX+고/EC
위치추적서비스에	위치/NNG+추적/NNG+서비스/NNG+에/JKB
가입하면	가입/NNG+하/XSV+면/EC
휴대폰과	휴대폰/NNG+과/JC
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
차량	차량/NNG
위치를	위치/NNG+를/JKO
조회할	조회/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.281.5.1
최씨는 인터넷으로 자동차의 위치를 확인한 다음, 밤 10시쯤 박씨가 술을 마시고 있던 경기도 성남시 수진동 상가 주차장에서 예비키로 자동차를 몰고 달아난 혐의를 받고 있다고 경찰은 전했다.

최씨는	최/NNP+씨/NNB+는/JX
인터넷으로	인터넷/NNG+으로/JKB
자동차의	자동차/NNG+의/JKG
위치를	위치/NNG+를/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
다음,	다음/NNG+,/SP
밤	밤/NNG
10시쯤	10/SN+시/NNB+쯤/XSN
박씨가	박/NNP+씨/NNB+가/JKS
술을	술/NNG+을/JKO
마시고	마시/VV+고/EC
있던	있/VX+던/ETM
경기도	경기도/NNP
성남시	성남시/NNP
수진동	수진동/NNP
상가	상가/NNG
주차장에서	주차장/NNG+에서/JKB
예비키로	예비/NNG+키/NNG+로/JKB
자동차를	자동차/NNG+를/JKO
몰고	몰/VV+고/EC
달아난	달아나/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다고	있/VX+다고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.281.6.1
최씨는 이튿날 최씨에게 문제의 차량을 빌려서 몰던 후배가 도난 차량 운전 혐의로 경찰에 붙잡히면서 덜미가 잡혔다.

최씨는	최/NNP+씨/NNB+는/JX
이튿날	이튿날/NNG
최씨에게	최/NNP+씨/NNB+에게/JKB
문제의	문제/NNG+의/JKG
차량을	차량/NNG+을/JKO
빌려서	빌리/VV+어서/EC
몰던	몰/VV+던/ETM
후배가	후배/NNG+가/JKS
도난	도난/NNG
차량	차량/NNG
운전	운전/NNG
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
붙잡히면서	붙잡히/VV+면서/EC
덜미가	덜미/NNG+가/JKS
잡혔다.	잡히/VV+었/EP+다/EF+./SF


