# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.245
metadata : {}


# id : NWRW1800000021.245.1.1
47.1% 올해 최고… ‘찬란한 시청률’

47.1%	47/SN+./SP+1/SN+%/SW
올해	올해/NNG
최고…	최고/NNG+…/SE
‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
시청률’	시청/NNG+률/XSN+’/SS


# id : NWRW1800000021.245.2.1
SBS 주말드라마 ‘찬란한 유산’이 시청률 47.1%(TNS미디어코리아 조사)를 기록하며 26일 끝났다.

SBS	SBS/SL
주말드라마	주말/NNG+드라마/NNG
‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
유산’이	유산/NNG+’/SS+이/JKS
시청률	시청/NNG+률/XSN
47.1%(TNS미디어코리아	47/SN+./SP+1/SN+%/SW+(/SS+TNS미디어코리아/NNP
조사)를	조사/NNG+)/SS+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
26일	26/SN+일/NNB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.245.2.2
올해 들어 최고의 시청률이다.

올해	올해/NNG
들어	들/VV+어/EC
최고의	최고/NNG+의/JKG
시청률이다.	시청/NNG+률/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.245.2.3
SBS 일일드라마 ‘아내의 유혹’이 기록한 40.4%(1월 29일)가 그 다음이다.

SBS	SBS/SL
일일드라마	일일/NNG+드라마/NNG
‘아내의	‘/SS+아내/NNG+의/JKG
유혹’이	유혹/NNG+’/SS+이/JKS
기록한	기록/NNG+하/XSV+ㄴ/ETM
40.4%(1월	40/SN+./SP+4/SN+%/SW+(/SS+1/SN+월/NNB
29일)가	29/SN+일/NNB+)/SS+가/JKS
그	그/MMD
다음이다.	다음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.245.3.1
